AGO,BGD,BRA,CHN,IDN,IND,KEN,MMR,PAK,PER,PHL,RUS,UGA,VNM,ZAF
9.6 (5.1 - 16),12 (7.1 - 19),8.3 (5.1 - 12),9.4 (4.5 - 18),11 (8.1 - 18),10 (7.1 - 18),11 (6.2 - 19),14 (9 - 19),13 (8.5 - 18),9.3 (5.2 - 17),16 (12 - 20),6.4 (4 - 13),7.9 (4.2 - 13),13 (7.8 - 19),11 (6.9 - 17)
0.04 (0.022 - 0.057),0.047 (0.026 - 0.063),0.039 (0.022 - 0.057),0.043 (0.025 - 0.058),0.044 (0.022 - 0.06),0.043 (0.022 - 0.061),0.048 (0.026 - 0.062),0.046 (0.025 - 0.06),0.046 (0.027 - 0.061),0.044 (0.023 - 0.057),0.047 (0.026 - 0.064),0.038 (0.023 - 0.057),0.039 (0.021 - 0.058),0.048 (0.027 - 0.062),0.044 (0.023 - 0.059)
25 (14 - 53),49 (34 - 69),48 (33 - 65),51 (38 - 69),51 (38 - 67),56 (33 - 69),51 (37 - 67),52 (32 - 68),49 (30 - 66),15 (7.3 - 46),44 (28 - 63),15 (9.2 - 51),51 (32 - 67),48 (29 - 66),53 (36 - 68)
1 (0.47 - 2.7),2 (1.4 - 3.1),2 (1.6 - 2.7),1.8 (1.4 - 2.9),1.9 (1.5 - 2.9),1.9 (1.5 - 2.9),1.8 (1.4 - 2.9),2 (1.5 - 3),2 (1.5 - 3.1),0.64 (0.26 - 2.6),2.2 (1.7 - 3.3),0.52 (0.29 - 2.1),1.9 (1.4 - 2.8),2 (1.5 - 3.3),1.9 (1.4 - 2.8)
74 (52 - 89),63 (50 - 84),72 (52 - 89),71 (51 - 89),65 (50 - 86),66 (52 - 88),68 (51 - 88),62 (51 - 84),62 (50 - 84),75 (52 - 89),57 (50 - 73),73 (51 - 89),78 (52 - 89),62 (50 - 85),68 (51 - 89)
2.9e+02 (2.3e+02 - 3.7e+02),2.5e+02 (2.1e+02 - 3e+02),47 (44 - 51),60 (55 - 67),3.1e+02 (2.9e+02 - 3.4e+02),2.5e+02 (2.1e+02 - 3.2e+02),3.1e+02 (2.4e+02 - 4.4e+02),3.7e+02 (3e+02 - 4.8e+02),2.5e+02 (2e+02 - 3.3e+02),1.1e+02 (97 - 1.2e+02),5.3e+02 (4.3e+02 - 6.9e+02),56 (48 - 64),1.9e+02 (1.7e+02 - 2.2e+02),1.7e+02 (1.3e+02 - 2.4e+02),5.2e+02 (4.7e+02 - 6e+02)
-2.8 (-9.4 - 2.7e-07),-4.2 (-7.2 - -1.5),0.81 (0.47 - 1.4),-1.2 (-2.6 - -0.83),-4.4 (-6.3 - -1.5),-3.3 (-6.4 - 0.012),-4.6 (-8.6 - -2),-4.5 (-6.6 - -2.3),-3.5 (-6.8 - -0.52),-3.3 (-9.2 - 1.7e-11),-5 (-6.4 - -3.4),-5.2 (-11 - -0.029),-4.7 (-19 - -1.4),-2.1 (-6.1 - 0.33),-5 (-8.1 - 0.18)
44 (28 - 69),20 (13 - 32),3.3 (3 - 3.7),2.2 (2 - 2.4),34 (32 - 36),32 (30 - 34),51 (36 - 75),33 (20 - 50),19 (16 - 22),6.8 (5.2 - 8.9),26 (25 - 27),5.5 (5.3 - 5.7),33 (23 - 49),9 (5.5 - 13),1.3e+02 (85 - 2e+02)
-6.2 (-20 - 2.1e-07),-4.7 (-7.8 - -2),1.2 (0.77 - 1.8),-1.2 (-2.8 - -0.84),-4.8 (-6.9 - -2),-4 (-7 - -0.36),-5.8 (-9.4 - -3.8),-4.9 (-7 - -2.8),-3.9 (-7.1 - -0.84),-8.1 (-22 - 1.9e-11),-5.3 (-6.7 - -3.7),-13 (-28 - -0.058),-7 (-21 - -2.5),-2.4 (-6.4 - 0.11),-5.2 (-7.9 - 1.2)
3.2e+02 (2.2e+02 - 6.4e+02),2.1e+02 (1.5e+02 - 3.2e+02),34 (29 - 46),35 (30 - 45),2.9e+02 (2.4e+02 - 4.2e+02),2.4e+02 (2e+02 - 3.9e+02),2.8e+02 (2e+02 - 4.8e+02),3.2e+02 (2.2e+02 - 4.7e+02),2e+02 (1.5e+02 - 3e+02),78 (61 - 1.2e+02),4e+02 (2.9e+02 - 5.4e+02),46 (38 - 62),1.6e+02 (1.2e+02 - 2.6e+02),1.2e+02 (83 - 1.9e+02),7.2e+02 (5.1e+02 - 1e+03)
--,--,0.11 (0.089 - 0.13),--,--,--,0.21 (0.12 - 0.37),--,--,--,--,--,0.35 (0.22 - 0.5),--,0.63 (0.49 - 0.72)
--,--,0.0031 (0.0021 - 0.0046),--,--,--,0.027 (0.024 - 0.031),--,--,--,--,--,0.034 (0.031 - 0.036),--,0.13 (0.12 - 0.14)
74 (56 - 85),70 (63 - 78),15 (11 - 25),53 (41 - 67),74 (67 - 79),74 (66 - 79),71 (59 - 79),72 (66 - 79),69 (64 - 76),42 (25 - 61),70 (65 - 76),34 (20 - 50),45 (23 - 70),65 (59 - 72),42 (24 - 58)
83 (69 - 92),77 (67 - 88),76 (62 - 86),23 (11 - 47),83 (75 - 92),78 (68 - 88),73 (60 - 90),86 (79 - 93),79 (66 - 90),70 (44 - 89),91 (85 - 95),58 (31 - 79),78 (60 - 91),66 (48 - 85),89 (77 - 96)
4.9 (2 - 12),2.7 (1.4 - 5.7),0.38 (0.27 - 0.62),0.21 (0.078 - 0.39),4.3 (2.6 - 7.3),3.6 (2.2 - 7),3.1 (1.3 - 7.5),4.5 (2.5 - 7.7),2.6 (1.5 - 5.2),0.85 (0.37 - 1.9),5.1 (3.2 - 7.9),0.43 (0.15 - 0.89),1.7 (0.95 - 4),1.3 (0.65 - 2.9),2.2 (1.3 - 3.7)
21 (11 - 30),25 (11 - 30),24 (19 - 26),18 (6.2 - 29),24 (14 - 30),23 (12 - 29),17 (4.6 - 30),25 (16 - 30),25 (14 - 30),24 (12 - 30),27 (21 - 30),17 (6.4 - 28),22 (11 - 30),26 (12 - 30),8.6 (5.3 - 16)
0.51 (0.29 - 1),0.33 (0.18 - 0.58),0.26 (0.19 - 0.39),0.12 (0.096 - 0.23),0.39 (0.31 - 0.7),0.44 (0.34 - 0.68),0.42 (0.24 - 0.76),0.33 (0.22 - 0.53),0.3 (0.19 - 0.51),0.23 (0.15 - 0.45),0.25 (0.16 - 0.38),0.3 (0.24 - 0.46),0.38 (0.24 - 0.64),0.22 (0.13 - 0.42),0.7 (0.49 - 1)
