ISO3,Scenario,xx,xx,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
AGO,Baseline,xx,lo,18.9508,18.9248,18.8992,18.874,18.8494,18.8252,18.8014,18.778,18.7551,18.7326,18.7105,18.6888,18.6675,18.6466,18.626,18.6058,18.586,18.5665,18.5474,18.5287,18.5102,18.4921,18.4744,18.4569,18.4397,18.4229,18.3905,18.3115,18.234,18.158,18.0835,18.0105,17.9389,17.8687,17.7999,17.7325,17.6663,17.6015,17.538,17.4757,17.4147,17.3549,17.2963,17.2388,17.1825,17.1274,17.0733,17.0204,16.9685,16.9177,16.8679,16.8192,16.7715,16.7247,16.6789,16.6341,16.5902,16.5472,16.5051,16.4639,16.4236,16.3842,16.3456,16.3078,16.2709,16.2347,16.1994,16.1648,16.1309,16.0979,16.0655,16.0339
xx,xx,xx,md,29.2923,29.1669,29.0445,28.9248,28.8078,28.6936,28.6693,28.6794,28.6893,28.6989,28.7083,28.7176,28.7266,28.6807,28.6176,28.5557,28.4948,28.4351,28.3764,28.3187,28.2621,28.2065,28.1519,28.0984,28.0458,27.9941,27.9435,27.8938,27.845,27.7971,27.7501,27.7041,27.6589,27.6146,27.5712,27.5286,27.4868,27.4459,27.4058,27.3665,27.328,27.2902,27.2533,27.2171,27.1817,27.147,27.1131,27.077,27.04,27.0035,26.9675,26.9322,26.8973,26.863,26.8292,26.796,26.7632,26.731,26.6993,26.668,26.6373,26.607,26.5759,26.544,26.5131,26.4829,26.4536,26.425,26.3973,26.3703,26.3441,26.3187
xx,xx,xx,hi,41.6897,41.6035,41.5189,41.4357,41.354,41.2737,41.1949,41.1175,41.0416,40.9669,40.8937,40.8218,40.7511,40.6818,40.6138,40.547,40.4815,40.4172,40.3542,40.2923,40.2316,40.172,40.1136,40.0564,40.0002,39.9452,39.8912,39.8383,39.7865,39.7357,39.6859,39.6372,39.5894,39.5426,39.4968,39.452,39.4085,39.4012,39.3942,39.3876,39.3814,39.3755,39.3699,39.3647,39.3599,39.3554,39.3512,39.3474,39.3438,39.3407,39.3378,39.3352,39.333,39.3311,39.3294,39.3165,39.304,39.2921,39.2808,39.2701,39.2599,39.2504,39.2414,39.2329,39.225,39.2176,39.2108,39.2045,39.1987,39.1934,39.1886,39.1843
xx,COVID,xx,lo,18.9508,18.9248,18.8992,18.874,18.8494,18.8252,18.8014,18.778,18.7551,18.7326,18.7105,18.6888,18.6675,18.6466,18.626,18.606,18.4165,18.0733,17.7971,17.7947,17.8354,17.8757,17.9205,17.9736,18.0322,18.076,18.0899,18.0298,17.9667,17.9167,17.8793,17.8561,17.8483,17.8539,17.871,17.8976,17.9327,17.9767,18.0303,18.0908,18.1432,18.1756,18.1903,18.1903,18.1784,18.1567,18.127,18.0908,18.0495,18.0041,17.9554,17.9043,17.8513,17.797,17.7418,17.686,17.6299,17.5738,17.5178,17.4622,17.4071,17.3525,17.2985,17.2453,17.1929,17.1413,17.0916,17.0471,17.0036,16.961,16.9193,16.8784
xx,xx,xx,md,29.2923,29.1669,29.0445,28.9248,28.8078,28.6936,28.6693,28.6794,28.6893,28.6989,28.7083,28.7176,28.7266,28.6807,28.6177,28.5558,28.0641,27.1076,26.4663,26.3868,26.4959,26.6027,26.6989,26.7894,26.8743,26.9413,26.9801,26.9948,27.0016,27.0146,27.0346,27.0642,27.0904,27.1077,27.1301,27.1572,27.1892,27.2264,27.2691,27.3168,27.3647,27.4079,27.4457,27.5013,27.5588,27.6013,27.6314,27.6512,27.6625,27.6667,27.6653,27.6591,27.6492,27.6362,27.6208,27.6035,27.5847,27.5648,27.5441,27.5228,27.5012,27.4793,27.4574,27.4356,27.4139,27.3849,27.3537,27.3228,27.2924,27.2648,27.2447,27.2324
xx,xx,xx,hi,41.6897,41.6035,41.5189,41.4357,41.354,41.2737,41.1949,41.1175,41.0416,40.9669,40.8937,40.8217,40.7511,40.6818,40.6138,40.5473,39.7669,38.3452,37.2902,37.317,37.4674,37.607,37.7432,37.8819,38.0216,38.1405,38.2206,38.2678,38.3076,38.3619,38.4314,38.5199,38.6306,38.7616,38.9106,39.0753,39.2543,39.4488,39.6599,39.8839,40.0977,40.2816,40.4375,40.569,40.6795,40.7718,40.8483,40.9114,40.9628,41.0044,41.0376,41.0635,41.0834,41.0916,41.0902,41.0854,41.0778,41.0679,41.0562,41.0431,41.0288,41.0136,40.9978,40.9816,40.9651,40.9484,40.9317,40.9151,40.8986,40.8824,40.8664,40.8507
AZE,Baseline,xx,lo,3.8362,3.8311,3.8265,3.8179,3.8062,3.7994,3.7929,3.7864,3.7801,3.7753,3.775,3.7747,3.7745,3.7742,3.774,3.7738,3.7735,3.7734,3.7734,3.7734,3.7735,3.7735,3.7735,3.7735,3.7736,3.7736,3.7736,3.7737,3.7737,3.7738,3.7738,3.7738,3.7739,3.7739,3.774,3.774,3.7735,3.7712,3.769,3.7668,3.7644,3.7616,3.7588,3.7561,3.7535,3.7509,3.7483,3.7458,3.7434,3.7409,3.7386,3.7362,3.7339,3.7317,3.7294,3.7273,3.7251,3.723,3.7209,3.7189,3.7169,3.7149,3.7129,3.711,3.7091,3.7072,3.7054,3.7036,3.7018,3.7001,3.6983,3.6966
xx,xx,xx,md,5.0343,5.0213,5.0086,5.0041,5.0011,4.9981,4.9952,4.9811,4.964,4.9473,4.9405,4.9366,4.9248,4.9133,4.902,4.8921,4.8856,4.8817,4.8784,4.875,4.8717,4.8684,4.8652,4.8619,4.8587,4.8555,4.8523,4.8491,4.8459,4.8428,4.8396,4.8365,4.8334,4.8303,4.8272,4.8241,4.821,4.818,4.8149,4.8119,4.8088,4.8058,4.8027,4.7997,4.7948,4.7913,4.7888,4.786,4.7816,4.7772,4.775,4.7729,4.7709,4.7689,4.7667,4.7638,4.7601,4.7578,4.7548,4.7519,4.7507,4.7494,4.7472,4.7451,4.7402,4.7381,4.7362,4.7342,4.7323,4.727,4.7206,4.7163
xx,xx,xx,hi,6.3554,6.3457,6.3332,6.3202,6.3075,6.2949,6.2826,6.2705,6.2587,6.2471,6.2357,6.2246,6.2136,6.2029,6.1924,6.1821,6.172,6.162,6.1523,6.1427,6.1333,6.124,6.115,6.106,6.0973,6.0887,6.0802,6.0719,6.0637,6.0556,6.0477,6.0399,6.0323,6.0247,6.0173,6.01,6.0028,5.9957,5.9887,5.9818,5.9751,5.9684,5.9618,5.9553,5.9489,5.9426,5.9364,5.9302,5.9242,5.9182,5.9123,5.9065,5.9007,5.895,5.8894,5.8839,5.8784,5.873,5.8685,5.8641,5.8597,5.8553,5.851,5.8467,5.8424,5.8382,5.8341,5.8299,5.8258,5.8218,5.8177,5.8138
xx,COVID,xx,lo,3.8362,3.8311,3.8265,3.8179,3.8062,3.7994,3.7929,3.7864,3.7801,3.7753,3.775,3.7747,3.7745,3.7742,3.774,3.7745,3.7291,3.7037,3.7065,3.7009,3.7008,3.7392,3.807,3.8729,3.926,3.98,4.0161,4.0504,4.0859,4.1217,4.1565,4.19,4.2107,4.2297,4.2477,4.265,4.2815,4.2951,4.3041,4.309,4.3104,4.3088,4.3048,4.2988,4.2911,4.2821,4.2663,4.246,4.2255,4.2051,4.1849,4.1657,4.147,4.1286,4.1107,4.0933,4.0764,4.06,4.0441,4.0288,4.0139,3.9996,3.9857,3.9724,3.9595,3.9439,3.9289,3.9144,3.9006,3.8874,3.8747,3.8626
