ISO3,Scenario,xx,xx,2019,2020,2021,2022,2023,2024
AGO,Baseline,xx,lo,225.7897,222.7081,217.5524,207.9898,200.489,194.6592
xx,xx,xx,md,343.9523,340.9428,333.3467,327.3152,322.1901,317.6754
xx,xx,xx,hi,494.9119,484.7127,476.601,472.4969,471.9844,470.6077
xx,COVID,xx,lo,225.7897,218.2329,215.5168,217.2829,213.1732,205.4499
xx,xx,xx,md,343.9523,329.2543,324.677,328.831,331.3798,328.4515
xx,xx,xx,hi,494.9119,465.4968,461.6494,482.8438,492.8158,491.2802
AZE,Baseline,xx,lo,45.5628,45.2814,45.2854,45.1259,44.7693,44.4779
xx,xx,xx,md,59.9641,58.5624,58.0954,57.6516,57.2173,56.8458
xx,xx,xx,hi,75.4829,73.8982,72.6294,71.5877,70.7117,70.0363
xx,COVID,xx,lo,45.5628,44.7744,49.621,51.5189,49.4674,47.2819
xx,xx,xx,md,59.9641,58.1754,62.506,66.7979,64.8204,62.7199
xx,xx,xx,hi,75.4829,72.855,77.4548,85.3802,83.8562,80.1911
BGD,Baseline,xx,lo,162.7083,166.6143,166.7722,167.729,170.6431,172.1074
xx,xx,xx,md,220.4865,220.4299,219.3985,218.97,219.1389,218.4248
xx,xx,xx,hi,288.0176,280.4336,274.7133,271.7901,269.8812,267.5521
xx,COVID,xx,lo,162.7083,165.4854,175.3979,174.5127,174.5505,173.7573
xx,xx,xx,md,220.4865,217.2661,226.7927,225.633,224.1689,223.5908
xx,xx,xx,hi,288.0176,277.0327,284.4909,280.8939,276.4393,273.1354
BRA,Baseline,All,lo,39.1567,39.4156,39.6753,39.9348,40.1619,40.3428
xx,xx,xx,md,45.9364,46.2078,46.5939,46.9817,47.3713,47.8058
xx,xx,xx,hi,53.588,53.9726,54.4027,54.8242,55.3721,55.9233
xx,xx,HIV +ve,lo,4.2438,4.3635,4.4759,4.5914,4.7067,4.8217
xx,xx,xx,md,5.029,5.196,5.3502,5.5071,5.6627,5.8104
xx,xx,xx,hi,5.8053,6.0015,6.1984,6.3958,6.5937,6.7921
xx,COVID,All,lo,39.1567,38.8974,41.7862,41.7101,41.415,41.2959
xx,xx,xx,md,45.9364,45.3871,48.3934,48.6949,48.7295,48.9199
xx,xx,xx,hi,53.588,52.3619,55.9818,56.4013,56.6556,57.0634
xx,xx,HIV +ve,lo,4.2438,4.207,4.81,4.7471,4.8054,4.8915
xx,xx,xx,md,5.029,4.9756,5.7673,5.7204,5.8009,5.9201
xx,xx,xx,hi,5.8053,5.7333,6.6934,6.6432,6.76,6.9154
CHN,Baseline,xx,lo,49.6478,49.0895,48.5371,47.9901,47.361,46.7354
xx,xx,xx,md,57.7934,57.1555,56.6022,55.9931,55.4399,54.8915
xx,xx,xx,hi,66.4895,65.8407,65.2069,64.585,64.026,63.4896
xx,COVID,xx,lo,49.6478,49.2459,50.625,51.8482,49.4164,47.6093
xx,xx,xx,md,57.7934,57.258,59.2138,62.5165,59.7605,56.9679
xx,xx,xx,hi,66.4895,65.8118,68.6495,74.2792,70.8599,67.5786
COL,Baseline,All,lo,27.2134,27.2678,27.2966,27.4013,27.5062,27.4765
xx,xx,xx,md,34.9433,34.9484,35.0172,35.0771,35.1511,35.2553
xx,xx,xx,hi,45.0094,45.1201,45.2464,45.4627,45.6762,45.7181
xx,xx,HIV +ve,lo,3.4123,3.3697,3.3177,3.3436,3.3209,3.2733
xx,xx,xx,md,4.3756,4.4098,4.4228,4.4262,4.4655,4.4874
xx,xx,xx,hi,5.6046,5.6454,5.7115,5.7933,5.8823,5.9738
xx,COVID,All,lo,27.2134,26.7742,32.988,37.6285,35.845,33.8729
xx,xx,xx,md,34.9433,34.426,40.9592,47.3326,46.4137,44.3885
xx,xx,xx,hi,45.0094,44.604,51.8387,60.5609,60.342,58.0443
xx,xx,HIV +ve,lo,3.4123,3.3112,4.1876,4.663,4.1839,3.9352
xx,xx,xx,md,4.3756,4.3426,5.712,6.5283,5.9097,5.5652
xx,xx,xx,hi,5.6046,5.5017,7.6937,8.892,7.8663,7.4354
ETH,Baseline,xx,lo,97.0885,96.6027,95.2308,95.1733,94.9768,94.449
xx,xx,xx,md,140.2545,136.4807,133.7715,132.3222,131.0884,130.0399
xx,xx,xx,hi,183.9461,179.2653,175.5769,173.5487,171.5646,169.9654
xx,COVID,xx,lo,97.0885,95.2043,95.1808,96.0613,95.5697,94.8503
xx,xx,xx,md,140.2545,134.1212,133.2718,133.2974,131.572,130.4556
xx,xx,xx,hi,183.9461,175.2982,173.1668,174.1051,172.3582,170.6594
IND,Baseline,xx,lo,192.4323,179.2208,168.5794,161.8573,157.072,152.4207
xx,xx,xx,md,213.9509,207.6094,203.2544,199.4641,195.882,194.1403
xx,xx,xx,hi,237.3102,233.3625,230.2087,229.0699,228.8856,229.0603
