ISO3,Scenario,xx,xx,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
AGO,Baseline,xx,lo,3.2523,3.235,3.2179,3.2011,3.1847,3.1685,3.1526,3.137,3.1217,3.1066,3.0918,3.0773,3.063,3.049,3.0352,3.0217,3.0084,2.9953,2.9825,2.9699,2.9575,2.9453,2.9333,2.9216,2.91,2.8987,2.8875,2.8766,2.8658,2.8552,2.8448,2.8346,2.8246,2.8147,2.8051,2.7955,2.7862,2.777,2.768,2.7591,2.7504,2.7419,2.7335,2.7252,2.7171,2.7091,2.7013,2.6936,2.686,2.6786,2.6713,2.6642,2.6571,2.6502,2.6435,2.6368,2.6302,2.6238,2.6175,2.6113,2.6052,2.5992,2.5934,2.5876,2.5819,2.5764,2.5709,2.5656,2.5603,2.5551,2.5501,2.5451
xx,xx,xx,md,5.1446,5.1424,5.1284,5.1145,5.1008,5.0873,5.0739,5.0607,5.0477,5.0348,5.0221,5.0096,4.9973,4.9851,4.973,4.9612,4.9495,4.9379,4.9265,4.9153,4.9042,4.8932,4.8824,4.8721,4.8631,4.8542,4.8456,4.8371,4.8289,4.8208,4.8129,4.8052,4.7976,4.7902,4.783,4.7761,4.7736,4.7711,4.7686,4.7662,4.7639,4.7616,4.7593,4.7571,4.755,4.7529,4.7508,4.7488,4.7469,4.745,4.7431,4.7413,4.7395,4.7377,4.736,4.7344,4.7328,4.7312,4.7297,4.7257,4.7205,4.7154,4.7105,4.7056,4.701,4.6964,4.6919,4.6876,4.6834,4.6793,4.6754,4.6715
xx,xx,xx,hi,7.4347,7.4253,7.4161,7.407,7.3981,7.3893,7.3806,7.3721,7.3637,7.3555,7.3474,7.3394,7.3316,7.3239,7.3163,7.3089,7.3017,7.2945,7.2875,7.2806,7.2739,7.2673,7.2608,7.2545,7.2483,7.2422,7.2363,7.2305,7.2248,7.2192,7.2138,7.2085,7.2033,7.1982,7.1933,7.1885,7.1838,7.1792,7.1748,7.1705,7.1663,7.1622,7.1582,7.1544,7.1506,7.147,7.1435,7.1401,7.1368,7.1337,7.1306,7.1277,7.1248,7.1221,7.1194,7.1169,7.1145,7.1122,7.11,7.1079,7.1059,7.104,7.1022,7.1005,7.0989,7.0974,7.0959,7.0946,7.0934,7.0923,7.0912,7.0903
xx,COVID,xx,lo,3.2523,3.235,3.2179,3.2011,3.1847,3.1685,3.1526,3.137,3.1217,3.1066,3.0918,3.0773,3.063,3.049,3.0352,3.0229,3.0146,3.0039,2.9907,2.9809,2.9727,2.9674,2.9716,2.9778,2.9742,2.9344,2.8887,2.8552,2.859,2.871,2.8844,2.9057,2.9279,2.9488,2.9685,2.9871,3.0058,3.0283,3.0509,3.0639,3.0432,3.0159,2.9906,2.967,2.945,2.9245,2.9053,2.8874,2.8706,2.8547,2.8398,2.8257,2.8123,2.7997,2.7876,2.7761,2.765,2.7545,2.7443,2.7346,2.7252,2.7161,2.7073,2.6988,2.6906,2.6826,2.6748,2.6672,2.6598,2.6526,2.6456,2.6387
xx,xx,xx,md,5.1446,5.1424,5.1284,5.1145,5.1008,5.0873,5.0739,5.0607,5.0477,5.0348,5.0221,5.0096,4.9973,4.9851,4.973,4.9629,4.9582,4.9481,4.9403,4.9386,4.9389,4.9435,4.9644,5.0033,5.0204,4.9362,4.8597,4.8108,4.8304,4.8845,4.9476,5.0307,5.1136,5.1545,5.1901,5.2249,5.2606,5.3016,5.3433,5.3739,5.3627,5.3423,5.3232,5.3054,5.2888,5.2719,5.2382,5.2083,5.1815,5.1574,5.1356,5.1158,5.0977,5.0811,5.0658,5.0516,5.0384,5.026,5.0144,5.0034,4.993,4.9832,4.9738,4.9649,4.9563,4.9481,4.9403,4.9327,4.9254,4.9184,4.9116,4.905
xx,xx,xx,hi,7.4347,7.4253,7.4161,7.407,7.3981,7.3893,7.3806,7.3721,7.3637,7.3555,7.3474,7.3394,7.3316,7.3239,7.3163,7.3116,7.3149,7.3099,7.2964,7.2893,7.2867,7.2913,7.3178,7.3495,7.3598,7.2879,7.2023,7.1444,7.1718,7.2182,7.2677,7.3361,7.4069,7.4751,7.5412,7.6052,7.6704,7.7449,7.8204,7.8742,7.8485,7.8075,7.7709,7.7384,7.7092,7.683,7.6594,7.6381,7.6187,7.6011,7.5851,7.5704,7.5569,7.5444,7.5329,7.5223,7.5124,7.5032,7.4946,7.4865,7.479,7.4719,7.4652,7.4589,7.4529,7.4473,7.4419,7.4368,7.432,7.4274,7.423,7.4188
AZE,Baseline,xx,lo,0.46396,0.46287,0.46205,0.46153,0.46109,0.45986,0.45855,0.45733,0.45695,0.45659,0.45624,0.45586,0.45516,0.45449,0.45382,0.45318,0.45254,0.45192,0.45131,0.45072,0.45013,0.44973,0.4494,0.44908,0.44876,0.44845,0.44815,0.44785,0.44756,0.44721,0.44601,0.44475,0.44352,0.44231,0.44151,0.44086,0.44037,0.44003,0.43955,0.43872,0.4379,0.4371,0.43631,0.43555,0.43482,0.43401,0.43303,0.43207,0.43112,0.43019,0.42927,0.42837,0.42749,0.42661,0.42575,0.42491,0.42408,0.42326,0.42245,0.42165,0.42087,0.4201,0.41934,0.41859,0.41785,0.41713,0.41641,0.4157,0.41501,0.41441,0.41389,0.41338
xx,xx,xx,md,0.506,0.50514,0.50434,0.50345,0.50246,0.50154,0.50061,0.50015,0.49946,0.49877,0.49804,0.49733,0.49632,0.49587,0.49467,0.49362,0.49293,0.49231,0.49171,0.49096,0.49033,0.48972,0.48912,0.48853,0.48814,0.48763,0.48719,0.48666,0.48605,0.48558,0.48512,0.48465,0.48423,0.48379,0.48337,0.48281,0.48215,0.48152,0.4811,0.48068,0.48028,0.47986,0.4793,0.47884,0.47828,0.47772,0.47716,0.47674,0.47633,0.47593,0.47553,0.47514,0.47475,0.47438,0.47399,0.4736,0.47321,0.47284,0.47247,0.47224,0.47193,0.47179,0.47143,0.47111,0.47097,0.47079,0.47038,0.46996,0.46955,0.46914,0.46885,0.46854
xx,xx,xx,hi,0.55035,0.54953,0.54871,0.54791,0.54713,0.54636,0.54561,0.54487,0.54414,0.54343,0.54272,0.54201,0.54132,0.54063,0.53996,0.5393,0.53865,0.53801,0.53738,0.53677,0.53608,0.53522,0.53437,0.53354,0.53272,0.53192,0.53119,0.53054,0.52997,0.52942,0.52888,0.52835,0.52782,0.52729,0.52687,0.52652,0.52617,0.52583,0.52549,0.52516,0.52483,0.5245,0.52418,0.52386,0.52354,0.52334,0.52318,0.52303,0.52287,0.52272,0.52257,0.52241,0.52226,0.52211,0.52196,0.52181,0.52166,0.52151,0.52136,0.52121,0.52106,0.52091,0.52076,0.5206,0.52045,0.5203,0.52016,0.52002,0.51996,0.5199,0.51984,0.51978
xx,COVID,xx,lo,0.46396,0.46287,0.46205,0.46153,0.46109,0.45986,0.45855,0.45733,0.45695,0.45659,0.45624,0.45586,0.45516,0.45449,0.45382,0.45691,0.47627,0.48732,0.49078,0.50247,0.51148,0.52446,0.53557,0.54863,0.56316,0.57837,0.59306,0.60584,0.61647,0.62434,0.62961,0.63411,0.63749,0.63958,0.64257,0.64645,0.64715,0.6333,0.61554,0.59889,0.584,0.57087,0.55577,0.5447,0.53528,0.52809,0.52128,0.51512,0.50956,0.50444,0.49953,0.49515,0.49122,0.48753,0.48414,0.48101,0.4781,0.47539,0.47285,0.47047,0.46824,0.46613,0.46413,0.46197,0.45991,0.45795,0.45609,0.45432,0.45263,0.45102,0.44948,0.448
