ISO3,Scenario,xx,xx,2019,2020,2021,2022,2023,2024
AGO,Baseline,xx,lo,37.9467,35.8826,34.2131,32.8624,31.7707,30.8907
xx,xx,xx,md,60.9791,59.1974,57.8147,57.129,56.8455,56.3386
xx,xx,xx,hi,88.6293,87.5016,86.6067,85.9306,85.4566,85.1664
xx,COVID,xx,lo,37.9467,36.0498,35.005,35.8279,33.5649,32.1592
xx,xx,xx,md,60.9791,59.4914,60.1553,63.6787,60.9688,59.3527
xx,xx,xx,hi,88.6293,87.7392,88.0165,92.9648,90.5284,89.355
AZE,Baseline,xx,lo,5.5123,5.4203,5.3614,5.2414,5.1151,5.0019
xx,xx,xx,md,6.0146,5.9051,5.8248,5.7559,5.6907,5.6471
xx,xx,xx,hi,6.5528,6.4531,6.3505,6.2923,6.2645,6.2428
xx,COVID,xx,lo,5.5123,5.9386,7.4123,6.882,5.85,5.4907
xx,xx,xx,md,6.0146,6.5516,8.9355,7.956,6.716,6.3353
xx,xx,xx,hi,6.5528,7.1004,9.8541,9.0781,7.7832,7.3257
BGD,Baseline,xx,lo,15.0596,15.1101,14.975,14.798,14.6398,14.4462
xx,xx,xx,md,23.6953,23.3976,22.7448,22.4978,22.4081,22.1215
xx,xx,xx,hi,34.5122,33.3859,32.5204,31.598,31.0626,30.6259
xx,COVID,xx,lo,15.0596,17.5297,16.5647,14.9198,14.9295,14.7626
xx,xx,xx,md,23.6953,26.2648,25.1328,23.1419,22.9756,22.6803
xx,xx,xx,hi,34.5122,36.7259,35.5135,32.466,31.8948,31.356
BRA,Baseline,All,lo,3.0205,3.054,3.0877,3.1216,3.1557,3.19
xx,xx,xx,md,3.3306,3.3631,3.3979,3.434,3.4746,3.5168
xx,xx,xx,hi,3.6338,3.6848,3.7392,3.7938,3.8463,3.895
xx,xx,HIV +ve,lo,0.57846,0.59814,0.61699,0.63386,0.65068,0.66747
xx,xx,xx,md,0.84282,0.86541,0.88963,0.9151,0.93775,0.96299
xx,xx,xx,hi,1.2114,1.2433,1.2749,1.3062,1.3372,1.368
xx,COVID,All,lo,3.0205,3.2978,3.4762,3.267,3.2668,3.2841
xx,xx,xx,md,3.3306,3.6108,3.8056,3.5844,3.5808,3.5998
xx,xx,xx,hi,3.6338,3.9329,4.1524,3.9466,3.9612,3.9955
xx,xx,HIV +ve,lo,0.57846,0.62384,0.69605,0.65958,0.66674,0.68101
xx,xx,xx,md,0.84282,0.91139,1.0159,0.96061,0.9671,0.98521
xx,xx,xx,hi,1.2114,1.2999,1.4347,1.3656,1.3691,1.3911
CHN,Baseline,xx,lo,2.0843,2.0615,2.0401,2.0151,1.99,1.9652
xx,xx,xx,md,2.3007,2.2746,2.2492,2.2263,2.2021,2.1794
xx,xx,xx,hi,2.5794,2.5504,2.5206,2.4917,2.4634,2.4357
xx,COVID,xx,lo,2.0843,2.5232,3.4756,3.3288,2.1172,2.0378
xx,xx,xx,md,2.3007,2.7852,3.8797,3.8109,2.4507,2.312
xx,xx,xx,hi,2.5794,3.117,4.307,4.2425,2.7732,2.6057
COL,Baseline,All,lo,2.8198,2.8275,2.8343,2.8419,2.8405,2.8353
xx,xx,xx,md,3.1982,3.2088,3.2046,3.2143,3.2237,3.227
xx,xx,xx,hi,3.5338,3.5464,3.5577,3.5748,3.599,3.6203
xx,xx,HIV +ve,lo,0.71815,0.72318,0.72663,0.72163,0.71625,0.71146
xx,xx,xx,md,1.005,1.0107,1.014,1.0221,1.0301,1.0409
xx,xx,xx,hi,1.401,1.3976,1.3982,1.3996,1.4013,1.4066
xx,COVID,All,lo,2.8198,3.1574,4.2478,4.4355,3.6279,3.3646
xx,xx,xx,md,3.1982,3.5976,5.0056,5.2548,4.3556,4.0613
xx,xx,xx,hi,3.5338,4.0149,5.8382,6.1685,5.1323,4.8121
xx,xx,HIV +ve,lo,0.71815,0.80041,1.1107,1.1259,0.89277,0.81197
xx,xx,xx,md,1.005,1.1089,1.6223,1.766,1.4258,1.3105
xx,xx,xx,hi,1.401,1.5411,2.2642,2.4935,1.9942,1.8262
ETH,Baseline,xx,lo,13.8834,13.7822,13.5926,13.2126,12.9109,12.6875
xx,xx,xx,md,21.6348,21.1087,20.6439,20.2093,19.8851,19.8199
xx,xx,xx,hi,29.523,28.837,28.4397,28.1104,27.8405,27.6219
xx,COVID,xx,lo,13.8834,14.1656,14.2306,13.4125,12.9857,12.7375
xx,xx,xx,md,21.6348,21.5245,21.2042,20.5192,20.0389,19.9013
xx,xx,xx,hi,29.523,29.3851,29.2237,28.4459,27.9956,27.7445
IND,Baseline,xx,lo,29.3284,27.8432,26.563,25.2033,24.3632,23.5035
xx,xx,xx,md,32.5945,31.1387,30.239,29.5203,28.9943,28.6539
xx,xx,xx,hi,36.308,35.1373,34.4343,34.2448,34.1757,33.9662
xx,COVID,xx,lo,29.3284,30.7883,31.4552,27.498,25.5558,24.6315
xx,xx,xx,md,32.5945,34.4639,35.938,32.3567,30.7291,30.0893
xx,xx,xx,hi,36.308,38.4833,41.0342,37.8669,36.2463,35.8558
IDN,Baseline,xx,lo,32.6907,32.3816,31.8857,31.4443,30.9556,30.5906
xx,xx,xx,md,35.6384,34.9884,34.4708,34.1465,33.8992,33.7668
xx,xx,xx,hi,37.7637,37.0472,36.705,36.5576,36.4173,36.5523
xx,COVID,xx,lo,32.6907,36.8039,47.2527,51.6329,45.4328,42.5221
xx,xx,xx,md,35.6384,40.7635,54.7796,61.92,52.8485,48.6643
xx,xx,xx,hi,37.7637,43.4443,60.7122,69.3589,58.0887,52.9077
