Region,ISO3,Scenario,xx,xx,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
AFR,BWA,Baseline,All,lo,15.9721,15.885,15.8055,15.7863,15.7723,15.7584,15.7448,15.7314,15.7182,15.7051,15.6923,15.6795,15.667,15.6546,15.6291,15.6001,15.5727,15.5461,15.5048,15.4516,15.3991,15.3474,15.2964,15.2462,15.1971,15.1489,15.1013,15.0665,15.0351,15.0048,14.9376,14.8728,14.8289,14.7856,14.7429,14.7007,14.6591,14.6181,14.5776,14.5376,14.4981,14.4517,14.3928,14.335,14.2782,14.2235,14.1704,14.1182,14.0669,14.0166,13.9671,13.9185,13.8708,13.8239,13.7778,13.7294,13.6555,13.5828,13.5118,13.4562,13.4015,13.3476,13.2947,13.2453,13.1966,13.1487,13.1015,13.0596,13.0256,12.9921,12.9591,12.9267
xx,xx,xx,xx,md,20.8242,20.756,20.6886,20.6219,20.5704,20.4903,20.4255,20.3612,20.2844,20.1524,20.0348,19.9788,19.9213,19.8677,19.7987,19.7565,19.7029,19.6485,19.592,19.5284,19.4817,19.4335,19.3804,19.3308,19.2859,19.2504,19.2104,19.1913,19.1624,19.1456,19.1054,19.0449,18.9849,18.9513,18.9351,18.9191,18.86,18.787,18.7089,18.669,18.6336,18.5965,18.561,18.5476,18.5342,18.521,18.4995,18.4548,18.3967,18.374,18.3404,18.3144,18.2754,18.2344,18.1939,18.1538,18.1141,18.0911,18.0475,18.0044,17.9638,17.9469,17.9079,17.8695,17.8341,17.8042,17.7746,17.7451,17.7159,17.6869,17.658,17.6294
xx,xx,xx,xx,hi,26.4636,26.3816,26.3008,26.2213,26.1419,26.0608,25.9619,25.887,25.8103,25.7419,25.7128,25.6841,25.6557,25.6277,25.6,25.5727,25.5457,25.519,25.4926,25.4666,25.4408,25.4152,25.39,25.365,25.3355,25.2793,25.2227,25.1669,25.1118,25.0575,25.0038,24.9567,24.9267,24.8815,24.8366,24.792,24.7478,24.7039,24.6603,24.617,24.5741,24.5314,24.4871,24.443,24.3992,24.3557,24.3125,24.2696,24.227,24.1848,24.1428,24.101,24.0596,24.0184,23.9776,23.9369,23.8966,23.8741,23.8562,23.8384,23.8207,23.8031,23.7856,23.7681,23.7508,23.7335,23.7164,23.6993,23.6823,23.6653,23.6485,23.6317
xx,xx,xx,HIV +ve,lo,8.0903,8.0677,8.0456,8.0239,8.0025,7.9815,7.9607,7.9402,7.8916,7.8288,7.7958,7.751,7.6885,7.6303,7.5943,7.5757,7.5572,7.5388,7.5111,7.4401,7.3581,7.2987,7.2405,7.1836,7.1277,7.0731,7.0188,6.9444,6.8717,6.8179,6.7838,6.7504,6.7153,6.6808,6.6469,6.6137,6.5811,6.5491,6.5177,6.4869,6.4577,6.4208,6.3741,6.3285,6.2839,6.2402,6.1975,6.1556,6.1146,6.0745,6.0352,5.9967,5.9591,5.9221,5.886,5.8505,5.8158,5.7817,5.7483,5.7156,5.6835,5.652,5.6211,5.5908,5.5611,5.5319,5.5033,5.4752,5.4475,5.4204,5.3938,5.3677
xx,xx,xx,xx,md,10.241,10.2033,10.1778,10.1252,10.0919,10.0683,10.0282,9.9704,9.9396,9.9179,9.8854,9.854,9.7735,9.7307,9.7187,9.7018,9.6612,9.6038,9.5733,9.5472,9.5068,9.4701,9.4434,9.4286,9.4139,9.3993,9.368,9.3466,9.3346,9.3225,9.304,9.285,9.2638,9.2441,9.2141,9.1783,9.1547,9.1096,9.0738,9.0509,9.0334,9.0179,9.0015,8.9767,8.9519,8.9275,8.9034,8.8797,8.8564,8.8333,8.8106,8.7882,8.7661,8.7442,8.7229,8.7092,8.6957,8.6846,8.6683,8.6547,8.6412,8.6277,8.6143,8.6009,8.5875,8.5741,8.5563,8.5346,8.513,8.4917,8.476,8.4489
xx,xx,xx,xx,hi,13.0481,12.9906,12.9337,12.8473,12.7418,12.6643,12.5911,12.5158,12.4418,12.3693,12.2981,12.2635,12.2315,12.1997,12.1681,12.1367,12.1094,12.0859,12.0624,12.0391,12.0158,11.9925,11.9693,11.9461,11.923,11.8999,11.8768,11.8538,11.8308,11.8079,11.785,11.7621,11.7392,11.7164,11.6935,11.6707,11.6476,11.6243,11.6009,11.5776,11.5543,11.5311,11.5078,11.4845,11.4613,11.4405,11.4243,11.408,11.3917,11.3753,11.359,11.3426,11.3262,11.3097,11.2933,11.2768,11.2602,11.2436,11.227,11.2104,11.1937,11.177,11.1602,11.1433,11.126,11.1088,11.0915,11.0741,11.0567,11.0392,11.0217,11.0041
xx,xx,With COVID,All,lo,15.9721,15.885,15.8055,15.7863,15.7723,15.7584,15.7448,15.7314,15.7182,15.7051,15.6923,15.6795,15.6672,15.6575,15.6471,15.6375,15.4014,15.0053,14.5725,14.7959,14.9492,15.0604,15.1484,15.2286,15.2842,15.3296,15.3731,15.413,15.4513,15.4629,15.4633,15.4635,15.4629,15.463,15.4629,15.4621,15.4605,15.4561,15.4471,15.4336,15.4247,15.4234,15.4121,15.3796,15.3373,15.2893,15.2374,15.1839,15.1276,15.0691,15.0259,14.9826,14.9384,14.8934,14.8442,14.7936,14.7434,14.6715,14.5969,14.5231,14.4524,14.3829,14.3142,14.2464,14.1796,14.1137,14.0487,13.9745,13.8902,13.8074,13.7263,13.6466
xx,xx,xx,xx,md,20.8242,20.756,20.6886,20.6219,20.5704,20.4903,20.4255,20.3612,20.2844,20.1524,20.0348,19.9788,19.9216,19.8749,19.8068,19.7739,19.4348,18.9679,18.5842,18.6013,18.7839,18.941,18.9748,19.0219,19.0972,19.2351,19.314,19.3641,19.4276,19.5177,19.6161,19.6329,19.6924,19.7885,19.8374,19.8996,19.9359,19.993,20.0379,20.081,20.1035,20.1149,20.1165,20.0942,20.0622,20.0013,19.9704,19.9278,19.8977,19.8573,19.8294,19.7985,19.7269,19.6817,19.636,19.5812,19.5436,19.4616,19.3734,19.3023,19.2535,19.1795,19.1067,19.0364,18.9903,18.9441,18.8979,18.8299,18.7831,18.7318,18.6931,18.6591
xx,xx,xx,xx,hi,26.4636,26.3816,26.3008,26.2213,26.1419,26.0608,25.9619,25.887,25.8103,25.7419,25.7128,25.6841,25.6561,25.633,25.6178,25.61,25.3395,24.7328,24.2659,24.3869,24.5888,24.7775,24.9536,25.1154,25.2331,25.3339,25.4244,25.4904,25.5411,25.5921,25.644,25.6959,25.7908,25.8856,25.978,26.0678,26.1264,26.1794,26.2244,26.2617,26.2845,26.2879,26.2752,26.2495,26.2136,26.1695,26.1189,26.0633,26.0079,25.949,25.8875,25.8239,25.7588,25.6927,25.6259,25.5587,25.4914,25.4296,25.3705,25.3118,25.2538,25.2004,25.1617,25.1233,25.0852,25.0474,25.0101,24.9732,24.9367,24.9006,24.8649,24.8297
xx,xx,xx,HIV +ve,lo,8.0903,8.0677,8.0456,8.0239,8.0025,7.9815,7.9607,7.9402,7.8916,7.8288,7.7958,7.751,7.6887,7.6331,7.6056,7.5979,7.456,7.1985,6.9255,7.088,7.148,7.1179,7.0908,7.0629,7.0343,7.0049,6.9746,6.9437,6.9146,6.9115,6.9025,6.8933,6.8838,6.8741,6.864,6.8538,6.8433,6.8319,6.8192,6.805,6.7882,6.7675,6.7437,6.7176,6.6896,6.6604,6.6301,6.5992,6.5679,6.5364,6.5048,6.4749,6.4455,6.4047,6.3546,6.3054,6.2571,6.2097,6.1633,6.1178,6.0733,6.0298,5.9872,5.9456,5.9049,5.865,5.8261,5.788,5.7507,5.7143,5.6786,5.6437
xx,xx,xx,xx,md,10.241,10.2033,10.1778,10.1252,10.0919,10.0683,10.0282,9.9704,9.9396,9.9179,9.8854,9.854,9.7737,9.7326,9.7245,9.7194,9.545,9.2656,9.0959,9.144,9.2143,9.2719,9.3283,9.3445,9.4269,9.4203,9.4692,9.5112,9.5478,9.5687,9.555,9.5897,9.616,9.6262,9.6346,9.6396,9.6368,9.6292,9.6198,9.6167,9.6153,9.6066,9.5723,9.5295,9.5041,9.4778,9.4439,9.4053,9.3644,9.3405,9.3124,9.2748,9.2454,9.2116,9.1853,9.1726,9.1501,9.1137,9.0783,9.0437,9.0174,8.9785,8.9445,8.9164,8.8978,8.8792,8.8606,8.8348,8.806,8.7898,8.7738,8.7578
xx,xx,xx,xx,hi,13.0481,12.9906,12.9337,12.8473,12.7418,12.6643,12.5911,12.5158,12.4418,12.3693,12.2981,12.2636,12.2318,12.2028,12.1779,12.1581,11.9885,11.9299,11.8784,11.8379,11.805,11.8739,11.9343,11.973,12.0227,12.1125,12.1799,12.234,12.282,12.3281,12.3401,12.3402,12.3393,12.3376,12.3214,12.2934,12.2656,12.2382,12.2265,12.2386,12.2388,12.2245,12.2086,12.2,12.1783,12.1417,12.1031,12.0636,12.0236,11.9833,11.943,11.9033,11.8675,11.8375,11.8076,11.7778,11.7483,11.719,11.6899,11.661,11.6325,11.6043,11.5764,11.5488,11.5214,11.4942,11.4673,11.4405,11.4139,11.3875,11.3613,11.3352
