Region,ISO3,Scenario,xx,xx,2019,2020,2021,2022,2023,2024
AFR,BWA,Baseline,All,lo,189.0338,186.4124,179.7865,173.1422,165.6669,157.5529
xx,xx,xx,xx,md,245.5372,235.4755,229.4467,222.9638,218.5999,213.4879
xx,xx,xx,xx,hi,312.2974,306.0911,300.4178,294.1346,287.9951,284.7052
xx,xx,xx,HIV +ve,lo,95.6726,90.3626,81.659,76.8406,70.9001,66.2483
xx,xx,xx,xx,md,120.7047,115.0243,111.797,108.1205,104.8203,102.8119
xx,xx,xx,xx,hi,151.6306,144.8941,141.5592,138.234,135.6158,133.1979
xx,xx,With COVID,All,lo,189.0338,182.9698,185.5412,184.4373,178.4168,169.0412
xx,xx,xx,xx,md,245.5372,230.1991,234.7943,240.5764,235.8808,227.0519
xx,xx,xx,xx,hi,312.2974,301.1649,307.4027,314.4542,307.8683,300.3726
xx,xx,xx,HIV +ve,lo,95.6726,89.0467,82.8674,80.8958,76.6114,70.2072
xx,xx,xx,xx,md,120.7047,114.0242,114.7321,114.7765,110.3027,106.4432
xx,xx,xx,xx,hi,151.6306,143.0549,147.9683,146.0739,141.8777,137.7841
xx,NAM,Baseline,All,lo,349.7622,340.9254,323.1822,308.3596,296.0556,285.2909
xx,xx,xx,xx,md,475.109,460.1232,447.7916,437.9295,424.9558,415.2553
xx,xx,xx,xx,hi,612.5961,591.5555,579.1102,568.5261,561.0666,553.5938
xx,xx,xx,HIV +ve,lo,111.0958,103.2757,97.1511,90.4685,86.5753,83.0265
xx,xx,xx,xx,md,152.2825,144.4698,138.3326,134.9241,130.7547,127.1996
xx,xx,xx,xx,hi,204.3389,199.5614,196.5428,190.5585,186.8951,182.9872
xx,xx,With COVID,All,lo,349.7622,332.8655,329.006,334.1874,321.0989,305.4064
xx,xx,xx,xx,md,475.109,451.3102,457.4261,468.3022,460.9234,445.4277
xx,xx,xx,xx,hi,612.5961,576.2544,590.1085,610.3521,603.6492,589.6028
xx,xx,xx,HIV +ve,lo,111.0958,101.7293,98.6478,96.0464,92.9713,87.3204
xx,xx,xx,xx,md,152.2825,141.474,142.1166,142.9419,137.6307,132.6577
xx,xx,xx,xx,hi,204.3389,195.1137,199.5774,200.8771,194.4427,189.0645
xx,SWZ,Baseline,All,lo,221.9284,215.5946,211.9196,207.9537,204.1815,200.5397
xx,xx,xx,xx,md,360.9299,350.3146,341.2323,331.4926,323.1083,315.891
xx,xx,xx,xx,hi,529.6617,509.133,490.9409,477.8353,466.7914,459.6994
xx,xx,xx,HIV +ve,lo,127.8841,120.9267,113.3923,107.792,103.1123,99.064
xx,xx,xx,xx,md,211.2911,201.7746,195.3699,189.4255,181.7766,176.6872
xx,xx,xx,xx,hi,320.8203,315.1242,309.789,304.0824,295.6754,287.8311
xx,xx,With COVID,All,lo,221.9284,209.5147,215.9106,222.3576,219.7069,214.2947
xx,xx,xx,xx,md,360.9299,341.7088,348.2126,356.3743,344.7272,334.6761
xx,xx,xx,xx,hi,529.6617,500.8025,509.1393,524.7632,513.6894,498.0961
xx,xx,xx,HIV +ve,lo,127.8841,118.4007,115.9348,115.8481,110.1863,104.4102
xx,xx,xx,xx,md,211.2911,197.7137,199.2021,198.202,191.7614,183.7545
xx,xx,xx,xx,hi,320.8203,308.8035,316.7201,313.7082,306.0495,297.3697
xx,SYC,Baseline,All,lo,13.8445,13.1406,12.3361,11.5728,10.9381,10.4311
xx,xx,xx,xx,md,15.7736,15.3214,14.8257,14.4775,14.2179,13.9327
xx,xx,xx,xx,hi,18.1983,17.5922,17.3654,17.1713,16.9234,16.5451
xx,xx,xx,HIV +ve,lo,0.19319,0.18454,0.17764,0.17194,0.16704,0.16267
xx,xx,xx,xx,md,2.3299,2.2475,2.1259,2.0171,1.9246,1.8472
xx,xx,xx,xx,hi,18.6655,18.1461,17.7257,17.3106,16.8891,16.466
xx,xx,With COVID,All,lo,13.8445,12.8567,12.4364,12.2322,11.7591,11.0821
xx,xx,xx,xx,md,15.7736,14.9118,15.2557,15.6228,15.3628,14.904
xx,xx,xx,xx,hi,18.1983,17.3355,17.7231,18.2125,17.8667,17.466
xx,xx,xx,HIV +ve,lo,0.19319,0.18319,0.18079,0.17948,0.17407,0.16797
xx,xx,xx,xx,md,2.3299,2.2075,2.1563,2.1149,2.015,1.9184
xx,xx,xx,xx,hi,18.6655,17.8275,18.28,18.3825,17.8377,17.2024
AMR,ABW,Baseline,xx,lo,1.9174,1.8988,1.8853,1.8611,1.84,1.8269
xx,xx,xx,xx,md,2.1997,2.1749,2.1598,2.1422,2.1243,2.1092
xx,xx,xx,xx,hi,2.5497,2.5246,2.5112,2.4992,2.4878,2.4765
xx,xx,With COVID,xx,lo,1.9174,1.9002,1.9481,2.0309,1.9742,1.9149
xx,xx,xx,xx,md,2.1997,2.1572,2.3165,2.4944,2.4141,2.3236
xx,xx,xx,xx,hi,2.5497,2.5081,2.7136,2.9939,2.957,2.8449
xx,ARG,Baseline,xx,lo,25.0586,24.863,24.7148,24.5366,24.3944,24.192
xx,xx,xx,xx,md,28.7064,28.5473,28.4275,28.2871,28.0397,27.8099
xx,xx,xx,xx,hi,34.1462,33.7249,33.37,33.0502,32.8499,32.7375
