Region,ISO3,Scenario,xx,xx,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024
AFR,BWA,Baseline,All,lo,5.0818,5.0651,5.0422,5.0191,4.9964,4.9741,4.9522,4.9306,4.9095,4.8887,4.8682,4.8482,4.8284,4.809,4.79,4.7713,4.7544,4.7399,4.7255,4.7113,4.6924,4.6723,4.6525,4.6331,4.614,4.5858,4.5574,4.5301,4.5064,4.487,4.4681,4.4495,4.4313,4.4135,4.3961,4.379,4.3582,4.3316,4.3059,4.2917,4.2791,4.2644,4.2499,4.2357,4.2217,4.2079,4.1944,4.1811,4.168,4.1553,4.1428,4.1306,4.1185,4.1066,4.0949,4.0812,4.0678,4.0546,4.038,4.0208,4.0042,3.988,3.9722,3.9566,3.9413,3.9253,3.907,3.8891,3.8715,3.8554,3.8418,3.8284
xx,xx,xx,xx,md,6.5285,6.5052,6.4812,6.4433,6.4202,6.3797,6.3564,6.3286,6.2956,6.237,6.2231,6.2093,6.1957,6.1697,6.14,6.1136,6.0812,6.0634,6.0356,6.0076,6.0015,5.9802,5.9737,5.9663,5.9335,5.9167,5.8901,5.8822,5.8742,5.8662,5.8581,5.85,5.8394,5.8236,5.8081,5.7943,5.7903,5.7635,5.7493,5.7376,5.7216,5.7049,5.6853,5.674,5.6632,5.6524,5.629,5.6054,5.5922,5.5857,5.5786,5.5632,5.548,5.5329,5.518,5.5032,5.4886,5.4741,5.4598,5.4456,5.4315,5.4176,5.3991,5.3901,5.3766,5.3632,5.3499,5.3368,5.3238,5.3108,5.298,5.2819
xx,xx,xx,xx,hi,7.9721,7.9558,7.9397,7.9237,7.8924,7.8553,7.8288,7.8115,7.7944,7.7774,7.7548,7.7265,7.6637,7.6029,7.578,7.5535,7.5294,7.5057,7.4824,7.4594,7.4362,7.4135,7.3911,7.3746,7.3624,7.3503,7.3382,7.3263,7.3145,7.3025,7.2904,7.2785,7.2667,7.2549,7.2433,7.2317,7.2202,7.2088,7.1925,7.1762,7.1599,7.1437,7.1275,7.1114,7.0953,7.0794,7.0634,7.051,7.0391,7.0272,7.0153,7.0029,6.9906,6.9783,6.9702,6.963,6.9558,6.9485,6.9412,6.934,6.9266,6.9193,6.9119,6.9045,6.8971,6.8897,6.8822,6.8748,6.8678,6.861,6.8543,6.8475
xx,xx,xx,HIV +ve,lo,3.0566,3.0403,3.0285,3.0179,3.0067,2.9926,2.9762,2.9485,2.9222,2.8994,2.885,2.8689,2.8539,2.8419,2.8302,2.8186,2.8073,2.7947,2.7758,2.7584,2.7299,2.6961,2.663,2.6346,2.6125,2.5929,2.5736,2.5548,2.5364,2.5184,2.4959,2.4634,2.4365,2.4121,2.3887,2.3666,2.3462,2.3322,2.3185,2.305,2.2918,2.2684,2.2441,2.2203,2.1971,2.1743,2.1521,2.1303,2.1091,2.0882,2.0679,2.048,2.0285,2.0094,1.9908,1.9728,1.9553,1.9381,1.9213,1.9049,1.8888,1.873,1.8576,1.8425,1.8277,1.8132,1.799,1.7851,1.7715,1.7581,1.748,1.7383
xx,xx,xx,xx,md,4.0654,4.0507,4.0328,4.0082,3.996,3.971,3.9546,3.9417,3.9212,3.9079,3.895,3.8841,3.8642,3.8479,3.8414,3.8351,3.8126,3.8048,3.7928,3.7814,3.7631,3.7523,3.7309,3.7116,3.6903,3.6709,3.6534,3.6433,3.6225,3.6028,3.5865,3.572,3.5623,3.5465,3.5304,3.5145,3.4988,3.4871,3.4774,3.4678,3.4583,3.4488,3.4419,3.4362,3.4208,3.4116,3.4007,3.3879,3.3806,3.3733,3.3661,3.3574,3.3504,3.3439,3.3373,3.3301,3.3229,3.3158,3.3086,3.3015,3.2974,3.2928,3.2865,3.2802,3.2739,3.2677,3.2615,3.2553,3.2491,3.2429,3.2367,3.2305
xx,xx,xx,xx,hi,5.3949,5.3688,5.343,5.3174,5.2922,5.2673,5.2428,5.2159,5.1806,5.1458,5.1118,5.0784,5.0457,5.0136,4.9821,4.9512,4.9209,4.8991,4.8813,4.8638,4.8467,4.8299,4.8133,4.796,4.779,4.7653,4.7584,4.7515,4.7447,4.7378,4.731,4.7241,4.7173,4.7105,4.7036,4.6968,4.69,4.6831,4.6763,4.6694,4.6626,4.6557,4.6489,4.642,4.6351,4.6282,4.6211,4.6076,4.5942,4.5809,4.5677,4.5546,4.5416,4.5287,4.5159,4.5031,4.4905,4.4779,4.4653,4.4524,4.4396,4.4269,4.4179,4.4099,4.4018,4.3937,4.3856,4.3775,4.3693,4.3611,4.3531,4.3461
xx,xx,With COVID,All,lo,5.0818,5.0651,5.0422,5.0191,4.9964,4.9741,4.9522,4.9306,4.9095,4.8887,4.8682,4.8482,4.8343,4.8429,4.8547,4.8822,4.9539,5.0162,5.0584,5.0933,5.1289,5.1627,5.19,5.2152,5.237,5.2384,5.2305,5.2277,5.2328,5.2281,5.2213,5.2198,5.2204,5.2315,5.2466,5.261,5.2693,5.2566,5.2408,5.2138,5.1385,5.0598,4.9873,4.9158,4.8523,4.7955,4.7446,4.6984,4.6562,4.6174,4.5815,4.5481,4.5168,4.4875,4.4599,4.4337,4.4088,4.3852,4.3626,4.3409,4.3202,4.3002,4.2784,4.2521,4.2266,4.2019,4.178,4.1552,4.1331,4.1117,4.0908,4.0705
xx,xx,xx,xx,md,6.5285,6.5052,6.4812,6.4433,6.4202,6.3797,6.3564,6.3286,6.2956,6.237,6.2231,6.2093,6.2016,6.2134,6.2253,6.2567,6.3307,6.3898,6.437,6.4364,6.4952,6.5337,6.5652,6.5993,6.6373,6.6656,6.6909,6.7045,6.7341,6.7786,6.8135,6.8251,6.8585,6.8689,6.8785,6.8982,6.9114,6.8992,6.8835,6.8561,6.7711,6.6812,6.6159,6.5307,6.471,6.4185,6.36,6.3025,6.2469,6.1944,6.1446,6.1086,6.0754,6.0402,6.0066,5.985,5.9581,5.9318,5.9064,5.8818,5.8579,5.8347,5.8088,5.79,5.7684,5.7473,5.7265,5.7061,5.6891,5.668,5.6468,5.6276
xx,xx,xx,xx,hi,7.9721,7.9558,7.9397,7.9237,7.8924,7.8553,7.8288,7.8115,7.7944,7.7774,7.7548,7.7265,7.6719,7.6501,7.6681,7.699,7.7879,7.8752,7.9299,7.9708,8.0108,8.0685,8.1217,8.173,8.2205,8.2491,8.2679,8.2902,8.3288,8.369,8.4047,8.4318,8.4572,8.4855,8.513,8.5393,8.5562,8.5411,8.5208,8.4833,8.3728,8.2562,8.1525,8.0815,8.0211,7.9665,7.9169,7.8737,7.8322,7.7824,7.7365,7.6941,7.6547,7.6181,7.5839,7.5519,7.5218,7.4935,7.4667,7.4413,7.4172,7.3942,7.3723,7.3513,7.3311,7.3117,7.293,7.2768,7.2618,7.2473,7.2332,7.2194
xx,xx,xx,HIV +ve,lo,3.0566,3.0403,3.0285,3.0179,3.0067,2.9926,2.9762,2.9485,2.9222,2.8994,2.885,2.8689,2.8579,2.8664,2.8762,2.8917,2.916,2.9352,2.9283,2.9106,2.8944,2.8887,2.8845,2.882,2.8787,2.8723,2.8654,2.86,2.8658,2.8726,2.8658,2.8559,2.8449,2.8355,2.8257,2.8154,2.8024,2.7802,2.7546,2.7144,2.6612,2.6072,2.5572,2.5108,2.4676,2.4271,2.3892,2.3535,2.3197,2.2878,2.2574,2.2284,2.2009,2.1749,2.15,2.126,2.1029,2.0805,2.0589,2.038,2.0177,1.9984,1.9829,1.9677,1.953,1.9386,1.9245,1.9107,1.8972,1.884,1.8711,1.8584
xx,xx,xx,xx,md,4.0654,4.0507,4.0328,4.0082,3.996,3.971,3.9546,3.9417,3.9212,3.9079,3.895,3.8841,3.8682,3.8706,3.8895,3.9094,3.9527,3.9913,4.0097,4.0214,4.0275,4.0451,4.0647,4.0819,4.0869,4.0941,4.0968,4.1039,4.117,4.133,4.1475,4.1602,4.1711,4.1741,4.1819,4.1856,4.1865,4.1816,4.1681,4.1468,4.0823,4.0348,3.9825,3.9347,3.8907,3.85,3.8121,3.7767,3.7434,3.7133,3.6849,3.6603,3.6432,3.6176,3.5932,3.5732,3.5534,3.5358,3.5207,3.5022,3.4863,3.4718,3.4608,3.4501,3.4397,3.428,3.416,3.4043,3.3929,3.3814,3.3702,3.3593
xx,xx,xx,xx,hi,5.3949,5.3688,5.343,5.3174,5.2922,5.2673,5.2428,5.2159,5.1806,5.1458,5.1118,5.0784,5.0519,5.049,5.0486,5.0637,5.1426,5.2083,5.2477,5.2746,5.2993,5.3205,5.3338,5.3453,5.3539,5.3529,5.3508,5.3542,5.374,5.4082,5.4419,5.4717,5.5002,5.5274,5.5533,5.5779,5.5995,5.5975,5.5924,5.5734,5.4945,5.4118,5.3427,5.2838,5.2327,5.1876,5.1472,5.1105,5.0814,5.0514,5.0227,4.9958,4.9702,4.946,4.923,4.901,4.8799,4.8596,4.8401,4.8212,4.803,4.7853,4.7681,4.7514,4.7351,4.7192,4.7036,4.6867,4.6658,4.6452,4.627,4.6132
xx,NAM,Baseline,All,lo,6.6636,6.6346,6.6062,6.5783,6.5488,6.5175,6.4867,6.4565,6.4332,6.4132,6.3935,6.374,6.3547,6.3322,6.3057,6.2796,6.2539,6.2286,6.2036,6.179,6.155,6.1319,6.0898,6.0471,6.0053,5.9716,5.9492,5.9272,5.9055,5.8799,5.8396,5.8001,5.7613,5.7338,5.7167,5.6997,5.683,5.6666,5.6504,5.623,5.5849,5.5476,5.5262,5.5069,5.4881,5.4695,5.4514,5.4335,5.4111,5.38,5.351,5.3225,5.2945,5.2732,5.2614,5.2497,5.2383,5.2249,5.2111,5.1975,5.1841,5.1709,5.1579,5.1444,5.1285,5.1129,5.0976,5.0825,5.0679,5.0538,5.04,5.0263
xx,xx,xx,xx,md,8.8627,8.8233,8.7765,8.7554,8.7186,8.6858,8.6515,8.6184,8.5842,8.551,8.5182,8.4863,8.4537,8.4068,8.3708,8.3509,8.2719,8.2263,8.2106,8.1683,8.1552,8.1422,8.1293,8.1166,8.0948,8.067,8.0491,8.0322,8.0028,7.9787,7.9652,7.9519,7.9387,7.923,7.8876,7.8699,7.8525,7.8434,7.8227,7.8001,7.7812,7.7554,7.7337,7.7125,7.6915,7.6709,7.6507,7.6404,7.631,7.6159,7.5948,7.5738,7.5531,7.5326,7.5125,7.4983,7.4863,7.4741,7.4546,7.4404,7.4265,7.4127,7.399,7.3819,7.3482,7.3201,7.3103,7.3005,7.2907,7.281,7.2713,7.2617
xx,xx,xx,xx,hi,11.6366,11.5708,11.506,11.4675,11.4375,11.4096,11.382,11.3547,11.3277,11.3011,11.2807,11.261,11.2416,11.2224,11.2035,11.1849,11.1665,11.1484,11.1297,11.1113,11.0931,11.0752,11.0575,11.04,11.0227,11.0057,10.9888,10.9721,10.9577,10.9461,10.9347,10.9235,10.9123,10.9013,10.8904,10.8795,10.8688,10.8582,10.8477,10.8373,10.827,10.8167,10.8066,10.7966,10.7866,10.7767,10.7669,10.7572,10.7475,10.7379,10.7284,10.7189,10.7096,10.7002,10.691,10.6818,10.6727,10.6552,10.635,10.6149,10.5949,10.575,10.5552,10.5355,10.5159,10.4963,10.4769,10.4575,10.4382,10.419,10.3998,10.3802
xx,xx,xx,HIV +ve,lo,2.8931,2.8823,2.8717,2.8613,2.8511,2.841,2.8311,2.8214,2.8118,2.8024,2.7743,2.7453,2.7199,2.6954,2.6788,2.6686,2.6585,2.6486,2.6388,2.6292,2.6173,2.5897,2.5629,2.5376,2.5138,2.5029,2.4922,2.4816,2.4713,2.4599,2.4458,2.4319,2.416,2.399,2.3847,2.3711,2.3578,2.3448,2.332,2.3195,2.3072,2.2952,2.2834,2.2718,2.2605,2.2493,2.2384,2.2277,2.2194,2.2105,2.2009,2.1913,2.182,2.1721,2.1622,2.1525,2.1391,2.123,2.1073,2.0919,2.0768,2.062,2.0474,2.0332,2.0196,2.0065,1.9936,1.981,1.9686,1.9565,1.9446,1.9329
xx,xx,xx,xx,md,4.1496,4.1355,4.1215,4.1077,4.0947,4.0804,4.067,4.0537,4.0335,4.0156,3.9913,3.9649,3.9412,3.9207,3.912,3.8994,3.8891,3.8761,3.8688,3.8589,3.8489,3.8391,3.8294,3.8134,3.8037,3.7895,3.7774,3.7721,3.7566,3.7373,3.7193,3.7151,3.7109,3.7067,3.6954,3.6837,3.6721,3.661,3.6568,3.6439,3.6267,3.6156,3.602,3.584,3.5745,3.5676,3.5607,3.551,3.5405,3.5302,3.5199,3.5097,3.4996,3.4895,3.4796,3.4697,3.4598,3.4501,3.4404,3.4308,3.4212,3.4117,3.4023,3.393,3.3859,3.3781,3.3708,3.3634,3.3534,3.3426,3.3318,3.3212
xx,xx,xx,xx,hi,5.8859,5.8736,5.8615,5.8495,5.8376,5.8258,5.8141,5.8026,5.7912,5.7799,5.7687,5.7576,5.7466,5.7357,5.7246,5.7136,5.7026,5.6916,5.6741,5.6496,5.6249,5.6007,5.577,5.5537,5.5309,5.5085,5.4866,5.465,5.4438,5.4231,5.4027,5.3829,5.3712,5.3596,5.3481,5.3365,5.3251,5.3137,5.3023,5.2909,5.2797,5.2684,5.2572,5.246,5.2348,5.2247,5.2161,5.2075,5.1989,5.1903,5.1817,5.1731,5.1646,5.156,5.1474,5.1389,5.1303,5.1217,5.1132,5.1046,5.096,5.0875,5.0789,5.0703,5.0617,5.0531,5.0445,5.0358,5.0272,5.0186,5.0099,5.0013
xx,xx,With COVID,All,lo,6.6636,6.6346,6.6062,6.5783,6.5488,6.5175,6.4867,6.4565,6.4332,6.4132,6.3935,6.374,6.363,6.3831,6.4066,6.4422,6.534,6.6138,6.6667,6.6984,6.7319,6.7576,6.763,6.7704,6.7962,6.8182,6.8381,6.8606,6.8815,6.9004,6.9157,6.9223,6.9282,6.9294,6.9195,6.9097,6.8938,6.8477,6.7989,6.7528,6.6551,6.5531,6.4624,6.3814,6.3085,6.2427,6.1829,6.1284,6.0641,6.002,5.9437,5.8888,5.8402,5.8031,5.768,5.7348,5.7032,5.6731,5.6443,5.6168,5.5904,5.565,5.5406,5.5171,5.4944,5.4725,5.4513,5.4307,5.4108,5.3915,5.3727,5.3545
