group.type,group.name,group.description,year,e.rr.pct.new,e.rr.pct.new.lo,e.rr.pct.new.hi,e.rr.pct.new.se,e.rr.pct.ret,e.rr.pct.ret.lo,e.rr.pct.ret.hi,e.rr.pct.ret.se,e.inc.rr.num,e.inc.rr.num.lo,e.inc.rr.num.hi,e.inc.rr.100k,e.inc.rr.100k.lo,e.inc.rr.100k.hi,e.mdr.pct.rr,e.inc.mdr.num,e.inc.mdr.num.lo,e.inc.mdr.num.hi,e.rr.in.notified.pulm,e.rr.in.notified.pulm.lo,e.rr.in.notified.pulm.hi,e.rr.in.notified.labconf.pulm,e.rr.in.notified.labconf.pulm.lo,e.rr.in.notified.labconf.pulm.hi
g_whoregion,AFR,WHO African Region,2015,3.2,2,4.4,0.61,17,5.5,29,,96000,72000,120000,9.6,7.2,12,,,,,41000,36000,46000,16000,13000,19000
g_whoregion,AFR,WHO African Region,2016,3.2,2,4.3,0.57,17,6.7,28,,91000,69000,113000,8.9,6.8,11,,,,,40000,35000,46000,26000,22000,29000
g_whoregion,AFR,WHO African Region,2017,3.2,2,4.3,0.57,18,7.1,29,,90000,68000,112000,8.6,6.4,11,,,,,42000,36000,47000,27000,24000,30000
g_whoregion,AFR,WHO African Region,2018,3.2,2,4.3,0.58,18,7.4,29,,89000,66000,112000,8.3,6.2,10,,,,,43000,37000,50000,29000,25000,33000
g_whoregion,AFR,WHO African Region,2019,3.2,2,4.3,0.59,19,7.8,29,,88000,65000,112000,8,5.9,10,,,,,46000,39000,53000,29000,24000,34000
g_whoregion,AFR,WHO African Region,2020,3.2,2,4.3,0.6,19,8.1,30,,87000,63000,111000,7.7,5.6,9.8,,,,,46000,38000,53000,29000,24000,34000
g_whoregion,AFR,WHO African Region,2021,3.2,2,4.4,0.62,20,8.2,31,,89000,64000,115000,7.7,5.5,9.9,,,,,47000,38000,56000,29000,23000,35000
g_whoregion,AMR,WHO/PAHO Region of the Americas,2015,3.8,2.7,5,0.59,12,6.4,17,,12000,8800,14000,1.2,0.89,1.5,,,,,8000,6400,9500,3700,2800,4700
g_whoregion,AMR,WHO/PAHO Region of the Americas,2016,3.8,2.6,4.9,0.59,11,5.7,17,,12000,8700,14000,1.2,0.88,1.4,,,,,7900,6200,9600,5500,4300,6700
g_whoregion,AMR,WHO/PAHO Region of the Americas,2017,3.7,2.5,4.9,0.6,11,4.9,17,,12000,8700,15000,1.2,0.87,1.5,,,,,8100,6200,10000,6100,4700,7500
