iso3,sex,diabetes,alcohol,undernutrition,smoking,diabetes.sd,alcohol.sd,undernutrition.sd,smoking.sd,inc.15plus,inc.15plus.sd,pop,adults,inc,inc.lo,inc.hi,inc.sd,hiv,hiv.sd,irr,irr.sd,sex,paf.hiv,paf.hiv.sd,sex,paf.dia,paf.dia.sd,sex,paf.alc,paf.alc.sd,sex,paf.smk,paf.smk.sd,sex,paf.und,paf.und.sd,inc.at.hiv,inc.at.hiv.sd,inc.at.dia,inc.at.dia.sd,inc.at.alc,inc.at.alc.sd,inc.at.smk,inc.at.smk.sd,inc.at.und,inc.at.und.sd,inc.at.hiv.num,inc.at.dia.num,inc.at.alc.num,inc.at.smk.num,inc.at.und.num,inc.at.hiv.lo.num,inc.at.hiv.hi.num,inc.at.dia.lo.num,inc.at.dia.hi.num,inc.at.alc.lo.num,inc.at.alc.hi.num,inc.at.smk.lo.num,inc.at.smk.hi.num,inc.at.und.lo.num,inc.at.und.hi.num
AFG,a,0.118999996185303,0.00400000005960465,0.256000003814697,0.0780000019073486,0.0214285704554344,,,,324.427384251941,64.845794910822,38972230,21899306,188.742924872095,120.451142111873,272.09157405757,38.8275229594864,0.000272622111488678,0.000219266713641402,20.4194612131798,8.72131426707541,a,0.005242883618014,0.00517620067204829,a,0.05588351633015,0.0162477320135049,a,0.00922451960157649,0.00305506279422685,a,0.0422733370284869,0.0167859574792327,a,0.360241934482376,0.0053454604479274,0.989557188827954,1.01799087251492,18.1301430257912,6.48287896618947,2.99268676532022,1.17448973447885,13.7146281557527,6.19324414034367,67.9931163757852,14.0251776943494,385,3970,655,3003,26498,8,1457,649,10234,82,1808,230,9240,16889,38236
AFG,f,0.121999998092651,0.00100000001490116,,0.015,0.0306122424651165,,,,337.878939667009,95.5011126579604,14063040,10947832,196.196663600846,120.451142111873,272.09157405757,55.4547723280008,,,,,f,,,f,0.0571099362168595,0.0192303365256761,f,0.00232398258716119,0.000774448570895222,f,0.00846543648213968,0.00346101469567155,f,,,,,19.296244693403,8.67971416460001,0.785224772354614,0.350998522572249,2.86029270240377,1.45957581189052,,,,2112,85,313,,,,434,5090,17,206,47,824,,
AFG,m,0.116000003814697,0.00600000023841858,,0.14,0.0301020425193164,,,,311,88.1052078095432,14211360,10951474,181.672273730813,120.451142111873,272.09157405757,51.349469420891,,,,,m,,,m,0.0544587745467552,0.018722839309391,m,0.0137663501243469,0.00454062323423775,m,0.0730450834479683,0.0282062206738271,m,,,,,16.9366788840409,7.72320707448409,4.28133488867188,1.90401134410404,22.7170209523181,11.1599176593187,,,,1854,468,2487,,,,362,4542,96,1128,405,6421,,
AGO,a,0.0819999980926514,0.06,0.172999992370605,,0.0221938770644519,,,,600.422179110824,129.387540289577,33428486,18283176,324.677,213.448157516969,458.773718440436,62.7889285714286,0.00913195756498985,0.000715788311418523,20.4194612131798,8.72131426707541,a,0.146620859956356,0.0586687900799856,a,0.0391866792213505,0.0140030133317038,a,0.121181313000082,0.0359944087460579,a,,,a,0.275647627197991,0.00463097072509073,47.60442094805,21.4747601350229,23.5285513302001,9.98398943665369,72.75994801902,27.1035705831745,,,89.4964446557622,17.3752396425277,15913,4301,13302,,29917,5102,32762,378,12871,1805,36034,,,19635,42329
AGO,f,0.0780000019073486,0.0170000004768372,,,0.0293367359102989,,,,487.708237180772,146.560774901742,12275846,9374384,264.784186457743,213.448157516969,458.773718440436,79.5700638014653,,,,,f,,,f,0.0372629326912896,0.0165065754009646,f,0.0379451181739418,0.0122403010418931,f,,,f,,,,,18.1734392150546,10.0243233472389,18.5061466942292,8.35363359236565,,,,,,1703,1734,,,,,192,4823,339,4245,,,,
AGO,m,0.085,0.106000003814697,,,0.0316326551291407,,,,718,215.929289948639,11854364,8908792,380.133073037706,213.448157516969,458.773718440436,114.233456609708,,,,,m,,,m,0.0404509805314905,0.0177295678641317,m,0.19455451467752,0.0532711649940799,m,,,m,,,,,29.0438040216102,15.9058821948775,139.690141538459,57.9665328477264,,,,,,2587,12444,,,,,284,7375,2818,29083,,,,
ALB,a,0.0740000009536743,0.0590000009536743,0.0390000009536743,0.201000003814697,0.0163265320719505,,,,17.5306330384918,1.38373859722423,2866849,2394635,16.6994,14.2234487067945,19.3710599844564,1.31390306122449,0.000498124152716038,3.88518460756339e-05,20.4194612131798,8.72131426707541,a,0.00956173767033862,0.00433758958905372,a,0.0355464616902382,0.0114727387370494,a,0.119424039555916,0.035537926911074,a,0.101185793514256,0.0380416818953178,a,0.0790169862298121,0.00168775859566257,0.159675282052053,0.0737371310388795,0.623151975708373,0.207659335473238,2.0935790134291,0.646419557510608,1.77385101480703,0.683464471399735,1.31953625984612,0.107601190452982,4,14,50,42,37,1,9,5,28,20,92,13,88,32,44
ALB,f,0.0709999990463257,0.0209999990463257,,0.0509999990463257,0.0221938770644519,,,,8.97094023191284,0.897952571113275,1272698,1202196,7.60524859895582,14.2234487067945,19.3710599844564,0.752388429791763,,,,,f,,,f,0.0341039751052621,0.0133585311996443,f,0.0464162069068523,0.0148540673971298,f,0.0281173419772933,0.0113042262125288,f,,,,,0.305944722339949,0.12426982145503,0.416397017953472,0.140256821084985,0.252238994358552,0.104997112904853,,,,3,5,3,,,,1,7,2,9,1,6,,
ALB,m,0.0769999980926514,0.0989999961853027,,0.35,0.0234693884849548,,,,25,2.59363497517857,1267083,1192439,21.5304135531794,14.2234487067945,19.3710599844564,2.13000717008357,,,,,m,,,m,0.036870378490922,0.0141756989684923,m,0.184251214030472,0.0510576084905003,m,0.162409640955727,0.0573583290359378,m,,,,,0.921759462273051,0.368904567865498,4.60628035076181,1.36938147090243,4.06024102389318,1.50193325907092,,,,10,54,48,,,,3,21,26,93,18,92,,
AND,a,0.0690000009536743,0.0590000009536743,,0.308999996185303,0.0145408170563834,,,,3.45584037022568,0.264336972785554,77700,67339,2.91013993977276,2.48998748907751,3.36256532805208,0.22271479130914,,,22.6235856167369,5.65589640418423,a,,,a,0.0332372209991072,0.0105311428419882,a,0.119424039555916,0.035537926911074,a,0.146521233418207,0.05262529133447,a,,,,,0.114862530122827,0.0375427704900254,0.412710417072764,0.127153173006353,0.5063539935419,0.186462689076953,,,,0,0,0,,,,0,0,0,0,0,0,,
