"group_type","group_name","year","bcg_coverage"
"g_whoregion","AFR",2015,78
"g_whoregion","AMR",2015,96
"g_whoregion","EMR",2015,86
"g_whoregion","EUR",2015,90
"global","global",2015,88
"g_whoregion","SEA",2015,89
"g_whoregion","WPR",2015,96
"g_whoregion","AFR",2016,80
"g_whoregion","AMR",2016,93
"g_whoregion","EMR",2016,88
"g_whoregion","EUR",2016,92
"global","global",2016,89
"g_whoregion","SEA",2016,90
"g_whoregion","WPR",2016,97
"g_whoregion","AFR",2017,82
"g_whoregion","AMR",2017,92
"g_whoregion","EMR",2017,87
"g_whoregion","EUR",2017,92
"global","global",2017,89
"g_whoregion","SEA",2017,93
"g_whoregion","WPR",2017,97
"g_whoregion","AFR",2018,81
"g_whoregion","AMR",2018,92
"g_whoregion","EMR",2018,89
"g_whoregion","EUR",2018,93
"global","global",2018,89
"g_whoregion","SEA",2018,93
"g_whoregion","WPR",2018,96
"g_whoregion","AFR",2019,81
"g_whoregion","AMR",2019,84
"g_whoregion","EMR",2019,89
"g_whoregion","EUR",2019,92
"global","global",2019,88
"g_whoregion","SEA",2019,93
"g_whoregion","WPR",2019,95
"g_whoregion","AFR",2020,81
"g_whoregion","AMR",2020,68
"g_whoregion","EMR",2020,89
"g_whoregion","EUR",2020,93
"global","global",2020,85
"g_whoregion","SEA",2020,87
"g_whoregion","WPR",2020,93
"g_whoregion","AFR",2021,78
"g_whoregion","AMR",2021,81
"g_whoregion","EMR",2021,88
"g_whoregion","EUR",2021,92
"global","global",2021,84
"g_whoregion","SEA",2021,85
"g_whoregion","WPR",2021,89
