option.id,optiontext.EN,optiontext.FR,optiontext.ES,optiontext.RU
0,No,Non,No,Нет
1,Yes,Oui,Sí,Да
2,Not applicable,Sans objet,No aplica,Не применимо
3,Don't know,Ne sais pas,No sabe,Не известно
4,Other,Autres,Otros,Другое
5,Not applicable (because there were no TB cases),Sans objet (parce qu'il n'y a pas eu de cas de TB),No se aplica (porque no hubo casos de TB),Не применимо (потому что нет случаев туберкулеза)
10,Yes (all suspects),Oui (pour tous les cas suspects),Sí (todos los casos sospechosos),Да (все случаи с подозрением на ТБ)
11,Yes (if TB is confirmed),Oui (si la TB est confirmée),Sí (caso de confirmarse la TB),Да (если ТБ подтвержден)
12,Yes (for smear-positive TB),Oui (en cas de TB à frottis positif),Sí (en caso de TB bacilífera),Да (для ТБ с положительным результатом микроскопии мазка мокроты)
13,Yes (for certain income groups),Oui (pour certaines catégories de revenus),Sí (para algunos grupos de ingresos),Да (для определенных групп доходов)
14,Yes (other criteria),Oui (autres critères),Sí (otros criterios),Да (по другим критериям)
15,Yes (most/all supervised patients),Oui (la plupart/tous les patients dont le traitement est supervisé),Sí (mayoría/todos los pacientes supervisados),Да (непосредственное наблюдение всех/большинства пациентов)
16,Yes (some supervised patients),Oui (certains patients dont le traitement est supervisé),Sí (algunos pacientes supervisados),Да (непосредственное наблюдение некоторых пациентов )
17,"Yes, national","Oui, nationale","Sí, nacional","Да, на национальном уровне"
18,"Yes, subnational","Oui, sous-nationale","Sí, subnacional","Да, на субнациональном уровне"
19,"Yes, web-based","Oui, sur le web","Sí, basado en la web","Да, доступна через веб-сеть"
20,"Yes, stand-alone","Oui, mais pas sur le web","Sí, independiente","Да, автономно, не через веб-сеть"
21,"Yes, including XDR-TB","Oui, y compris pour la TB-UR","Sí, incluida XDR","Да, включаи и ШЛУ-ТБ"
22,"Yes, not including XDR-TB","Oui, sauf pour la TB-UR","Sí, excluida XDR","Да, но исключая ШЛУ-ТБ"
23,"Yes, within the country","Oui, dans le pays","Sí, dentro del país","Да, в стране"
24,"Yes, using laboratories in another country","Oui, dans les laboratoires d’un autre pays","Sí, usando laboratorios en otro país","Да, но в лаборатории/ях за пределеми страны"
25,"Yes, using laboratories within and outside the country","Oui, dans les laboratoires du pays et d’autres pays","Sí, usando laboratorios en el propio país y en otros países","Да, в лаборатории/ях в стране и за ее пределеми"
26,"Yes, all","Oui, tous","Sí, todos","Да, все"
27,From certain countries,"Oui, ceux de certains pays",De algunos países,Для некоторых стран
30,Some,Quelques,Algunos,Некоторые
31,Yes (all supervised patients),Oui (tous les patients dont le traitement est supervisé),Sí (todos los pacientes supervisados),Да (непосредственное наблюдение за всеми пациентами)
32,Yes (most supervised patients),Oui (la plupart des patients dont le traitement est supervisé),Sí (mayoría de los pacientes supervisados),Да (непосредственное наблюдение за большинством пациентов)
33,Yes (few supervised patients),Oui (quelques-uns des patients dont le traitement est supervisé),Sí (unos pocos de los pacientes supervisados),Да (непосредственное наблюдение за некоторыми/несколькими пациентами)
34,All units,Toutes les unités,Todas las unidades,Все единицы
35,Some units,Quelques unités,Algunas unidades,Некоторые единицы
36,All patients in all units,Tous les patients dans toutes les unités,Todos los pacientes en todas las unidades,Все пациенты во всех единицах
37,Some patients in all units,Quelques patients dans toutes les unités,Algunos pacientes en todas las unidades,Некоторые пациенты во всех единицах
38,All patients in some units,Tous les patients dans quelques unités,Todos los pacientes en algunas unidades,Все пациенты но в некоторых единицах
39,Some patients in some units,Quelques patients dans quelques unités,Algunos pacientes en algunas unidades,Некоторые пациенты в некоторых единицах
40,"Yes, all patients","Oui, tous les patients","Sí, todos los pacientes","Да, все пациенты"
41,"Yes, MDR-TB patients only","Oui, uniquement pour les patients atteints d'une tuberculose multi-résistante","Sí, unicamente para los pacientes TB-MDR","Да, только пациенты с МЛУ-ТБ"
42,"Yes, all TB patients in the country","Oui, tous les patients tuberculeux dans le pays","Sí, todos los pacientes con tuberculosis en el país","Да, всех больных туберкулезом в стране"
43,"Yes, but only for MDR-TB patients countrywide","Oui, mais uniquement pour les patients TB-MR dans tout le pays","Sí,  pero únicamente para pacientes TB-MDR en todo el país","Да, но только для больных МЛУ-ТБ по всей стране"
44,Partially (transition to a case-based system is under way),Partiellement (actuellement en train de passer à un système basé au niveau des cas),Parcialmente (se está realizando la transición a un sistema nominal (basado en casos)),Частично (идет переход на прецедентную систему)
50,Ongoing,En cours,En curso,Происходит в настоящее время
55,Under preparation,En préparation,En preparación,В процессе разработки
60,"Yes, available from our routine surveillance system","Oui, disponible de notre système de surveillance de routine","Sí, disponible en nuestro sistema de vigilancia rutinaria","Да, данные доступны из рутинной системы эпиднадзора"
61,"Yes, estimated from a review of a random sample of medical records or treatment cards of TB patients, representative of the national TB patient population","Oui, estimée à partir de l'examen d'un échantillon aléatoire de dossiers médicaux ou de cartes de traitement de patients atteints de tuberculose, représentatif de la population nationale de patients tuberculeux","Sí, estimado a partir de la revisión de una muestra aleatoria de registros médicos o tarjetas de tratamiento de pacientes con tuberculosis, representativa de la población nacional de pacientes con tuberculosis","Да, оценено по результатам изучения случайной выборки медицинских карт или карточек лечения больных туберкулезом, репрезентативной для н"
70,Monthly,Mensuel,Mensual,Ежемесячно
71,Quarterly,Trimestriel,Trimestral,Ежеквартальный сайт
100,Smear,Microscopie des crachats,Baciloscopia,по мазок
101,Culture,Culture,Cultivo,по посеву
102,Smear or culture,Microscopie des crachats ou  culture,Baciloscopia o cultivo,по мазоку или посеву
103,Hospital,Hôpital,Hospital,Госпиталь/больница/клиника
104,Health centre (or equivalent),Dispensaire (ou équivalent),Centro de salud (o equivalente),Центр здоровья/поликлиника (или равнозначный этому)
105,Health post (or equivalent),Poste de santé (ou équivalent),Puesto de salud (o equivalente),Пункт здоровья/амбулатория/ФАП (или равнозначный этому)
106,2HRZE,2HRZE,2HRZE,2HRZE
107,2(HR)ZE,2(HR)ZE,2(HR)ZE,2(HR)ZE
108,2(HRZ)E,2(HRZ)E,2(HRZ)E,2(HRZ)E
109,2(HRZE),2(HRZE),2(HRZE),2(HRZE)
110,2HRZ,2HRZ,2HRZ,2HRZ
111,4HR,4HR,4HR,4HR
112,4(HR),4(HR),4(HR),4(HR)
113,6HE,6HE,6HE,6HE
114,6(HE),6(HE),6(HE),6(HE)
