cat1,cat2,value
Existing legal/policy framework for engagement of communities/CSOs,Yes,20
Existing legal/policy framework for engagement of communities/CSOs,No,7
Availability of external funding,Yes,27
Availability of external funding,No,0
Availability of domestic funding,Yes,9
Availability of domestic funding,No,18
Existing national coordinating body for community/CS engagement,Yes,22
Existing national coordinating body for community/CS engagement,No,5
Existance of CHW programme within MOH,Yes,25
Existance of CHW programme within MOH,No,2
Inclusion of TB services in CHW programme,Yes,24
Inclusion of TB services in CHW programme,No,3
