group_type,group_name,year,risk.factor,measure,unit,sex,age,best,lo,hi
g_whoregion,EMR,2021,hiv,inc,num,a,a,12681,5011,23847
g_whoregion,EMR,2021,diabetes,inc,num,a,18+,43482,17531,81013
g_whoregion,EMR,2021,diabetes,inc,num,f,18+,18483,8203,32866
g_whoregion,EMR,2021,diabetes,inc,num,m,18+,24719,10396,45136
g_whoregion,EMR,2021,alcohol,inc,num,a,15+,8126,3446,14777
g_whoregion,EMR,2021,alcohol,inc,num,f,15+,839,404,1430
g_whoregion,EMR,2021,alcohol,inc,num,m,15+,7182,3646,11894
g_whoregion,EMR,2021,smoking,inc,num,a,15+,48925,12554,109572
g_whoregion,EMR,2021,smoking,inc,num,f,15+,5006,1537,10483
g_whoregion,EMR,2021,smoking,inc,num,m,15+,46004,16233,91004
g_whoregion,EMR,2021,undernutrition,inc,num,a,a,207075,167466,250824
g_whoregion,AFR,2021,hiv,inc,num,a,a,594459,467842,736010
g_whoregion,AFR,2021,diabetes,inc,num,a,18+,71840,46735,102255
g_whoregion,AFR,2021,diabetes,inc,num,f,18+,28030,18645,39297
g_whoregion,AFR,2021,diabetes,inc,num,m,18+,43156,28658,60573
g_whoregion,AFR,2021,alcohol,inc,num,a,15+,170874,113204,240227
g_whoregion,AFR,2021,alcohol,inc,num,f,15+,18765,12806,25843
g_whoregion,AFR,2021,alcohol,inc,num,m,15+,166292,117885,222895
g_whoregion,AFR,2021,smoking,inc,num,a,15+,92041,55929,137001
g_whoregion,AFR,2021,smoking,inc,num,f,15+,6720,3607,10784
g_whoregion,AFR,2021,smoking,inc,num,m,15+,95785,63785,134185
g_whoregion,AFR,2021,undernutrition,inc,num,a,a,630495,547182,719624
g_whoregion,EUR,2021,hiv,inc,num,a,a,17750,10322,27157
g_whoregion,EUR,2021,diabetes,inc,num,a,18+,9498,6645,12851
g_whoregion,EUR,2021,diabetes,inc,num,f,18+,3487,2410,4759
g_whoregion,EUR,2021,diabetes,inc,num,m,18+,5913,3969,8237
g_whoregion,EUR,2021,alcohol,inc,num,a,15+,42305,26625,61556
g_whoregion,EUR,2021,alcohol,inc,num,f,15+,6319,3775,9506
g_whoregion,EUR,2021,alcohol,inc,num,m,15+,40009,26124,56804
g_whoregion,EUR,2021,smoking,inc,num,a,15+,26901,17275,38624
g_whoregion,EUR,2021,smoking,inc,num,f,15+,5174,3519,7142
g_whoregion,EUR,2021,smoking,inc,num,m,15+,23618,15233,33811
g_whoregion,EUR,2021,undernutrition,inc,num,a,a,12531,11494,13611
g_whoregion,AMR,2021,hiv,inc,num,a,a,22495,14634,32018
g_whoregion,AMR,2021,diabetes,inc,num,a,18+,12285,8549,16686
g_whoregion,AMR,2021,diabetes,inc,num,f,18+,4585,3209,6201
g_whoregion,AMR,2021,diabetes,inc,num,m,18+,7421,5027,10273
g_whoregion,AMR,2021,alcohol,inc,num,a,15+,34177,24961,44817
g_whoregion,AMR,2021,alcohol,inc,num,f,15+,6368,4893,8033
g_whoregion,AMR,2021,alcohol,inc,num,m,15+,30976,23396,39603
g_whoregion,AMR,2021,smoking,inc,num,a,15+,17804,10801,26528
g_whoregion,AMR,2021,smoking,inc,num,f,15+,4077,2550,5955
g_whoregion,AMR,2021,smoking,inc,num,m,15+,15038,9873,21270
g_whoregion,AMR,2021,undernutrition,inc,num,a,a,45888,42086,49851
g_whoregion,WPR,2021,hiv,inc,num,a,a,47070,27430,71925
g_whoregion,WPR,2021,diabetes,inc,num,a,18+,65131,36186,102440
g_whoregion,WPR,2021,diabetes,inc,num,f,18+,19348,10889,30198
g_whoregion,WPR,2021,diabetes,inc,num,m,18+,46767,25496,74381
g_whoregion,WPR,2021,alcohol,inc,num,a,15+,175111,95012,279290
g_whoregion,WPR,2021,alcohol,inc,num,f,15+,13531,6786,22562
g_whoregion,WPR,2021,alcohol,inc,num,m,15+,194237,113796,295831
g_whoregion,WPR,2021,smoking,inc,num,a,15+,195783,94917,332546
g_whoregion,WPR,2021,smoking,inc,num,f,15+,12245,5514,21614
g_whoregion,WPR,2021,smoking,inc,num,m,15+,219999,119742,350242
g_whoregion,WPR,2021,undernutrition,inc,num,a,a,214308,152533,286421
g_whoregion,SEA,2021,hiv,inc,num,a,a,161893,85196,262798
g_whoregion,SEA,2021,diabetes,inc,num,a,18+,169025,84192,282921
g_whoregion,SEA,2021,diabetes,inc,num,f,18+,64318,32585,106657
g_whoregion,SEA,2021,diabetes,inc,num,m,18+,105151,50748,179034
g_whoregion,SEA,2021,alcohol,inc,num,a,15+,310544,118690,593048
g_whoregion,SEA,2021,alcohol,inc,num,f,15+,17490,8720,29259
g_whoregion,SEA,2021,alcohol,inc,num,m,15+,324608,142176,581052
g_whoregion,SEA,2021,smoking,inc,num,a,15+,306438,160563,498668
g_whoregion,SEA,2021,smoking,inc,num,f,15+,14947,7322,25245
g_whoregion,SEA,2021,smoking,inc,num,m,15+,317073,187325,480406
g_whoregion,SEA,2021,undernutrition,inc,num,a,a,1040987,922728,1166272
