iso3,scenario,hiv,measure,year,best,lo,hi
AGO,Baseline,a,inc,2019,343.9523,225.7897,494.9119
AGO,COVID,a,inc,2019,343.9523,225.7897,494.9119
AGO,Baseline,a,mort,2019,60.9791,37.9467,88.6293
AGO,COVID,a,mort,2019,60.9791,37.9467,88.6293
AGO,Baseline,a,inc,2020,340.9428,222.7081,484.7127
AGO,COVID,a,inc,2020,329.2543,218.2329,465.4968
AGO,Baseline,a,mort,2020,59.1974,35.8826,87.5016
AGO,COVID,a,mort,2020,59.4914,36.0498,87.7392
AGO,Baseline,a,inc,2021,333.3467,217.5524,476.601
AGO,COVID,a,inc,2021,324.677,215.5168,461.6494
AGO,Baseline,a,mort,2021,57.8147,34.2131,86.6067
AGO,COVID,a,mort,2021,60.1553,35.005,88.0165
AGO,Baseline,a,inc,2022,327.3152,207.9898,472.4969
AGO,COVID,a,inc,2022,328.831,217.2829,482.8438
AGO,Baseline,a,mort,2022,57.129,32.8624,85.9306
AGO,COVID,a,mort,2022,63.6787,35.8279,92.9648
AGO,Baseline,a,inc,2023,322.1901,200.489,471.9844
AGO,COVID,a,inc,2023,331.3798,213.1732,492.8158
AGO,Baseline,a,mort,2023,56.8455,31.7707,85.4566
AGO,COVID,a,mort,2023,60.9688,33.5649,90.5284
AGO,Baseline,a,inc,2024,317.6754,194.6592,470.6077
AGO,COVID,a,inc,2024,328.4515,205.4499,491.2802
AGO,Baseline,a,mort,2024,56.3386,30.8907,85.1664
AGO,COVID,a,mort,2024,59.3527,32.1592,89.355
AZE,Baseline,a,inc,2019,59.9641,45.5628,75.4829
AZE,COVID,a,inc,2019,59.9641,45.5628,75.4829
AZE,Baseline,a,mort,2019,6.0146,5.5123,6.5528
AZE,COVID,a,mort,2019,6.0146,5.5123,6.5528
AZE,Baseline,a,inc,2020,58.5624,45.2814,73.8982
AZE,COVID,a,inc,2020,58.1754,44.7744,72.855
AZE,Baseline,a,mort,2020,5.9051,5.4203,6.4531
AZE,COVID,a,mort,2020,6.5516,5.9386,7.1004
AZE,Baseline,a,inc,2021,58.0954,45.2854,72.6294
AZE,COVID,a,inc,2021,62.506,49.621,77.4548
AZE,Baseline,a,mort,2021,5.8248,5.3614,6.3505
AZE,COVID,a,mort,2021,8.9355,7.4123,9.8541
AZE,Baseline,a,inc,2022,57.6516,45.1259,71.5877
AZE,COVID,a,inc,2022,66.7979,51.5189,85.3802
AZE,Baseline,a,mort,2022,5.7559,5.2414,6.2923
AZE,COVID,a,mort,2022,7.956,6.882,9.0781
