variable.name,display.section,definition,code.list,lag,source,validity.years,notes,calculation,display.via.web
 e_prevtx_kids_pct,Latent TB infection estimates,Estimated % of children received TB preventive therapy aged under 5 who are household contacts of TB cases and who are eligible for TB preventive therapy,,,WHO GTB,2015 -,,,1
 e_prevtx_kids_pct_hi,Latent TB infection estimates,Estimated % of children received TB preventive therapy aged under 5 who are household contacts of TB cases and who are eligible for TB preventive therapy: High bound,,,WHO GTB,2015 -,,,1
 e_prevtx_kids_pct_lo,Latent TB infection estimates,Estimated % of children received TB preventive therapy aged under 5 who are household contacts of TB cases and who are eligible for TB preventive therapy: Low bound,,,WHO GTB,2015 -,,,1
acsm_nonntp_involved,Strategy,"Were NGOs and other relevant stakeholders outside the TB National Treatment Programme involved in planning and implementing Advocacy, Communication and Social Mobilization (ACSM) activities?",0=No; 1=yes,0,"Strategy, Data collection form",,NEW VARIABLE,,0
age_group,Disaggregated estimates,Age group (in years),0-4=0-4 years; 5-14=5-14 years; 15-24=15-24 years ..etc; 15plus=15 years and above; 65plus=65 years and above; all=All ages;,0,WHO GTB,2017 -,Part of long ('tidy') format added in 2018 dcyear,,1
agegroup_option,Notification,The set of age groups by which notifications have been disaggregated,220=all defined in 2013 reporting framework plus 4-9 10-14 15-19 20-24 age groups; 221=all; 222=all except for 5-9 and 10-14 age groups; 223=only 0-4 5-14 and 15+ age groups,0,"Notification, Data collection form",2019 -,Introduced to allow more flexible form for country data entry especially with the introduction of adolescent age groups for countries with case-based systems,,1
all_conf_xdr,Notification,Number of laboratory-confirmed XDR-TB cases identified in the current year (including in MDR cases diagnosed in previous years).,,0,,2015-2019,Dropped dcyear 2021,,1
bc,Prevalence surveys,Number of pulmonary bacteriologically-confirmed cases found among participants in the prevalence survey,,,External (from prevalence survey reports and analyses),,,,0
bc_(numbers),Prevalence surveys,Number of pulmonary bacteriologically-confirmed cases found among the age group indicated by the numbers after sp_ (e.g. bc_10_14 is for age group 10 - 14 years),,,External (from prevalence survey reports and analyses),,,,0
bc_cxr_abn_only,Prevalence surveys,Number of pulmonary bacteriologically-confirmed cases found who had screened positive for chest x-ray abnormalities only without screening positive for symptoms,,,External (from prevalence survey reports and analyses),,,,0
bc_female,Prevalence surveys,Number of pulmonary bacteriologically-confirmed cases found among females,,,External (from prevalence survey reports and analyses),,,,0
bc_male,Prevalence surveys,Number of pulmonary bacteriologically-confirmed cases found among males,,,External (from prevalence survey reports and analyses),,,,0
bc_symptomatic,Prevalence surveys,Number of pulmonary bacteriologically-confirmed cases found who had screened positive for symptoms (regardless of chest x-ray result),,,External (from prevalence survey reports and analyses),,,,0
best,Disaggregated estimates,Best estimate,,0,WHO GTB,2017 -,Part of long ('tidy') format added in 2018 dcyear,,1
bf_acsm_gap,finance,ACSM    6 Gap,,1,"Finance, Data collection form",,,,0
bf_acsm_gf,finance,ACSM    4 GFATM,,1,"Finance, Data collection form",,,,0
bf_acsm_gov,finance,ACSM    2 Gov,,1,"Finance, Data collection form",,,,0
bf_acsm_grnt,finance,ACSM    5 Grants,,1,"Finance, Data collection form",,,,0
bf_acsm_loan,finance,ACSM    3 Loans,,1,"Finance, Data collection form",,,,0
bf_acsm_req,finance,ACSM    1 Required,,1,"Finance, Data collection form",,,,0
bf_acsmctbc_gap,finance,ACSM and community TB care    6 Gap,,1,"Finance, Data collection form",,,,0
bf_acsmctbc_gf,finance,ACSM and community TB care    4 GFATM,,1,"Finance, Data collection form",,,,0
bf_acsmctbc_gov,finance,ACSM and community TB care    2 Gov,,1,"Finance, Data collection form",,,,0
bf_acsmctbc_grnt,finance,ACSM and community TB care    5 Grants,,1,"Finance, Data collection form",,,,0
bf_acsmctbc_loan,finance,ACSM and community TB care    3 Loans,,1,"Finance, Data collection form",,,,0
bf_acsmctbc_req,finance,ACSM and community TB care     1 Required,,1,"Finance, Data collection form",,,,0
bf_bldng_gap,finance,buildings    6 Gap,,1,"Finance, Data collection form",,,,0
bf_bldng_gf,finance,buildings    4 GFATM,,1,"Finance, Data collection form",,,,0
bf_bldng_gov,finance,buildings    2 Gov,,1,"Finance, Data collection form",,,,0
bf_bldng_grnt,finance,buildings    5 Grants,,1,"Finance, Data collection form",,,,0
bf_bldng_loan,finance,buildings    3 Loans,,1,"Finance, Data collection form",,,,0
bf_bldng_req,finance,buildings     1 Required,,1,"Finance, Data collection form",,,,0
bf_ctbc_gap,finance,Community-based care    6 Gap,,1,"Finance, Data collection form",,,,0
