country,iso3,g.whoregion,year.new,source.new,all.areas.covered.new,surv.quality.new,dst.rlt.new,mdr.new,mdr.new.pcnt,mdr.new.pcnt.lo,mdr.new.pcnt.hi,dr.r.nh.new,dr.r.nh.new.pcnt,dr.r.nh.new.pcnt.lo,dr.r.nh.new.pcnt.hi,xpert.new,xpert.dr.r.new,xpert.dr.r.new.pcnt,xpert.dr.r.new.pcnt.lo,xpert.dr.r.new.pcnt.hi,r.rlt.new,rr.new,rr.new.pcnt,rr.new.pcnt.lo,rr.new.pcnt.hi,dst.rlt.hr.new,dst.rlt.hr.new.pcnt,dst.rlt.hr.new.pcnt.lo,dst.rlt.hr.new.pcnt.hi,dst.rlt.rr.new,dst.rlt.rr.new.pcnt,dst.rlt.rr.new.pcnt.lo,dst.rlt.rr.new.pcnt.hi,dr.h.nr.new,dr.h.nr.new.pcnt,dr.h.nr.new.pcnt.lo,dr.h.nr.new.pcnt.hi,year.ret,source.ret,all.areas.covered.ret,surv.quality.ret,dst.rlt.ret,mdr.ret,mdr.ret.pcnt,mdr.ret.pcnt.lo,mdr.ret.pcnt.hi,dr.r.nh.ret,dr.r.nh.ret.pcnt,dr.r.nh.ret.pcnt.lo,dr.r.nh.ret.pcnt.hi,xpert.ret,xpert.dr.r.ret,xpert.dr.r.ret.pcnt,xpert.dr.r.ret.pcnt.lo,xpert.dr.r.ret.pcnt.hi,r.rlt.ret,rr.ret,rr.ret.pcnt,rr.ret.pcnt.lo,rr.ret.pcnt.hi,dst.rlt.hr.ret,dst.rlt.hr.ret.pcnt,dst.rlt.hr.ret.pcnt.lo,dst.rlt.hr.ret.pcnt.hi,dst.rlt.rr.ret,dst.rlt.rr.ret.pcnt,dst.rlt.rr.ret.pcnt.lo,dst.rlt.rr.ret.pcnt.hi,dr.h.nr.ret,dr.h.nr.ret.pcnt,dr.h.nr.ret.pcnt.lo,dr.h.nr.ret.pcnt.hi
Aruba,ABW,AMR,2021,Surveillance,1,N,0,0,,,,,,,,,,,,,6,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,EMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,Surveillance,1,R,,,,,,,,,,,,,,,642,144,,,,,,,,,,,,,,,
Angola,AGO,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,AIA,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,EUR,2021,Surveillance,1,A,99,1,,,,,,,,,,,,,154,5,,,,7,,,,5,,,,,,,,2021,Surveillance,1,A,4,0,,,,,,,,,,,,,4,1,,,,1,,,,1,,,,,,,
Andorra,AND,EUR,2021,Surveillance,1,N,2,0,,,,,,,,,,,,,2,0,,,,0,,,,0,,,,,,,,2017,Surveillance,1,A,0,0,,,,,,,,,,,,,0,0,,,,0,,,,0,,,,,,,
United Arab Emirates,ARE,EMR,2020,Surveillance,1,N,17,0,,,,,,,,,,,,,29,0,,,,0,,,,0,,,,,,,,2021,Surveillance,1,R,0,0,,,,,,,,,,,,,2,0,,,,0,,,,0,,,,,,,
Argentina,ARG,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,EUR,2021,Surveillance,1,A,209,42,,,,,,,,,,,,,209,44,,,,72,,,,44,,,,,,,,2021,Surveillance,1,A,47,18,,,,,,,,,,,,,47,20,,,,18,,,,20,,,,,,,
American Samoa,ASM,WPR,2020,Surveillance,1,N,0,0,,,,,,,,,,,,,3,0,,,,0,,,,0,,,,,,,,2018,Surveillance,1,R,1,0,,,,,,,,,,,,,1,1,,,,0,,,,0,,,,,,,
