country,iso3,g.whoregion,row.rank.new,year.new,source.new,all.areas.covered.new,surv.quality.new,dst.rlt.new,mdr.new,mdr.new.pcnt,mdr.new.pcnt.lo,mdr.new.pcnt.hi,dr.r.nh.new,dr.r.nh.new.pcnt,dr.r.nh.new.pcnt.lo,dr.r.nh.new.pcnt.hi,xpert.new,xpert.dr.r.new,xpert.dr.r.new.pcnt,xpert.dr.r.new.pcnt.lo,xpert.dr.r.new.pcnt.hi,r.rlt.new,rr.new,rr.new.pcnt,rr.new.pcnt.lo,rr.new.pcnt.hi,dst.rlt.hr.new,dst.rlt.hr.new.pcnt,dst.rlt.hr.new.pcnt.lo,dst.rlt.hr.new.pcnt.hi,dst.rlt.rr.new,dst.rlt.rr.new.pcnt,dst.rlt.rr.new.pcnt.lo,dst.rlt.rr.new.pcnt.hi,dr.h.nr.new,dr.h.nr.new.pcnt,dr.h.nr.new.pcnt.lo,dr.h.nr.new.pcnt.hi
Albania,ALB,EUR,1,2012,Surveillance,1,A,172,1,,,,3,,,,0,0,,,,,,,,,,,,,,,,,13,,,
Albania,ALB,EUR,2,2011,Surveillance,1,A,194,2,,,,6,,,,0,0,,,,,,,,,,,,,,,,,19,,,
Albania,ALB,EUR,3,2010,Surveillance,1,A,186,1,,,,0,,,,,,,,,,,,,,,,,,,,,,5,,,
Andorra,AND,EUR,1,2021,Surveillance,1,N,2,0,,,,,,,,,,,,,2,0,,,,0,,,,0,,,,,,,
Andorra,AND,EUR,2,2020,Surveillance,1,N,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Andorra,AND,EUR,3,2017,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Andorra,AND,EUR,4,2014,Surveillance,1,A,3,0,,,,1,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Andorra,AND,EUR,5,2013,Surveillance,1,A,4,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,1,,,
Andorra,AND,EUR,6,2011,Surveillance,1,A,1,0,,,,0,,,,1,0,,,,,,,,,,,,,,,,,0,,,
Andorra,AND,EUR,7,2010,Surveillance,1,A,4,0,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
Andorra,AND,EUR,8,2009,Surveillance,1,A,2,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Andorra,AND,EUR,9,2008,Surveillance,1,A,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Andorra,AND,EUR,10,2007,pre-2010 TME data collection,1,A,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,EUR,11,2006,pre-2010 TME data collection,1,A,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,EUR,12,2005,Surveillance,1,A,9,0,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
Andorra,AND,EUR,13,2004,Surveillance,1,A,5,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Andorra,AND,EUR,14,2003,Surveillance,1,A,2,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Andorra,AND,EUR,15,2000,Surveillance,1,A,4,0,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
Andorra,AND,EUR,16,1999,Surveillance,1,A,6,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Argentina,ARG,AMR,1,2005,Survey,1,A,683,,2.2,1.23,3.62,,0.15,0,0.82,,,,,,,,,,,,,,,,,,,,3.51,2.25,5.23
Argentina,ARG,AMR,2,1999,Survey,1,A,679,,1.77,0.91,3.09,,0.15,0,0.82,,,,,,,,,,,,,,,,,,,,2.06,1.13,3.46
Armenia,ARM,EUR,1,2021,Surveillance,1,A,209,42,,,,,,,,,,,,,209,44,,,,72,,,,44,,,,,,,
Armenia,ARM,EUR,2,2020,Surveillance,1,A,183,26,,,,,,,,,,,,,198,28,,,,54,,,,28,,,,,,,
Armenia,ARM,EUR,3,2019,Surveillance,1,A,231,33,,,,,,,,,,,,,233,38,,,,85,,,,38,,,,,,,
Armenia,ARM,EUR,4,2018,Surveillance,1,N,250,43,,,,,,,,,,,,,250,51,,,,84,,,,51,,,,,,,
Armenia,ARM,EUR,5,2017,Surveillance,1,A,320,40,,,,,,,,,,,,,320,51,,,,79,,,,51,,,,,,,
Armenia,ARM,EUR,6,2016,Surveillance,1,A,357,55,,,,6,,,,0,0,,,,,,,,,,,,,,,,,36,,,
Armenia,ARM,EUR,7,2007,Survey,1,A,552,,9.42,7.04,12.35,,1.45,0.63,2.86,,,,,,,,,,,,,,,,,,,,17.75,14.41,21.64
American Samoa,ASM,WPR,1,2019,Surveillance,1,N,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Australia,AUS,WPR,1,2021,Surveillance,1,N,597,7,,,,,,,,,,,,,597,9,,,,47,,,,9,,,,,,,
Australia,AUS,WPR,2,2020,Surveillance,1,N,729,10,,,,,,,,,,,,,735,14,,,,64,,,,14,,,,,,,
Australia,AUS,WPR,3,2019,Surveillance,1,A,700,15,,,,,,,,,,,,,708,17,,,,75,,,,16,,,,,,,
Australia,AUS,WPR,4,2018,Surveillance,1,A,712,21,,,,,,,,,,,,,712,24,,,,62,,,,24,,,,,,,
Australia,AUS,WPR,5,2017,Surveillance,1,A,669,12,,,,,,,,,,,,,688,13,,,,58,,,,13,,,,,,,
Australia,AUS,WPR,6,2015,Surveillance,1,A,585,15,,,,6,,,,0,0,,,,,,,,,,,,,,,,,45,,,
Australia,AUS,WPR,7,2014,Surveillance,1,A,642,11,,,,2,,,,,,,,,,,,,,,,,,,,,,40,,,
Australia,AUS,WPR,8,2013,Surveillance,1,A,570,13,,,,0,,,,0,0,,,,,,,,,,,,,,,,,43,,,
Australia,AUS,WPR,9,2012,Surveillance,1,A,861,16,,,,4,,,,1,0,,,,,,,,,,,,,,,,,116,,,
Australia,AUS,WPR,10,2011,Surveillance,1,A,652,14,,,,1,,,,1,0,,,,,,,,,,,,,,,,,37,,,
Australia,AUS,WPR,11,2010,Surveillance,1,A,868,21,,,,2,,,,,,,,,,,,,,,,,,,,,,56,,,
Austria,AUT,EUR,1,2015,Surveillance,1,A,264,5,,,,1,,,,,,,,,,,,,,,,,,,,,,11,,,
Austria,AUT,EUR,2,2014,Surveillance,1,A,260,7,,,,1,,,,,,,,,,,,,,,,,,,,,,21,,,
Austria,AUT,EUR,3,2013,Surveillance,1,A,279,7,,,,0,,,,,,,,,,,,,,,,,,,,,,24,,,
Austria,AUT,EUR,4,2012,Surveillance,1,A,254,9,,,,0,,,,,,,,,,,,,,,,,,,,,,13,,,
Austria,AUT,EUR,5,2011,Surveillance,1,A,257,9,,,,2,,,,,,,,,,,,,,,,,,,,,,16,,,
Austria,AUT,EUR,6,2010,Surveillance,1,A,241,5,,,,0,,,,,,,,,,,,,,,,,,,,,,16,,,
Austria,AUT,EUR,7,2009,Surveillance,1,A,263,5,,,,0,,,,,,,,,,,,,,,,,,,,,,8,,,
Austria,AUT,EUR,8,2008,Surveillance,1,A,439,11,,,,1,,,,,,,,,,,,,,,,,,,,,,18,,,
Austria,AUT,EUR,9,2007,Surveillance,1,A,481,8,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,
Austria,AUT,EUR,10,2006,pre-2010 TME data collection,1,A,500,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,EUR,11,2005,Surveillance,1,A,570,11,,,,3,,,,,,,,,,,,,,,,,,,,,,43,,,
Austria,AUT,EUR,12,2004,Surveillance,1,A,600,17,,,,0,,,,,,,,,,,,,,,,,,,,,,30,,,
Austria,AUT,EUR,13,2003,Surveillance,1,A,554,8,,,,2,,,,,,,,,,,,,,,,,,,,,,20,,,
Austria,AUT,EUR,14,2002,Surveillance,1,A,633,2,,,,2,,,,,,,,,,,,,,,,,,,,,,14,,,
Austria,AUT,EUR,15,2001,Surveillance,1,A,589,4,,,,1,,,,,,,,,,,,,,,,,,,,,,15,,,
Austria,AUT,EUR,16,2000,Surveillance,1,A,694,3,,,,2,,,,,,,,,,,,,,,,,,,,,,17,,,
Austria,AUT,EUR,17,1999,Surveillance,1,A,703,2,,,,3,,,,,,,,,,,,,,,,,,,,,,28,,,
Azerbaijan,AZE,EUR,1,2021,Surveillance,1,A,1409,113,,,,,,,,,,,,,1409,172,,,,205,,,,172,,,,,,,
Azerbaijan,AZE,EUR,2,2020,Surveillance,1,A,1162,122,,,,,,,,,,,,,1245,149,,,,169,,,,149,,,,,,,
Azerbaijan,AZE,EUR,3,2019,Surveillance,1,A,1806,111,,,,,,,,,,,,,1911,219,,,,225,,,,219,,,,,,,
Azerbaijan,AZE,EUR,4,2018,Surveillance,1,A,1904,160,,,,,,,,,,,,,1983,237,,,,275,,,,237,,,,,,,
Azerbaijan,AZE,EUR,5,2013,Survey,1,A,549,,13.1,10.4,16.2,,0.2,0,1.4,,,,,,,,,,,,,,,,,,,,16,12.8,19.6
Azerbaijan,AZE,EUR,1001,2007,Survey,0,A,551,,22.32,18.55,26.63,,0.36,0.04,1.31,,,,,,,,,,,,,,,,,,,,18.51,15.09,22.47
Belgium,BEL,EUR,1,2021,Surveillance,1,N,375,3,,,,,,,,,,,,,377,3,,,,19,,,,3,,,,,,,
Belgium,BEL,EUR,2,2019,Surveillance,1,N,437,9,,,,,,,,,,,,,437,9,,,,19,,,,9,,,,,,,
Belgium,BEL,EUR,3,2018,Surveillance,1,N,427,5,,,,,,,,,,,,,427,5,,,,22,,,,5,,,,,,,
Belgium,BEL,EUR,4,2015,Surveillance,1,A,428,6,,,,1,,,,,,,,,,,,,,,,,,,,,,23,,,
Belgium,BEL,EUR,5,2014,Surveillance,1,A,389,6,,,,1,,,,,,,,,,,,,,,,,,,,,,16,,,
Belgium,BEL,EUR,6,2013,Surveillance,1,A,399,7,,,,2,,,,,,,,,,,,,,,,,,,,,,15,,,
Belgium,BEL,EUR,7,2012,Surveillance,1,A,503,8,,,,4,,,,,,,,,,,,,,,,,,,,,,28,,,
Belgium,BEL,EUR,8,2011,Surveillance,1,A,518,7,,,,1,,,,,,,,,,,,,,,,,,,,,,24,,,
Belgium,BEL,EUR,9,2010,Surveillance,1,A,614,10,,,,3,,,,,,,,,,,,,,,,,,,,,,18,,,
Belgium,BEL,EUR,10,2009,Surveillance,1,A,609,4,,,,1,,,,,,,,,,,,,,,,,,,,,,19,,,
Belgium,BEL,EUR,11,2008,Surveillance,1,A,630,15,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,
Belgium,BEL,EUR,12,2007,pre-2010 TME data collection,1,A,707,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,EUR,13,2006,Surveillance,1,A,606,8,,,,3,,,,,,,,,,,,,,,,,,,,,,24,,,
Belgium,BEL,EUR,14,2005,Surveillance,1,A,588,7,,,,2,,,,,,,,,,,,,,,,,,,,,,22,,,
Belgium,BEL,EUR,15,2004,Surveillance,1,A,622,3,,,,3,,,,,,,,,,,,,,,,,,,,,,20,,,
Belgium,BEL,EUR,16,2003,Surveillance,1,A,510,3,,,,0,,,,,,,,,,,,,,,,,,,,,,30,,,
Belgium,BEL,EUR,17,2002,Surveillance,1,A,629,15,,,,1,,,,,,,,,,,,,,,,,,,,,,29,,,
Belgium,BEL,EUR,18,2001,Surveillance,1,A,562,13,,,,1,,,,,,,,,,,,,,,,,,,,,,23,,,
Belgium,BEL,EUR,19,2000,Surveillance,1,A,562,7,,,,2,,,,,,,,,,,,,,,,,,,,,,23,,,
Benin,BEN,AFR,1,2010,Survey,1,A,403,,0.5,0.1,2,,0.7,0.2,2.4,,,,,,,,,,,,,,,,,,,,7.4,5.2,10.6
Benin,BEN,AFR,2,1997,Survey,1,A,333,,0.3,0.01,1.66,,0,0,0.9,,,,,,,,,,,,,,,,,,,,5.11,3,8.05
Bangladesh,BGD,SEA,1,2019,Survey,1,A,21,,,,,,,,,,,,,,2096,,0.7,0.4,1.2,,,,,,,,,,,,
Bangladesh,BGD,SEA,2,2011,Survey,1,A,1050,,1.4,0.7,2.5,,0.2,0,1,,,,,,,,,,,,,,,,,,,,4.4,3.2,5.8
Bulgaria,BGR,EUR,1,2018,Surveillance,1,A,464,10,,,,,,,,,,,,,476,12,,,,30,,,,12,,,,,,,
Bulgaria,BGR,EUR,2,2016,Surveillance,1,A,572,5,,,,2,,,,,,,,,,,,,,,,,,,,,,28,,,
Bulgaria,BGR,EUR,3,2012,Surveillance,1,A,687,16,,,,7,,,,,,,,,,,,,,,,,,,,,,20,,,
Bulgaria,BGR,EUR,4,2010,Surveillance,1,A,803,16,,,,7,,,,,,,,,,,,,,,,,,,,,,37,,,
Bahrain,BHR,EMR,1,2021,Surveillance,1,N,112,0,,,,,,,,,,,,,112,1,,,,0,,,,1,,,,,,,
Bahrain,BHR,EMR,2,2019,Surveillance,1,N,93,2,,,,,,,,,,,,,93,2,,,,6,,,,2,,,,,,,
Bahrain,BHR,EMR,3,2018,Surveillance,1,A,79,3,,,,,,,,,,,,,79,4,,,,5,,,,3,,,,,,,
Bahrain,BHR,EMR,4,2017,Surveillance,1,A,80,1,,,,,,,,,,,,,80,1,,,,1,,,,1,,,,,,,
Bahrain,BHR,EMR,5,2016,Surveillance,1,A,86,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,EMR,6,2012,Surveillance,1,A,160,3,,,,0,,,,0,0,,,,,,,,,,,,,,,,,7,,,
Bahrain,BHR,EMR,7,2011,Surveillance,1,A,154,9,,,,1,,,,,,,,,,,,,,,,,,,,,,16,,,
Bahrain,BHR,EMR,8,2010,Surveillance,1,A,162,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Bahamas,BHS,AMR,1,2020,Surveillance,1,A,20,0,,,,,,,,,,,,,20,1,,,,1,,,,1,,,,,,,
Bahamas,BHS,AMR,2,2019,Surveillance,1,A,19,0,,,,,,,,,,,,,19,1,,,,0,,,,1,,,,,,,
Bahamas,BHS,AMR,3,2018,Surveillance,1,N,18,0,,,,,,,,,,,,,18,1,,,,0,,,,1,,,,,,,
Bahamas,BHS,AMR,4,2012,Surveillance,1,A,27,1,,,,2,,,,0,0,,,,,,,,,,,,,,,,,2,,,
Bahamas,BHS,AMR,5,2011,Surveillance,1,A,31,1,,,,4,,,,0,0,,,,,,,,,,,,,,,,,1,,,
