country,year,iso2,iso3,iso.numeric,g.whoregion,drs.record.type,report.id,all.areas.covered,area.desc,area.population,area.new.sp,area.tot.ret,sampling.method,drs.start.mon,drs.start.yr,drs.end.mon,drs.end.yr,pi.name,pi.email,surv.quality,lab.prof.confirm,lab.prof.confirm.90,srl.department,srl.institution,srl.city,srl.country,pulm.labconf.new,pulm.labconf.ret,pulm.labconf.unk,pulm.new,pulm.ret,pulm.unk,cullpa.new,cullpa.ret,cullpa.unk,r.rlt.new,r.rlt.ret,rr.new,rr.new.pcnt,rr.new.pcnt.lo,rr.new.pcnt.hi,rr.ret,rr.ret.pcnt,rr.ret.pcnt.lo,rr.ret.pcnt.hi,r.rlt.rel,rr.rel,dst.rlt.new,dst.rlt.ret,dst.rlt.unk,dr.h.nr.new,dr.h.nr.new.pcnt,dr.h.nr.new.pcnt.lo,dr.h.nr.new.pcnt.hi,dr.h.nr.ret,dr.h.nr.ret.pcnt,dr.h.nr.ret.pcnt.lo,dr.h.nr.ret.pcnt.hi,dr.h.nr.unk,dr.h.nr.unk.pcnt,dr.h.nr.unk.pcnt.lo,dr.h.nr.unk.pcnt.hi,dr.r.nh.new,dr.r.nh.new.pcnt,dr.r.nh.new.pcnt.lo,dr.r.nh.new.pcnt.hi,dr.r.nh.ret,dr.r.nh.ret.pcnt,dr.r.nh.ret.pcnt.lo,dr.r.nh.ret.pcnt.hi,dr.r.nh.unk,dr.r.nh.unk.pcnt,dr.r.nh.unk.pcnt.lo,dr.r.nh.unk.pcnt.hi,dst.rlt.hr.new,dst.rlt.hr.new.pcnt,dst.rlt.hr.new.pcnt.lo,dst.rlt.hr.new.pcnt.hi,dst.rlt.hr.ret,dst.rlt.hr.ret.pcnt,dst.rlt.hr.ret.pcnt.lo,dst.rlt.hr.ret.pcnt.hi,dst.rlt.rr.new,dst.rlt.rr.new.pcnt,dst.rlt.rr.new.pcnt.lo,dst.rlt.rr.new.pcnt.hi,dst.rlt.rr.ret,dst.rlt.rr.ret.pcnt,dst.rlt.rr.ret.pcnt.lo,dst.rlt.rr.ret.pcnt.hi,mdr.new,mdr.new.pcnt,mdr.new.pcnt.lo,mdr.new.pcnt.hi,mdr.ret,mdr.ret.pcnt,mdr.ret.pcnt.lo,mdr.ret.pcnt.hi,mdr.unk,mdr.unk.pcnt,mdr.unk.pcnt.lo,mdr.unk.pcnt.hi,xpert.new,xpert.ret,xpert.unk,xpert.dr.r.new,xpert.dr.r.new.pcnt,xpert.dr.r.new.pcnt.lo,xpert.dr.r.new.pcnt.hi,xpert.dr.r.ret,xpert.dr.r.ret.pcnt,xpert.dr.r.ret.pcnt.lo,xpert.dr.r.ret.pcnt.hi,xpert.dr.r.unk,xpert.dr.r.unk.pcnt,xpert.dr.r.unk.pcnt.lo,xpert.dr.r.unk.pcnt.hi,mdr.m,mdr.f,mdr.sexunk,nmdr.m,nmdr.f,nmdr.sexunk,rr.m,rr.f,rr.sexunk,nrr.m,nrr.f,nrr.sexunk,mdr.hivpos,mdr.hivneg,mdr.hivunk,nmdr.hivpos,nmdr.hivneg,nmdr.hivunk,rr.hivpos,rr.hivneg,rr.hivunk,nrr.hivpos,nrr.hivneg,nrr.hivunk,mdr.014,mdr.15plus,mdr.ageunk,nmdr.014,nmdr.15plus,nmdr.ageunk,rr.014,rr.15plus,rr.ageunk,nrr.014,nrr.15plus,nrr.ageunk,mdr.dst.rlt,mdr.dst.rlt.new,mdr.dst.rlt.ret,mdr.dst.rlt.unk,mdr.ds.fq2li,mdr.ds.fq2li.new,mdr.ds.fq2li.ret,mdr.ds.fq2li.unk,mdr.dr.fq,mdr.dr.fq.new,mdr.dr.fq.ret,mdr.dr.fq.unk,mdr.dr.2li,mdr.dr.2li.new,mdr.dr.2li.ret,mdr.dr.2li.unk,xdr,xdr.new,xdr.ret,xdr.unk,rr.dst.rlt,rr.ds.fq2li,rr.dr.fq,rr.dr.2li,rr.dr.fq.2li,rr.dst.rlt.fq,rr.fqr,rr.fqr.pcnt,rr.fqr.pcnt.lo,rr.fqr.pcnt.hi,rs.hr.dst.rlt.fq,rs.hr.fqr.pcnt,rs.hr.fqr.pcnt.lo,rs.hr.fqr.pcnt.hi,rr.dst.rlt.bdq,rr.bdqr,rr.bdqr.pcnt,rr.bdqr.pcnt.lo,rr.bdqr.pcnt.hi,rr.dst.rlt.dlm,rr.dlmr,rr.dlmr.pcnt,rr.dlmr.pcnt.lo,rr.dlmr.pcnt.hi,rr.dst.rlt.lzd,rr.lzdr,rr.lzdr.pcnt,rr.lzdr.pcnt.lo,rr.lzdr.pcnt.hi,rr.dst.rlt.cfz,rr.cfzr,rr.cfzr.pcnt,rr.cfzr.pcnt.lo,rr.cfzr.pcnt.hi,rr.dst.rlt.pa,rr.par.pcnt,rr.par.pcnt.lo,rr.par.pcnt.hi,rr.fqr.bdqr.lzdr,rr.fqr.bdqr.lzds,rr.fqr.bdqr.lzdu,rr.fqr.bdqs.lzdr,rr.fqr.bdqs.lzds,rr.fqr.bdqs.lzdu,rr.fqr.bdqu.lzdr,rr.fqr.bdqu.lzds,rr.fqr.bdqu.lzdu,who.comments
Aruba,2010,AW,ABW,533,AMR,Surveillance,1,1,,,,,,,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,2011,AW,ABW,533,AMR,Surveillance,1,1,,,,,,,,,2011,,,,,0,,,,,,,,,,,5,,,,,,,,,,,,,,,5,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,0,,0,3,2,,,,,,,,,0,0,,3,2,,,,,,,,,,,5,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,2012,AW,ABW,533,AMR,Surveillance,1,1,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,2013,AW,ABW,533,AMR,Surveillance,1,1,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,2014,AW,ABW,533,AMR,Surveillance,1,1,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,2015,AW,ABW,533,AMR,Surveillance,1,1,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,2016,AW,ABW,533,AMR,Surveillance,1,1,,,,,,,,,2016,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,2017,AW,ABW,533,AMR,Surveillance,1,1,,,,,,,,,2017,,,,,,,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,2018,AW,ABW,533,AMR,Surveillance,1,1,,,,,,,,,2018,,,,,,,,,,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,2019,AW,ABW,533,AMR,Surveillance,1,1,,,,,,,,,2019,,,,,,,,,,1,0,0,,,,,,,0,0,0,,,,0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
