country,iso2,iso3,year,rm.new,rm.new.reason,rm.ret,rm.ret.reason
Afghanistan,AF,AFG,2017,,,1,"The number of previously treated cases with RR-TB is not reported, so the proportion of RR-TB among previously treated cannot be calculated"
Angola,AO,AGO,2019,1,"Given the identified weaknesses of data recording and reporting in the country and the low detected prevalence of resistance (0.8% RR among new), exclude data for new and previously treated cases and plan for a national survey in 2020.",1,"Given the identified weaknesses of data recording and reporting in the country and the low detected prevalence of resistance (0.8% RR among new), exclude data for new and previously treated cases and plan for a national survey in 2020."
Azerbaijan,AZ,AZE,2015,0,,1,Routine surveillance included chronic cases which distorts the representativeness of the data
Bangladesh,BD,BGD,2017,,,1,Apparent 100% coverage of rif testimg among previously treated pulmonary bac-confirmed cases seemed unlikely; 2011 DRS results preferred by us and NTP
Bahamas,BS,BHS,2015,1,pulm_new reported in 2.23 is only 60.4% of new_labconf+new_clindx in 2.1/2.2,0,
Bosnia and Herzegovina,BA,BIH,2015,0,,1,DST results for retreatment in 2.23 are blank; pulm_ret reported in 2.23 is only 57.3% of ret_rel_labconf+ret_rel_clindx+ret_nrel in 2.1/2.2
Bhutan,BT,BTN,2015,1,Estimate of rif resistance of 11.7% in new seems too high,0,
China,CN,CHN,2015,1,pulm_new reported in 2.23 is only 12.6% of new_labconf+new_clindx in 2.1/2.2,1,no pulm_ret reported in 2.23 and those tested in 2.23 are only 64% of ret_rel_labconf+ret_rel_clindx+ret_nrel in 2.1/2.2
Congo,CG,COG,2020,1,100% testing coverage for new cases seems unlikely (4095/4095). Last year it was 28%. Testing coverage for prev treated cases remains 49%. ,,
Djibouti,DJ,DJI,2015,1,2015 survey results likely to be more reliable,1,2015 survey results likely to be more reliable
Algeria,DZ,DZA,2015,1,pulm_new reported in 2.23 is only 0.2% of new_labconf+new_clindx in 2.1/2.2,1,pulm_ret reported in 2.23 is only 6.1% of ret_rel_labconf+ret_rel_clindx+ret_nrel in 2.1/2.2
Ecuador,EC,ECU,2015,0,,1,pulm_ret reported in 2.23 is only 40.4% of ret_rel_labconf+ret_rel_clindx+ret_nrel in 2.1/2.2
Eritrea,ER,ERI,2015,1,"coverage of 100% seemed unlikely; message to country confirmed that 2.23 reports samples, not patients ",1,
Ethiopia,ET,ETH,2015,0,,1,pulm_ret reported in 2.23 is only 35.5% of ret_rel_labconf+ret_rel_clindx+ret_nrel in 2.1/2.2
Ethiopia,ET,ETH,2021,,,1,The proportion of cases with RR is 1.3% which is much lower than recent survey and surveillance data
Gabon,GA,GAB,2018,1,A laboratory review and epi review in September 2018 noted many programmatic and laboratory weaknesses,,
Ghana,GH,GHA,2017,1,"As 2017 is the first time achieving class A, it was agreed with the NTP we need to ensure good record-linkage and exclude surveillance data for new cases this year, and re-assess next year",,
Guinea,GN,GIN,2017,,,1,"The proportion of previously treated cases with RR-TB is 36.5%. This seems very high. Given known challenges with the lab network in this country, better to exclude"
Gambia,GM,GMB,2015,0,,1,pulm_ret reported in 2.23 is only 44.3% of ret_rel_labconf+ret_rel_clindx+ret_nrel in 2.1/2.2
Guinea-Bissau,GW,GNB,2017,,,1,The proportion of previously treated cases with RR-TB is 0% and only a very low number previously treated TB cases were notified (35
Guinea-Bissau,GW,GNB,2019,,,1,"All of the 16 previously treated bacteriologically confirmed cases are reported as MDR-TB, which seems unlikely."
India,IN,IND,2017,,,1,NTP preferred to use results of the 2016 drug resistance survey because of low coverage of the private sector in routine surveillance
Iraq,IQ,IRQ,2016,1,We have 2013 survey data that we believe to be more reliable,1,We have 2013 survey data that we believe to be more reliable
Iraq,IQ,IRQ,2017,1,We have 2013 survey data that we believe to be more reliable,,
