year,ghiv,hincome,iso3,g.whoregion,newinc,c.newinc,newrel.hivpos,newrel.hivtest,newrel.art,hivtest.f,hivtest.p,hivtest.pos.f,hivtest.pos.p,hiv.art.f,hiv.art.p,newrel.tbhiv.flg,c.notified,tbhiv.surv.prev,tbhiv.surv.yr,tbhiv.sentin.prev,tbhiv.sentin.yr,hivtest.coverage,tbhiv.surv,tbhiv.surv.lo,tbhiv.surv.hi,tbhiv.sentin,tbhiv.sentin.lo,tbhiv.sentin.hi,tbhiv.routine,tbhiv.routine.ok,tbhiv.routine.sd,tbhiv.surv.sd,tbhiv.sentin.sd,tbhiv,tbhiv.sd,itbhiv,inc,inc.sd,source.inc,pop,inc.hat,newinc.hat,mort.hat,mort.nh.hat,mort.h.hat,g.income,g.gbd,g.mdr,g.hbc,g.hbmdr,g.hbtbhiv,imp.newinc,inc.md,inc.md.lo,inc.md.hi,inc.lo,inc.hi,inc.rmd,inc.rmd.lo,inc.rmd.hi,hiv.num,hiv.lo.num,hiv.hi.num,mort.hiv.num,mort.hiv.lo.num,mort.hiv.hi.num,hiv,hiv.lo,hiv.hi,hiv.sd,mort.hiv,mort.hiv.lo,mort.hiv.hi,mort.hiv.sd,inc.h,inc.h.sd,inc.nh,inc.nh.sd,otbhiv,otbhiv.sd,inc.h.md,inc.h.md.lo,inc.h.md.hi,inc.h.lo,inc.h.hi,inc.h.rmd,inc.h.rmd.lo,inc.h.rmd.hi,fi.h,fi.h.sd,fi.nh,fi.nh.sd,irr,irr.sd,e.irr,e.tbhiv,e.tbhiv.sd,inc.nh.lo,inc.nh.hi,tbhiv.lo,tbhiv.hi
2000,FALSE,TRUE,ABW,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.07365182697802,0.617881517370767,"Case notifications,
Standard adjustment",89101,,,,,,HIC,,AMR,FALSE,FALSE,FALSE,7.02056680606784,,,,6.90801329588583,9.32882113858572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.933100955862,36.9832752389655,147.933100955862,,,0,,,
2001,FALSE,TRUE,ABW,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.66022482092328,0.662772307723721,"Case notifications,
Standard adjustment",90691,,,,,,HIC,,AMR,FALSE,FALSE,FALSE,7.53063027906373,,,,7.40989916884589,10.0065853512834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.819661667558,32.2049154168895,128.819661667558,,,0,,,
2002,FALSE,TRUE,ABW,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22483222521068,0.705982058051838,"Case notifications,
Standard adjustment",91781,,,,,,HIC,,AMR,FALSE,FALSE,FALSE,8.02159323931364,,,,7.89299072271011,10.6589690711034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.008679578931,27.7521698947327,111.008679578931,,,0,,,
2003,FALSE,TRUE,ABW,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.75748588902121,0.746746369057746,"Case notifications,
Standard adjustment",92701,,,,,,HIC,,AMR,FALSE,FALSE,FALSE,8.48477033827931,,,,8.34874186251849,11.2744313510136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.8417665302396,23.7104416325599,94.8417665302396,,,0,,,
2004,FALSE,TRUE,ABW,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2481976615632,0.784300841446162,"Case notifications,
Standard adjustment",93540,,,,,,HIC,,AMR,FALSE,FALSE,FALSE,8.91147622744625,,,,8.76860649538915,11.841431246091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.1925799573324,19.5481449893331,78.1925799573324,,,0,,,
2005,FALSE,TRUE,ABW,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6869793920449,0.817881075921805,"Case notifications,
Standard adjustment",94483,,,,,,HIC,,AMR,FALSE,FALSE,FALSE,9.29302555829993,,,,9.14403853009072,12.3484278130821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.541714879291,16.1354287198227,64.541714879291,,,0,,,
2006,FALSE,TRUE,ABW,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0638429296748,0.846722673189395,"Case notifications,
Standard adjustment",95606,,,,,,HIC,,AMR,FALSE,FALSE,FALSE,9.62073298232588,,,,9.46649187652892,12.7838801098826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8416624065535,12.9604156016384,51.8416624065535,,,0,,,
2007,FALSE,TRUE,ABW,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.368800123661,0.87006123395365,"Case notifications,
Standard adjustment",96787,,,,,,HIC,,AMR,FALSE,FALSE,FALSE,9.88591315100959,,,,9.72742044512367,13.1362471949085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4874461522155,10.1218615380539,40.4874461522155,,,0,,,
2008,FALSE,TRUE,ABW,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.591862823212,0.887132358919288,"Case notifications,
Standard adjustment",97996,,,,,,HIC,,AMR,FALSE,FALSE,FALSE,10.0798807158365,,,,9.91827814607689,13.3939881263553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9442074205411,9.73605185513528,38.9442074205411,,,0,,,
2009,FALSE,TRUE,ABW,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7230428775361,0.897171648791029,"Case notifications,
Standard adjustment",99212,,,,,,HIC,,AMR,FALSE,FALSE,FALSE,10.1939503282923,,,,10.0305188885311,13.5455619613474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7179368315657,9.42948420789142,37.7179368315657,,,0,,,
2010,FALSE,TRUE,ABW,AMR,5.97960953149759,6,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,6.87655096122223,0.526266655195579,"Case notifications,
Standard adjustment",100341,,,,,,HIC,,AMR,FALSE,FALSE,FALSE,5.97960953149759,,,,5.88374506699104,7.94561358635366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.9656776339263,9.99141940848158,39.9656776339263,,,0,,,
2011,FALSE,TRUE,ABW,AMR,7.89827027880894,8,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,9.08301082063028,0.695128379129869,"Case notifications,
Standard adjustment",101288,,,,,,HIC,,AMR,FALSE,FALSE,FALSE,7.89827027880894,,,,7.77164495158572,10.4950994992686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7459902361169,9.18649755902922,36.7459902361169,,,0,,,
2012,FALSE,TRUE,ABW,AMR,27.4208712002507,28,,,,,1,,1,,1,,29,,,,,,,,,,,,,,,,,,,,31.5340018802883,2.41331647043023,"Case notifications,
Standard adjustment",102112,,,,,,HIC,,AMR,FALSE,FALSE,FALSE,27.4208712002507,,,,26.9812201168163,36.4363907186148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0158965814892,9.25397414537229,37.0158965814892,,,0,,,
2013,FALSE,TRUE,ABW,AMR,10.6920684292379,11,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,12.2958786936236,0.941011124512013,"Case notifications,
Standard adjustment",102880,,,,,,HIC,,AMR,FALSE,FALSE,FALSE,10.6920684292379,,,,10.520650675224,14.2074531229454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6451684179086,7.16129210447715,28.6451684179086,,,0,,,
2014,FALSE,TRUE,ABW,AMR,1.93061374210862,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2.22020580342491,0.169913709445784,"Case notifications,
Standard adjustment",103594,,,,,,HIC,,AMR,FALSE,FALSE,FALSE,1.93061374210862,,,,1.89966291388424,2.56537055161065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9239609120302,6.98099022800755,27.9239609120302,,,0,,,
2015,FALSE,TRUE,ABW,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.88159028638609,0.756244154570364,"Case notifications,
Standard adjustment",104257,,,,,,HIC,,AMR,FALSE,FALSE,FALSE,8.59268720555313,,,,8.454928531304,11.417829544125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0176338182233,6.50440845455581,26.0176338182233,,,0,,,
2016,FALSE,TRUE,ABW,AMR,13.349352556401,14,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,15.3517554398612,1.17487924284652,"Case notifications,
Standard adjustment",104874,,,,,,HIC,,AMR,FALSE,FALSE,FALSE,13.349352556401,,,,13.1353300293062,17.7384080678481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.730666543041,6.43266663576025,25.730666543041,,,0,,,
2017,FALSE,TRUE,ABW,AMR,7.58732537296446,8,0,,0,,,,,,,0,8,,,,,,,,,,,,,,,,,,,,8.72542417890913,0.667762054508352,"Case notifications,
Standard adjustment",105439,,,,,,HIC,,AMR,FALSE,FALSE,FALSE,7.58732537296446,,,,7.46568529550318,10.0819208860069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2897868424317,6.32244671060792,25.2897868424317,,,0,,,
2018,FALSE,TRUE,ABW,AMR,4.71867273173402,5,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,5.42647364149412,0.415291350114346,"Case notifications,
Standard adjustment",105962,,,,,,HIC,,AMR,FALSE,FALSE,FALSE,4.71867273173402,,,,4.64302390289728,6.27010050987157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0696002652665,6.26740006631663,25.0696002652665,,,0,,,
2019,FALSE,TRUE,ABW,AMR,1.87895755434885,2,0,0,0,,,,,,,0,2,,,,,0,,,,,,,,,,,,,,,2.16080118750117,0.165367437818967,"Case notifications,
Standard adjustment",106442,,,,,,HIC,,AMR,FALSE,FALSE,FALSE,1.87895755434885,,,,1.84883486451845,2.49673059206012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0966489422687,5.77416223556718,23.0966489422687,,,0,,,
2020,FALSE,TRUE,ABW,AMR,0.938218323403856,1,0,0,0,,,,,,,0,1,,,,,0,,,,,,,,,,,,,,,1.07895107191443,0.0825727861159006,"Case notifications,
Standard adjustment",106585,1.31216030977311,1.1410041813702,0.10782738044918,0.10782738044918,0,HIC,,AMR,FALSE,FALSE,FALSE,0.938218323403856,,,,0.923177249490355,1.24669048861058,2.1572,1.9002,2.5081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5614784273067,7.14036960682669,28.5614784273067,,,0,,,
2021,FALSE,TRUE,ABW,AMR,5.63184621305274,6,0,0,0,,,,,,,0,6,,,,,0,,,,,,,,,,,,,,,6.47662314501065,0.495659934567142,"Case notifications,
Standard adjustment",106537,0.688875536064995,0.59902029299202,0.0566100071503857,0.0566100071503857,0,HIC,,AMR,FALSE,FALSE,FALSE,5.63184621305274,,,,5.54155719495105,7.48351115714534,2.3165,1.9481,2.7136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6235856167369,5.65589640418423,22.6235856167369,,,0,,,
