iso3,scenario,hiv,measure,year,best,lo,hi
ABW,Baseline,a,inc,2019,2.1997,1.9174,2.5497
ABW,COVID,a,inc,2019,2.1997,1.9174,2.5497
ABW,Baseline,a,mort,2019,0.17641,0.10929,0.26196
ABW,COVID,a,mort,2019,0.17641,0.10929,0.26196
ABW,Baseline,a,inc,2020,2.1749,1.8988,2.5246
ABW,COVID,a,inc,2020,2.1572,1.9002,2.5081
ABW,Baseline,a,mort,2020,0.17578,0.10803,0.26013
ABW,COVID,a,mort,2020,0.19776,0.12304,0.29581
ABW,Baseline,a,inc,2021,2.1598,1.8853,2.5112
ABW,COVID,a,inc,2021,2.3165,1.9481,2.7136
ABW,Baseline,a,mort,2021,0.17515,0.1069,0.25852
ABW,COVID,a,mort,2021,0.24696,0.14634,0.37192
ABW,Baseline,a,inc,2022,2.1422,1.8611,2.4992
ABW,COVID,a,inc,2022,2.4944,2.0309,2.9939
ABW,Baseline,a,mort,2022,0.17435,0.10587,0.25708
ABW,COVID,a,mort,2022,0.25235,0.14675,0.38855
ABW,Baseline,a,inc,2023,2.1243,1.84,2.4878
ABW,COVID,a,inc,2023,2.4141,1.9742,2.957
ABW,Baseline,a,mort,2023,0.17427,0.1049,0.25576
ABW,COVID,a,mort,2023,0.20408,0.11732,0.30964
ABW,Baseline,a,inc,2024,2.1092,1.8269,2.4765
ABW,COVID,a,inc,2024,2.3236,1.9149,2.8449
ABW,Baseline,a,mort,2024,0.17363,0.10398,0.25465
ABW,COVID,a,mort,2024,0.19197,0.11208,0.29159
ALB,Baseline,a,inc,2019,15.8896,14.0753,18.3501
ALB,COVID,a,inc,2019,15.8896,14.0753,18.3501
ALB,Baseline,a,mort,2019,0.34756,0.19841,0.55134
ALB,COVID,a,mort,2019,0.34756,0.19841,0.55134
ALB,Baseline,a,inc,2020,15.6779,13.9184,18.1597
ALB,COVID,a,inc,2020,15.5581,13.8211,17.8968
ALB,Baseline,a,mort,2020,0.34341,0.19575,0.5451
ALB,COVID,a,mort,2020,0.39308,0.21817,0.62743
ALB,Baseline,a,inc,2021,15.4668,13.7315,17.9737
ALB,COVID,a,inc,2021,16.6994,14.8053,19.9558
ALB,Baseline,a,mort,2021,0.33981,0.19386,0.54006
ALB,COVID,a,mort,2021,0.5556,0.30268,0.90108
ALB,Baseline,a,inc,2022,15.3101,13.5669,17.8082
ALB,COVID,a,inc,2022,18.6513,15.6325,24.9776
ALB,Baseline,a,mort,2022,0.33403,0.19224,0.53553
ALB,COVID,a,mort,2022,0.59821,0.32629,0.97578
ALB,Baseline,a,inc,2023,15.1503,13.4051,17.6594
ALB,COVID,a,inc,2023,17.9896,15.1877,24.9762
ALB,Baseline,a,mort,2023,0.32998,0.1908,0.53136
ALB,COVID,a,mort,2023,0.43001,0.23502,0.71771
ALB,Baseline,a,inc,2024,15.007,13.2645,17.5227
ALB,COVID,a,inc,2024,16.8931,14.487,23.5119
ALB,Baseline,a,mort,2024,0.32698,0.18948,0.52892
ALB,COVID,a,mort,2024,0.38801,0.21576,0.64008
AND,Baseline,a,inc,2019,7.4664,6.4419,8.7683
AND,COVID,a,inc,2019,7.4664,6.4419,8.7683
AND,Baseline,a,mort,2019,0.59282,0.37791,0.91423
AND,COVID,a,mort,2019,0.59282,0.37791,0.91423
AND,Baseline,a,inc,2020,7.3629,6.3213,8.6351
AND,COVID,a,inc,2020,7.2875,6.2903,8.5587
AND,Baseline,a,mort,2020,0.58378,0.37255,0.90243
AND,COVID,a,mort,2020,0.6667,0.42485,1.0409
AND,Baseline,a,inc,2021,7.2953,6.2208,8.5197
AND,COVID,a,inc,2021,7.9773,6.6632,9.4793
AND,Baseline,a,mort,2021,0.57711,0.36743,0.89198
AND,COVID,a,mort,2021,0.93423,0.57225,1.468
AND,Baseline,a,inc,2022,7.2183,6.147,8.4163
AND,COVID,a,inc,2022,8.809,7.1865,10.9616
AND,Baseline,a,mort,2022,0.57119,0.36298,0.88243
AND,COVID,a,mort,2022,1.0076,0.603,1.5717
AND,Baseline,a,inc,2023,7.1476,6.0512,8.3211
AND,COVID,a,inc,2023,8.5542,7.0122,10.8191
AND,Baseline,a,mort,2023,0.56664,0.35979,0.87349
AND,COVID,a,mort,2023,0.72463,0.43684,1.1363
AND,Baseline,a,inc,2024,7.0865,5.9583,8.2561
AND,COVID,a,inc,2024,8.0401,6.6704,10.2279
AND,Baseline,a,mort,2024,0.56038,0.35675,0.86496
AND,COVID,a,mort,2024,0.65657,0.4021,1.024
ARG,Baseline,a,inc,2019,28.7064,25.0586,34.1462
ARG,COVID,a,inc,2019,28.7064,25.0586,34.1462
ARG,Baseline,a,mort,2019,1.7869,1.5867,1.9964
ARG,COVID,a,mort,2019,1.7869,1.5867,1.9964
ARG,Baseline,a,inc,2020,28.5473,24.863,33.7249
ARG,COVID,a,inc,2020,28.29,24.6906,33.4891
ARG,Baseline,a,mort,2020,1.7674,1.5703,1.9754
ARG,COVID,a,mort,2020,2.0278,1.7757,2.3058
ARG,Baseline,a,inc,2021,28.4275,24.7148,33.37
ARG,COVID,a,inc,2021,30.4176,26.1092,36.1634
ARG,Baseline,a,mort,2021,1.7536,1.5564,1.9683
ARG,COVID,a,mort,2021,2.5116,2.1533,2.9156
ARG,Baseline,a,inc,2022,28.2871,24.5366,33.0502
ARG,COVID,a,inc,2022,32.8687,27.7639,40.0234
ARG,Baseline,a,mort,2022,1.7461,1.5442,1.9614
ARG,COVID,a,mort,2022,2.5388,2.1783,3.0281
ARG,Baseline,a,inc,2023,28.0397,24.3944,32.8499
ARG,COVID,a,inc,2023,31.921,27.1924,39.399
