iso3,var
ARG,Ongoing
CMR,Ongoing
MWI,Ongoing
PRY,Ongoing
RWA,Ongoing
ZAF,Completed
SDN,Ongoing
ZMB,Ongoing
BEN,Completed
BRA,Completed
BFA,Completed
CHN,Completed
COL,Completed
COD,Completed
SLV,Completed
FJI,Completed
GHA,Completed
IDN,Completed
KEN,Completed
LAO,Completed
LSO,Completed
MLI,Completed
MNG,Completed
MMR,Completed
NER,Completed
NGA,Completed
PNG,Completed
PHL,Completed
MDA,Completed
SLB,Completed
THA,Completed
TLS,Completed
UGA,Completed
TZA,Completed
VNM,Completed
ZWE,Completed
BGD,Planned
CUB,Planned
DOM,Planned
ETH,Planned
GTM,Planned
GIN,Planned
GUY,Planned
HND,Planned
IND,Planned
MYS,Planned
MOZ,Planned
NPL,Planned
PAK,Planned
PAN,Planned
TGO,Planned
