year,inc.num,inc.lo.num,inc.hi.num,pop,inc,inc.lo,inc.hi,inc.sd,inc.nh.num,inc.nh.lo.num,inc.nh.hi.num,inc.nh,inc.nh.lo,inc.nh.hi,inc.nh.sd,inc.h.num,inc.h.lo.num,inc.h.hi.num,inc.h,inc.h.lo,inc.h.hi,inc.h.sd,mort.nh.num,mort.nh.lo.num,mort.nh.hi.num,mort.nh,mort.nh.lo,mort.nh.hi,mort.nh.sd,mort.h.num,mort.h.lo.num,mort.h.hi.num,mort.h,mort.h.lo,mort.h.hi,mort.h.sd,mort.num,mort.lo.num,mort.hi.num,mort,mort.lo,mort.hi,mort.sd,tbhiv,tbhiv.lo,tbhiv.hi,tbhiv.sd,c.newinc,newinc,cfr,cfr.lo,cfr.hi,cfr.sd
2000,11233604.2711575,8266368.42565475,14647922.0674268,6121278420,183.517290023177,135.043170045102,239.295144941746,26.6444841269613,9433574.45372074,7177108.19588939,11993228.1890095,154.773887343854,117.752707715908,196.769374930068,20.187732192243,1787771.31482667,1253707.82694073,2415079.49688779,29.3314392582572,20.5692163581219,39.6235004887605,4.87260928719723,1746135.5390312,1642059.09098493,1853363.74739884,28.5256676665134,26.8254272770839,30.2773966520353,0.880694260859798,681928.494773217,540505.775471809,839535.624047514,11.1402953432923,8.82994920972422,13.7150373899757,1.24758824847172,2428064.03380442,2248278.73505698,2614663.3433096,39.6659630098057,36.7289082573209,42.714334554147,1.52712108846553,0.163198420320906,0.100253785168435,0.237846813827021,0.0352626211421358,3748455,61.2364728869823,0.22069910878599,0.160473212655674,0.287446629666649,0.0324658834698809
2001,11394185.8653544,8397630.29769705,14839946.3431127,6202922248,183.690612421077,135.38184039635,239.241211638555,26.5436835268584,9706506.89301398,7390617.97753287,12332657.4520192,157.15195301409,119.656851012619,199.670306300765,20.4422341379082,1673258.40488023,1190536.99630087,2236824.80113324,27.0906752678891,19.2752363096622,36.2150246142039,4.33111753357869,1742269.48759837,1641046.46022292,1846478.11852053,28.0878820971862,26.4560217686436,29.7678746354734,0.844943030790681,660784.858022788,522291.136080875,815317.481973167,10.6527993033581,8.42008194201172,13.1440867606562,1.20647970429639,2403054.34562116,2227294.07593802,2585391.6484623,38.7406814005443,35.9071738591623,41.6802201461724,1.47292973429178,0.15055941944764,0.0937963020399752,0.217842509492906,0.0317821193945427,3848055,62.0361637007577,0.215305615049973,0.156866807151701,0.28011850314142,0.0315129935691031
2002,11539994.0835383,8520518.86955584,15009426.7120166,6285299350,183.602935054132,135.562658118357,238.802097978303,26.3847171104173,9927518.22726685,7566078.95088197,12604215.8947152,158.619038102184,120.888638823934,201.386545507498,20.5658065567741,1599125.62554016,1145733.43444769,2126902.49492119,25.5503704673194,18.3062001129801,33.9830378709278,4.00787689221727,1732785.45768354,1633701.69998905,1834744.26211094,27.5688612616922,25.9924246883969,29.1910402343994,0.816051076759039,621980.40978879,491262.703525372,767883.307933556,9.89579612924546,7.81605896822356,12.2171318369038,1.12401236343671,2354765.86747233,2186739.43836511,2528920.85475072,37.4646573909376,34.7913331823266,40.2354878252651,1.38900797443289,0.142034857441762,0.0891556049799308,0.204720045924595,0.0296046334427285,4101395,65.2537734738124,0.208266540731085,0.152130924603835,0.270580438216483,0.0302836231103592
2003,11688179.0361826,8654766.51979317,15169350.2916516,6366642892,183.584649468394,135.939248778478,238.262936196919,26.1498542328544,10100138.5239552,7711283.28248368,12805833.5684362,159.284101713864,121.610691556195,201.954229816528,20.526001546735,1575232.88357529,1124751.19407745,2100381.38898441,24.8421894665435,17.7378739088884,33.1240370622055,3.93372464447734,1703744.05912794,1608060.46777377,1802153.04431927,26.760477822131,25.2575885761455,28.306174461014,0.777772411882073,618235.658165103,485981.045828327,766164.316630458,9.71054398138062,7.63323864825191,12.0340394400506,1.12399163074863,2321979.71729304,2154527.09791026,2495607.58165099,36.4710218035116,33.840866127697,39.1981712180975,1.36685299526973,0.138062843085957,0.0866201647473334,0.199125536595301,0.0288208512652877,4525143,71.0758099168098,0.202691190614421,0.148462746172902,0.26291541722686,0.0292603583599137
2004,11761271.2636784,8732299.25745241,15233364.2380658,6448368177,182.391435179344,135.418744987278,236.23595644554,25.7641044282743,10182287.6731856,7788355.21783205,12891569.5174232,158.364318425859,121.131675446425,200.501565619938,20.2768806730451,1567283.52995746,1108288.70988408,2104540.85969411,24.3758373332362,17.237127037971,32.7317582788896,3.96191936314825,1649124.96620151,1557025.65879346,1743832.54445756,25.57429912398,24.1460415419059,27.0430052470864,0.739089088289478,609394.604737031,479771.662181616,754281.298998501,9.45036927188209,7.44020268403505,11.6972430589318,1.08725898085058,2258519.57093854,2095395.89516323,2427668.43164067,35.0246683958621,32.4949791582478,37.6477949925326,1.31468048280516,0.136312447840337,0.0850172292808891,0.197350188021572,0.0287792137050598,4826950,74.8553722043468,0.195861919267338,0.143861097152633,0.253651453951265,0.0280670011331874
2005,11816567.0927845,8814407.14900547,15251057.9471379,6530684230,180.939189166469,134.969121742477,233.529250688299,25.1860305101994,10205479.7143599,7837552.07559044,12880663.9232387,156.425558005124,120.130899392547,197.42972384081,19.7469889731939,1609699.9905479,1127655.40097277,2176158.53156261,24.6728450097253,17.2842561321695,33.3552975592428,4.10978014316032,1626340.65240793,1537692.35518737,1717437.58910936,24.9030667404957,23.5456546516776,26.2979732080747,0.702183961048586,648421.822202831,510422.137696127,802681.593844904,9.92884970956298,7.81575283262665,12.2909264263249,1.14297230259743,2274843.09631991,2106356.90757659,2449717.18606699,34.8331509563725,32.2532346289324,37.5108809397601,1.34143546726953,0.139001922205048,0.0862711436033149,0.20179904120051,0.0296002862960136,5148430,78.8344654048601,0.1962430736093,0.144692682037736,0.25345814591305,0.0278037067219495
2006,11824342.9068856,8874695.56751791,15189857.834458,6613820026,178.782350599233,134.184110432852,229.668448411723,24.3984432122499,10159924.060435,7843085.63155617,12771508.86862,153.678614055696,118.634206575564,193.181343743776,19.0430672968187,1663046.48428205,1162626.59379717,2251604.63477281,25.1551760913181,17.5858443957103,34.0576836613138,4.21238278976792,1575909.24076901,1492006.37342177,1662074.34704275,23.827519263812,22.5589200727636,25.1303231794768,0.656025862028983,662136.59082957,526648.439509865,812898.243056196,10.0114092646399,7.96284805814982,12.2909035906717,1.10529526350482,2238025.82028719,2074489.73599878,2407675.83764513,33.8386259603247,31.3659840734043,36.403709628931,1.28532036217948,0.143323253915617,0.0891200697482374,0.207751275524888,0.0303949185957924,5416209,81.8922949023107,0.192797775020985,0.143049583923654,0.247944031036885,0.0268119093372287
2007,11784392.7946563,8910634.91358407,15052862.0921709,6698247781,175.932470400445,133.029341477329,224.728355598747,23.4293870090264,10194654.1938918,7935498.32898325,12732016.7832365,152.260845304795,118.519535876923,190.157272721614,18.298402372545,1588469.91372152,1127638.97670236,2126998.16713675,23.7243723234268,16.8416957089342,31.7674864424566,3.81628904530021,1549279.52150681,1468468.39143746,1632224.13634929,23.1296239279388,21.9231721406734,24.3679271014607,0.623713230353286,646567.857194687,528687.822628506,776132.729974167,9.65279097361427,7.89292722386536,11.5871009157905,0.943197184639845,2196001.33361113,2050038.98656874,2346910.30649248,32.7847133371241,30.6056009510995,35.0376752730713,1.13076999014683,0.137240855602144,0.0868932570692586,0.196838008772005,0.0281608181643879,5594219,83.5176479417252,0.189653157003229,0.142024970239732,0.242327889342034,0.0256352918558242
2008,11727226.9559893,8966833.21805667,14851672.7748368,6783804995,172.870932531711,132.17999669309,218.928356369076,22.1619631902891,10121497.0598408,7938909.29825832,12564694.1668487,149.259707211486,117.073518910376,185.289049777702,17.4230251595004,1604233.3781806,1183810.83408581,2087537.32541336,23.6573110588737,17.4574232887455,30.7844983940694,3.40599536466854,1508780.56630647,1432318.63996916,1587202.29989429,22.2409188857657,21.1137944122045,23.3969328579482,0.582479030343966,614276.905387761,502283.929652944,737371.250864397,9.0550495752828,7.4041622662083,10.8695820621005,0.884791693309308,2123222.04287281,1984692.77686802,2266356.81129225,31.2983944031075,29.2563359107585,33.4083425594141,1.0593112874621,0.139098697051886,0.0915601514519029,0.194617937137773,0.0263814943478716,5742609,84.6517404942003,0.184026234868958,0.139360684807492,0.233301212363537,0.0240058597632596
2009,11698896.6652357,9037864.07878861,14697425.3631428,6870436486,170.278797993035,131.547160026953,213.922731009769,21.0426893675554,10099911.2781982,7984898.04441679,12459256.3582602,147.049492659867,116.255992159737,181.400338669927,16.6374097853467,1597970.02147991,1207463.17192741,2042336.23671103,23.2656183279084,17.5800402544797,29.735360952873,3.1057427727492,1477175.884947,1401753.06547876,1554546.80250707,21.5004663525682,20.4026784664283,22.6266090324071,0.567374314629509,594760.383576833,488965.000785784,710761.12818634,8.6568063730563,7.11694230464332,10.3452106665227,0.824207316143622,2072141.32093928,1939572.58896483,2209028.9213381,30.1602572873166,28.2307040159257,32.1526721895977,1.00061709147865,0.138719084244619,0.093706127212579,0.190836172165003,0.0248548170144518,5851936,85.1756072838252,0.179827727443632,0.137596910678581,0.22629545229097,0.02266353813027
