year,inc.num,inc.lo.num,inc.hi.num,pop,inc,inc.lo,inc.hi,inc.sd,inc.h.num,inc.h.lo.num,inc.h.hi.num,inc.h,inc.h.lo,inc.h.hi,inc.h.sd,mort.nh.num,mort.nh.lo.num,mort.nh.hi.num,mort.nh,mort.nh.lo,mort.nh.hi,mort.nh.sd,mort.h.num,mort.h.lo.num,mort.h.hi.num,mort.h,mort.h.lo,mort.h.hi,mort.h.sd,mort.num,mort.lo.num,mort.hi.num,mort,mort.lo,mort.hi,mort.sd,tbhiv,tbhiv.lo,tbhiv.hi,tbhiv.sd,c.newinc,newinc
2000,9537769.9443859,6617595.80157883,12981712.8021898,3732299112,255.546773132954,177.306148381894,347.820804620169,43.6103234064924,1482560.85486797,964739.635981853,2109801.93552855,39.7224555261736,25.8484008658375,56.5282114915487,7.85334837307739,1477511.56833816,1375955.81606253,1582630.37615486,39.5871693023665,36.8661721574938,42.4036318811218,1.41280109543245,567216.478333564,428876.703278984,724594.450387041,15.1975085948997,11.4909521024205,19.4141581004947,2.02440365997339,2044728.04667173,1868104.10942859,2229211.29291019,54.7846778972662,50.0523686170357,59.7275627171167,2.46864681835389,0.159967964495379,0.0888784043275303,0.247011108976569,0.0405967780814947,2741908,73.4643156328034
2001,9692964.78764792,6742685.39252831,13168674.7077219,3788655679,255.841797431598,177.970392767601,347.581723530963,43.377872351629,1389101.41788318,921102.604405461,1951669.43181382,36.6647575176278,24.3121223580968,51.5135076177985,6.96111333640242,1476519.6741757,1377784.72695373,1578621.48999205,38.9721262441411,36.3660581401102,41.6670614524864,1.3524645072591,558015.073808846,422215.38329407,712456.686964083,14.7285771283426,11.1442004517421,18.8049996444156,1.95734372489415,2034534.74798455,1861678.17396428,2214951.0248213,53.7007033724836,49.1382255791495,58.4627163956459,2.37914999543494,0.147430021332125,0.0834821850232793,0.225632418819063,0.0364789499823971,2814026,74.2750526419638
2002,9840931.58398943,6866812.60754501,13340221.9311634,3843957805,256.010395618519,178.639125502706,347.043922121394,43.0676274467649,1330593.10324868,890501.963792833,1857618.0034066,34.6151849408421,23.1662783247651,48.3256606248466,6.4377295857214,1465216.66359581,1368685.20189481,1564989.57407654,38.1173971704357,35.60614531498,40.7129748417346,1.30292012684934,523705.54970593,395630.885856531,669461.225240177,13.6241232675531,10.2922796223704,17.4159358453254,1.82013272438043,1988922.21330174,1823830.94511148,2161060.19068722,51.7415204379889,47.4466952456957,56.2196647391976,2.23841104163414,0.13903652299329,0.0795701383258461,0.211729208273422,0.0339074279164241,3041731,79.130187018273
2003,9978202.45373498,6989652.91746035,13488794.5991373,3898264425,255.965254428193,179.301662366332,346.020513965962,42.6344001727389,1314109.58807038,877022.910270322,1838135.6088758,33.7101192941876,22.4977788742569,47.1526661220731,6.3088795442263,1438679.03098451,1345493.5879294,1534939.07786734,36.9056296375922,34.5151955136907,39.37493485623,1.23987497649609,526568.514064653,396708.75591388,674530.097421007,13.5077679874077,10.1765481420332,17.3033438443829,1.82098664078592,1965247.54504916,1800507.42617696,2137092.15068575,50.4133976249999,46.1874113677385,54.8216313131644,2.20301663708243,0.13535176746913,0.0775165082343372,0.206123629834677,0.0329952251091516,3369103,86.4257175165843
2004,10075979.0888797,7090453.67401633,13576346.0971633,3952566415,254.922448630878,179.388602987366,343.481795666761,41.9605763022522,1314486.09737703,868636.110536996,1851185.47604947,33.2565214436005,21.9765089143226,46.8350251882984,6.36185122481221,1392219.79652351,1302641.73629096,1484733.22536421,35.2231854027811,32.9568588992568,37.5637767838547,1.17537056921564,520179.804561771,392868.717364837,665082.296933575,13.1605582283877,9.93958547727114,16.8265938406395,1.75967249499451,1912399.60108528,1751956.6946037,2079767.81137674,48.3837436311688,44.3245352678964,52.6181623029538,2.11611513501002,0.133991967123621,0.0763538975098638,0.204668311826639,0.0329228320660691,3788801,95.8567321126216
2005,10125653.2207955,7166280.70180463,13587078.570294,4006735741,252.715773520625,178.855835898378,339.105931825266,40.9749789482656,1356371.0276892,888721.903153487,1921264.28822176,33.8522706603725,22.1806967217579,47.9508610603367,6.59594590559836,1372713.27922444,1286570.72171265,1461606.69124072,34.260140122988,32.1101965509596,36.4787394457898,1.11454816914537,555867.482055392,420227.459931011,710185.259163112,13.8733252699281,10.4880253426978,17.7247840903494,1.84901735611817,1928602.23825198,1762760.84630944,2101788.83856589,48.134001414594,43.9949365332861,52.456387803637,2.15895414587874,0.13747543289935,0.0780362280286814,0.210362637063558,0.0339550086321005,4044890,100.952252942703
2006,10147863.4740057,7239072.80500068,13538861.9613595,4060427272,249.921074660876,178.283523384843,333.434415996591,39.6673520536178,1402771.4832347,916562.761928321,1990749.14995226,34.5473860080678,22.5730619102275,49.0280706092219,6.77150012136287,1336097.23734513,1254644.06029807,1420075.0078357,32.905336011277,30.8993112362799,34.9735363474747,1.03945323806722,565385.516655613,432208.63815986,716171.954006163,13.9242862581092,10.6444127478971,17.6378471040415,1.78664452003943,1901507.66678944,1740543.12245404,2069485.47136789,46.8302358203017,42.8660090640342,50.9671847994596,2.06701768295544,0.141715538896276,0.0806122345024421,0.216483324413468,0.0348639042222176,4327205,106.57018855724
2007,10128579.777906,7293358.5514253,13420812.0679238,4114382117,246.174990311578,177.264977924395,326.192650227384,38.0720369190583,1339354.02239098,891458.005307747,1876935.14592112,32.5529808438787,21.6668743922539,45.6188825575026,6.12924786933663,1317539.5630255,1239189.31371163,1398256.80446098,32.02278071309,30.1184789957035,33.9846121409968,0.986358678533957,550259.057704366,434492.666068754,679489.23411271,13.3740387270006,10.560338192058,16.5149763631619,1.52078916622148,1867866.17647824,1724532.46894604,2016837.50025376,45.3984613816131,41.9147376180869,49.0192073293459,1.81265152929134,0.135397922066125,0.0787516759485762,0.204371383109745,0.0322201754037914,4511890,109.661423555133
2008,10095558.1167466,7370213.63087665,13241861.4732593,4168590274,242.181587855104,176.803503017448,317.658023525373,36.0024984243744,1371635.06722569,961382.867161224,1853617.35027708,32.9040509397324,23.062541626062,44.4662878440779,5.47345518349826,1281736.67190581,1207669.81138388,1357976.01208312,30.7474850646791,28.97070069266,32.5763848885073,0.919906537986216,528235.321192935,417968.369318954,651214.095875109,12.6717975735731,10.0266119202425,15.6219261925743,1.42899271655848,1810099.16485957,1673889.73906698,1951558.17735726,43.4223333521017,40.1548156341301,46.8157830125299,1.69948597322078,0.138867761563399,0.0850158788273182,0.203290042995753,0.0303105803105136,4657768,111.73484784655
2009,10078269.1473708,7449631.81003999,13096927.6839192,4223468091,238.625436021337,176.38660100013,310.098890336785,34.1721933554049,1368031.45546756,986215.510021756,1811328.85032092,32.3911871947789,23.3508455319772,42.887238906357,4.99423347978812,1256570.92667571,1183504.8351764,1331793.9535247,29.7521112886682,28.0221090742556,31.5331837444844,0.895770010319098,515157.025663425,410683.544481468,631289.800926141,12.1974882860178,9.7238462711868,14.9471900183498,1.33390648231545,1771911.87516056,1641383.24962761,1907361.20242889,41.9539543565255,38.8633988528365,45.161018417385,1.60677187432908,0.138524414174392,0.0874728048092301,0.198985918127429,0.0285638186752457,4748453,112.430185281113
2010,9974344.80598679,7445731.69742788,12865962.8829624,4279656397,233.064150032669,173.979661139321,300.630744374275,32.3641362921781,1303793.17401478,947100.213173255,1716587.0823559,30.4649030919568,22.1302862967495,40.1103949270135,4.59598294595413,1228876.20266305,1155260.32136908,1304733.01350217,28.7143660300504,26.9942307092435,30.4868637215076,0.891069462600422,493650.498210069,393262.400047077,605276.696652189,11.5348161725346,9.18911154462658,14.1431143181607,1.26513153934654,1722741.09373876,1595369.20066286,1854933.06640336,40.2541917838635,37.2779740397195,43.343037251861,1.54743903973991,0.133235253826428,0.0852471117237079,0.189904938505714,0.0268020290772432,4714760,110.166788233397
2011,9929155.77579082,7500804.4560385,12691955.0106168,4336407993,228.971900056887,172.972756902639,292.683599677536,30.5868001622532,1263318.7441275,962838.548642884,1603968.65434544,29.1328386574048,22.2035968524441,36.9884166096601,3.77725995009443,1206212.84527464,1133719.61295782,1280920.25423912,27.81594460719,26.1442100187047,29.5387393507905,0.866040923022827,412802.412720808,332497.823033481,501661.944620085,9.51945512016328,7.66758625042228,11.5686057545758,0.996131245409074,1619251.78162043,1508993.03555675,1733341.59961872,37.3408540947783,34.7982255819246,39.9718292747533,1.3199658093927,0.129503658699757,0.0867325611757702,0.179284294330668,0.0236856450395074,4763905,109.858320704373
2012,9876891.9512717,7526135.72664301,12541454.8513451,4393502157,224.806807834047,171.301514320459,285.454619189461,29.1641815250992,1205991.16624934,894436.401453276,1563369.99073214,27.4494269754228,20.3581646142635,35.5836855170603,3.89096517772318,1181231.66455481,1108606.84360101,1256127.35757758,26.8858787897213,25.2328735479213,28.5905710909061,0.856647531078859,383468.21701868,297186.994511551,480577.39412934,8.72807622064585,6.76423918531722,10.9383670920396,1.06624004798552,1564717.71562131,1449140.21126053,1684664.82688459,35.6143609290894,32.9837145738432,38.3444634071814,1.36774005799987,0.124157259436914,0.0819430296719263,0.173604324707365,0.0234624001030663,4736204,107.800197445083
2013,9771714.26825363,7506797.97928245,12329962.1105015,4450185895,219.579911914076,168.685042746567,277.06622602788,27.6873016081989,1122296.40093466,876803.760893974,1397620.60083453,25.2190903349817,19.7026322401297,31.4058925584395,2.98925519014647,1165847.12577549,1092179.7145589,1241884.03068368,26.1977174276108,24.5423391365744,27.9063405436389,0.858260203651944,355719.617284092,287867.024895053,430644.15609851,7.99336534870959,6.46865168528096,9.67699251805098,0.819222733765108,1521584.95950665,1419843.28715129,1626795.96180836,34.1914921175814,31.9052579072382,36.5556855419487,1.18648071828292,0.116677587630018,0.0806175075607574,0.158317908849318,0.0198759308977151,4687281,105.327757325068
