country,iso2,year,new.labconf,new.clindx,new.ep,ret.rel.labconf,ret.rel.clindx,ret.rel.ep,ret.nrel,ret.nrel.clindx,c.newunk,c.newinc,c.ret,c.notified,pulm.labconf.new,pulm.labconf.ret,pulm.labconf.unk,notif.foreign,rel.in.agesex.flg,agegroup.option,newrel.m04,newrel.m59,newrel.m1014,newrel.m514,newrel.m014,newrel.m1519,newrel.m2024,newrel.m1524,newrel.m2534,newrel.m3544,newrel.m4554,newrel.m5564,newrel.m65,newrel.m15plus,newrel.mu,newrel.f04,newrel.f59,newrel.f1014,newrel.f514,newrel.f014,newrel.f1519,newrel.f2024,newrel.f1524,newrel.f2534,newrel.f3544,newrel.f4554,newrel.f5564,newrel.f65,newrel.f15plus,newrel.fu,c.new.014,rdx.data.available,newinc.rdx,rdxsurvey.newinc,rdxsurvey.newinc.rdx,gaps.na.tbcases,remarks.tbcases,conf.rr.nfqr,conf.rr.fqr,unconf.rr.nfqr.tx,conf.rr.nfqr.tx,rrmdr.014.tx,conf.rr.fqr.tx,mdrxdr.bdq.used,mdrxdr.bdq.tx,mdrxdr.alloral.used,mdrxdr.alloral.tx,mdr.alloral.short.used,mdr.alloral.short.tx,mdr.tx.adsm,gaps.na.mdr.patients,remarks.mdr.patients,r.rlt.new,r.rlt.ret,rr.new,rr.ret,r.rlt.rel,rr.rel,dst.rlt.new,dst.rlt.ret,dst.rlt.hr.new,dst.rlt.hr.ret,dst.rlt.rr.new,dst.rlt.rr.ret,mdr.new,mdr.ret,rr.dst.rlt.fq,rr.fqr,rr.fqr.bdqr.lzdr,rr.fqr.bdqs.lzdr,rr.fqr.bdqu.lzdr,rr.fqr.bdqr.lzds,rr.fqr.bdqs.lzds,rr.fqr.bdqu.lzds,rr.fqr.bdqr.lzdu,rr.fqr.bdqs.lzdu,rr.fqr.bdqu.lzdu,gaps.na.dr.surveillance,remarks.dr.surveillance,newrel.tbhiv.flg,newrel.hivtest,newrel.hivpos,newrel.art,tbhiv.014.flg,newrel.hivtest.014,newrel.hivpos.014,newrel.art.014,gaps.na.hiv.patients,remarks.hiv.patients,hiv.tbrx.art,hiv.tbrx.art.NA,hiv.tbrx.art.NI.reason,hiv.tbrx.art.remarks,hiv.tbdetect,hiv.reg.new2,hiv.tbdetect.hiv.reg.new2.NA,hiv.tbdetect.hiv.reg.new2.NI.reason,hiv.tbdetect.hiv.reg.new2.remarks,hiv.new.tpt,hiv.new,hiv.all.tpt,hiv.all,hiv.tpt.eligible.start.NA,hiv.tpt.eligible.start.NI.reason,hiv.tpt.eligible.start.remarks,hiv.all.tpt.completed,hiv.all.tpt.started,hiv.tpt.completed.NA,hiv.tpt.completed.NI.reason,hiv.tpt.completed.remarks,hiv.unaids.date.exported,tbhiv.surveil,tbhiv.surv.prev,tbhiv.surv.yr,tbhiv.surv.cil,tbhiv.surv.ciu,tbhiv.sentin.prev,tbhiv.sentin.yr,tbhiv.sentin.cil,tbhiv.sentin.ciu,gaps.na.nonroutine.hiv,remarks.nonroutine.hiv,total.deaths.vr,r00.r99.deaths.vr,tbdeaths.vr,gaps.na.tbdeaths,remarks.tbdeaths
Andorra,AD,2021,2,0,0,,,,0,0,2,2,0,2,2,,,0,1,220,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,1,,,60,0,,,1,,0,0,0,0,0,0,0,,0,,0,,,1,,2,,0,,,,2,0,0,0,0,0,0,0,,,,,,,,,,,,1,En relación con E2.DRS2: Uno de los casos es nacido fuera del país aunque hace años que es residente en Andorra.,1,0,0,0,,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,1,,,,0,1,
United Arab Emirates,AE,2021,33,4,29,1,0,0,1,,66,67,2,68,33,2,0,0,,221,2,,,2,,,,11,8,8,7,6,2,42,0,0,,,1,,,,4,5,2,2,3,4,20,0,5,60,25,,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,,23,2,0,0,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,50,1,1,,,,,0,,1,0,,,1,87,0,,,1,87,,,0,,,4,6,0,,,2022-08-26,0,,,,,,,,,0,,,,,,
Afghanistan,AF,2021,24715,12254,12699,501,93,62,386,,49668,50324,1042,50710,24715,887,0,0,1,221,2939,,,2770,,,,4358,3379,2194,1872,2100,2529,16432,0,2180,,,3331,,,,6044,5136,3605,2998,2802,2087,22672,0,11220,60,18981,,,0,,459,123,0,392,32,20,1,264,1,258,1,114,20,0,,17443,501,390,69,,,,,,,,,,,413,123,,,,,,,,,,1,"The available lab-data do not have DST for Rif and INH separately New and Previously Treated Cases) but mixed of them are available (among  467 DST were performed for Rif, 182 were found to be RRTB and 285 were sensitive to Rif> among  414 DST were performed for INH, 149 were found to be HrTB and 265 were sensitive to INH.  ",1,31278,2,2,,,,,0,,2,0,,,2,117,0,,,34,117,34,1141,0,,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
Antigua and Barbuda,AG,2021,3,1,0,0,0,0,,,4,4,0,4,3,0,0,3,1,222,,,,,0,,,,,,1,1,,2,,,,,,,,,1,,1,,,,2,,0,60,4,,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,4,0,0,1,0,0,0,0,,,1,,,,,1,,,,,,,1,,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
Anguilla,AI,2021,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,0,No new cases of TB were diagnosed in 2021,,,,,,,,,,,,,,0,Not applicable - no cases were diagnosed ,,,,,,,,,,,,,,,,,,,,,,,,,,0,Not appplicable,,,,,0,,,,0,Not applicable - no cases were diagnosed ,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
Albania,AL,2021,168,43,50,5,3,0,0,0,261,269,8,269,168,5,0,0,1,220,3,0,1,,,4,23,,28,21,27,29,39,171,0,1,1,2,,,6,19,,20,13,6,5,21,90,0,8,60,158,,,1,,6,,0,5,0,,1,5,1,2,1,3,0,1,,154,4,5,1,,,99,4,7,1,5,1,1,0,0,,,,,,,,,,,1,,1,244,1,1,,,,,1,,1,0,,,1,107,0,,,,,,,1,,,,,1,,,2022-08-26,0,,,,,,,,,1,,,,9,1,
Armenia,AM,2021,209,55,105,20,3,6,28,1,369,398,57,426,209,47,0,2,1,220,9,2,3,,,15,8,,41,59,78,61,34,296,0,0,2,2,,,3,6,,23,18,4,17,13,84,0,18,60,326,,,0,,47,17,3,47,0,17,1,60,1,21,1,29,23,0,,209,47,44,20,,,209,47,72,18,44,20,42,18,57,17,,,,,,7,,,10,1,,1,335,36,,,,,,1,,36,0,,,31,371,0,,,106,,,,0,,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,1,
Angola,AO,2021,31113,23841,3466,2460,742,69,2279,,58420,61691,5550,63970,30949,2460,164,6,1,221,1143,,,2122,,,,8042,8972,6268,3936,2295,1522,31035,9,1091,,,2357,,,,7038,6222,4562,3123,1892,1092,23929,5,6713,0,,,,0, ,1232,0,0,1232,31,0,1,1232,3,,3,,0,0,,10250,1100,759,473,540,151,759,473,759,473,759,473,759,473,,,,,,,,,,,,1,Nous n'avons pas encore initié les tests de sensibilité aux médicaments anti-tuberculeux de deuxième ligne,0,45238,5619,3597,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,0,,,,,,,,,0,,,,,,
Argentina,AR,2021,8352,2228,1027,244,51,25,613,,11607,11927,933,12540,6341,723,2011,1019,1,220,133,106,152,,,612,782,,1402,1149,937,852,631,6365,9,119,79,204,,,579,658,,1149,709,590,520,435,4640,3,793,60,697,,,0,"* 2.6 Los datos consignados son por País de Nacimiento
* 2.9 Hay 117 casos sin infromación de sexo",166,10,0,166,6,10,1,23,1,,0,,,0,"2.27 No se cuenta con registro de vigilancia del monitoreo para detectar efectos adversos, esa información se regista a nivel del establecimiento que hace el seguimiento del tratamiento del paciente.",2309,341,100,36,,,394,117,126,47,83,31,74,27,127,10,0,0,0,0,5,4,0,0,1,0,,1,2505,999,623,1,124,7,6,0,,623,0,,,,,1,,,,,,,1,,,,,1,,,2022-08-26,0,,,,,,,,,0,,,,,,
American Samoa,AS,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,,,2022-08-26,,,,,,,,,,,,,,,,
