iso3,year,saved.hivneg,saved.hivneg.lo,saved.hivneg.hi,saved.hivpos,saved.hivpos.lo,saved.hivpos.hi,saved,saved.lo,saved.hi
ABW,2000,0,0,0,6.06e-09,2.61e-09,9.66e-09,6.06e-09,2.61e-09,9.66e-09
ABW,2001,0,0,0,6.17e-09,2.64e-09,9.83e-09,6.17e-09,2.64e-09,9.83e-09
ABW,2002,0,0,0,6.25e-09,2.69e-09,9.96e-09,6.25e-09,2.69e-09,9.96e-09
ABW,2003,0,0,0,6.31e-09,2.71e-09,1.01e-08,6.31e-09,2.71e-09,1.01e-08
ABW,2004,0,0,0,6.37e-09,2.73e-09,1.01e-08,6.37e-09,2.73e-09,1.01e-08
ABW,2005,0,0,0,6.43e-09,2.78e-09,1.02e-08,6.43e-09,2.78e-09,1.02e-08
ABW,2006,0,0,0,6.5e-09,2.79e-09,1.04e-08,6.5e-09,2.79e-09,1.04e-08
ABW,2007,0,0,0,6.58e-09,2.83e-09,1.05e-08,6.58e-09,2.83e-09,1.05e-08
ABW,2008,0,0,0,6.67e-09,2.88e-09,1.06e-08,6.67e-09,2.88e-09,1.06e-08
ABW,2009,0,0,0,6.75e-09,2.89e-09,1.08e-08,6.75e-09,2.89e-09,1.08e-08
ABW,2010,0,0,0,6.83e-09,2.93e-09,1.09e-08,6.83e-09,2.93e-09,1.09e-08
ABW,2011,0,0,0,6.89e-09,2.96e-09,1.1e-08,6.89e-09,2.96e-09,1.1e-08
ABW,2012,0,0,0,6.95e-09,2.98e-09,1.11e-08,6.95e-09,2.98e-09,1.11e-08
ABW,2013,0,0,0,6.99e-09,3e-09,1.11e-08,6.99e-09,3e-09,1.11e-08
ABW,2014,0,0,0,7.04e-09,3.02e-09,1.12e-08,7.04e-09,3.02e-09,1.12e-08
ABW,2015,0,0,0,7.09e-09,3.05e-09,1.13e-08,7.09e-09,3.05e-09,1.13e-08
ABW,2016,0,0,0,7.13e-09,3.06e-09,1.14e-08,7.13e-09,3.06e-09,1.14e-08
ABW,2017,0,0,0,7.17e-09,3.1e-09,1.14e-08,7.17e-09,3.1e-09,1.14e-08
ABW,2018,0,0,0,7.21e-09,3.11e-09,1.15e-08,7.21e-09,3.11e-09,1.15e-08
ABW,2019,0,0,0,7.24e-09,3.11e-09,1.15e-08,7.24e-09,3.11e-09,1.15e-08
ABW,2020,0,0,0,7.25e-09,4.05e-09,1.12e-08,7.25e-09,4.05e-09,1.12e-08
ABW,2021,0,0,0,7.24e-09,4.05e-09,1.12e-08,7.24e-09,4.05e-09,1.12e-08
ABW,Cumulative,0,0,0,1.49e-07,1.31e-07,1.67e-07,1.49e-07,1.31e-07,1.67e-07
AFG,2000,3.64,0,13.2,3.88e-06,0,0,3.64,0,13.2
AFG,2001,4.35,0,14,1.31e-05,0,0,4.35,0,14
AFG,2002,5.54,0,15.8,1.7e-05,0,0,5.54,0,15.8
AFG,2003,5.78,0,16.9,1.64e-05,0,0,5.78,0,16.9
AFG,2004,7.27,0,18.8,2.08e-05,0,0,7.27,0,18.8
AFG,2005,8.47,0,20.3,2.63e-05,0,0,8.47,0,20.3
AFG,2006,9.91,0,22.1,3.27e-05,0,0,9.91,0,22.1
AFG,2007,11.1,0.79,23.4,4.14e-05,0,0,11.1,0.79,23.4
AFG,2008,10.9,0.234,23.5,4.07e-05,0,0,10.9,0.234,23.5
AFG,2009,10.2,0,23.5,3.67e-05,0,0,10.2,0,23.5
AFG,2010,11,0,24.5,4.58e-05,0,0,11,0,24.5
AFG,2011,11,0,25.2,5.57e-05,0,0,11,0,25.2
AFG,2012,11.4,0,26.1,6.83e-05,0,0,11.4,0,26.1
AFG,2013,12.1,0,27.2,9.09e-05,0,0,12.1,0,27.2
AFG,2014,12.6,0,28.3,0.000117,0,0,12.6,0,28.3
AFG,2015,14.2,0.783,30.2,0.000175,0,0,14.2,0.784,30.2
AFG,2016,16.5,3.33,32.7,0.000316,0,0,16.5,3.33,32.7
AFG,2017,18.4,5.12,34.9,0.000528,0,0.00583,18.4,5.12,34.9
AFG,2018,19.2,5.58,36.2,0.000249,0,0.004,19.2,5.58,36.2
AFG,2019,20.9,7.11,38.2,0.000422,0,0.00756,20.9,7.11,38.2
AFG,2020,18.3,3.16,37,0.00572,0,0.017,18.4,3.17,37.1
AFG,2021,20.1,4.88,39.2,0.00243,0,0.00909,20.1,4.88,39.2
AFG,Cumulative,263,203,323,0.0105,-0.00613,0.0271,263,203,323
AGO,2000,4.82,0,14.7,6,0,13.7,10.8,1.54,23
AGO,2001,6.66,0,17.5,4.2,0,11.8,10.9,0.893,23.7
AGO,2002,9.43,0,21.1,4.72,0,12.6,14.1,2.92,27.8
AGO,2003,11.5,0.893,24.3,5.25,0,13.7,16.8,4.47,31.6
AGO,2004,11.3,0,25.6,5.38,0,14.9,16.7,3.16,33.3
AGO,2005,11.7,0,27.6,6.01,0,17.2,17.7,2.74,36.6
AGO,2006,15.6,4.46,29.1,8.02,0,19.7,23.6,9.16,40.9
AGO,2007,15.1,0,34.4,2.59,0,5.96,17.7,2.56,37.2
AGO,2008,13.4,0,31.7,8.23,0,23.6,21.6,3.53,44.7
AGO,2009,15.2,0,36.6,2.6,0,6.33,17.8,1.85,39.4
AGO,2010,13.5,0,33.4,8.44,0,25.4,21.9,2.43,47.2
AGO,2011,16.4,0,37.9,4.64,0,10.8,21,3.71,43.3
AGO,2012,15.7,0,36.6,9.52,0,27.7,25.2,4.19,51.9
AGO,2013,18,0.897,39.2,10.1,0,28.2,28,6.58,55
AGO,2014,16.9,0,38.8,8.79,0,26.5,25.7,4.18,52.9
AGO,2015,19.2,1.02,41.5,8.88,0,26.1,28.1,6.23,55.3
AGO,2016,19.5,0.604,42.5,8.43,0,25.3,27.9,5.72,55.6
AGO,2017,18.3,0,42.1,7.51,0,24,25.8,3.42,53.8
AGO,2018,24.3,3.69,49.5,4.52,0.916,8.77,28.8,7.88,54.3
AGO,2019,27.9,6.98,53.7,4.05,1.23,7.41,31.9,10.8,58
AGO,2020,23.2,4.2,46.5,7.78,2.3,13.6,31,11.2,54.9
AGO,2021,24.5,5.05,48.2,7.8,3.46,13,32.3,12.3,56.4
AGO,Cumulative,352,269,435,143,96.4,190,495,400,591
AIA,2000,0,0,0,7.52e-10,3.23e-10,1.2e-09,7.52e-10,3.23e-10,1.2e-09
AIA,2001,0,0,0,7.72e-10,3.31e-10,1.23e-09,7.72e-10,3.31e-10,1.23e-09
AIA,2002,0,0,0,7.86e-10,3.37e-10,1.25e-09,7.86e-10,3.37e-10,1.25e-09
AIA,2003,0,0,0,7.99e-10,3.43e-10,1.27e-09,7.99e-10,3.43e-10,1.27e-09
AIA,2004,0,0,0,8.12e-10,3.5e-10,1.29e-09,8.12e-10,3.5e-10,1.29e-09
AIA,2005,0,0,0,8.25e-10,3.55e-10,1.31e-09,8.25e-10,3.55e-10,1.31e-09
AIA,2006,0,0,0,8.38e-10,3.61e-10,1.34e-09,8.38e-10,3.61e-10,1.34e-09
AIA,2007,0,0,0,8.52e-10,3.65e-10,1.36e-09,8.52e-10,3.65e-10,1.36e-09
AIA,2008,0,0,0,8.66e-10,3.72e-10,1.38e-09,8.66e-10,3.72e-10,1.38e-09
AIA,2009,0,0,0,8.81e-10,3.79e-10,1.4e-09,8.81e-10,3.79e-10,1.4e-09
AIA,2010,0,0,0,8.96e-10,3.84e-10,1.43e-09,8.96e-10,3.84e-10,1.43e-09
AIA,2011,0,0,0,9.08e-10,3.9e-10,1.45e-09,9.08e-10,3.9e-10,1.45e-09
AIA,2012,0,0,0,9.15e-10,3.93e-10,1.46e-09,9.15e-10,3.93e-10,1.46e-09
AIA,2013,0,0,0,9.32e-10,4.01e-10,1.48e-09,9.32e-10,4.01e-10,1.48e-09
AIA,2014,4.66e-10,2.04e-10,8.04e-10,0.000855,0,0.0029,0.000855,2.82e-10,0.0029
AIA,2015,0,0,0,9.88e-10,4.24e-10,1.57e-09,9.88e-10,4.24e-10,1.57e-09
AIA,2016,0,0,0,1.01e-09,4.35e-10,1.61e-09,1.01e-09,4.35e-10,1.61e-09
AIA,2017,0,0,0,1.02e-09,4.39e-10,1.63e-09,1.02e-09,4.39e-10,1.63e-09
AIA,2018,0,0,0,1.03e-09,4.43e-10,1.65e-09,1.03e-09,4.43e-10,1.65e-09
AIA,2019,0,0,0,1.05e-09,4.49e-10,1.67e-09,1.05e-09,4.49e-10,1.67e-09
