iso3,scenario,hiv,measure,date,best,lo,hi,year
AGO,Baseline,a,inc,2019-01-01,29.2923,18.9508,41.6897,2019
AGO,Baseline,a,inc,2019-02-01,29.1669,18.9248,41.6035,2019
AGO,Baseline,a,inc,2019-03-01,29.0445,18.8992,41.5189,2019
AGO,Baseline,a,inc,2019-04-01,28.9248,18.874,41.4357,2019
AGO,Baseline,a,inc,2019-05-01,28.8078,18.8494,41.354,2019
AGO,Baseline,a,inc,2019-06-01,28.6936,18.8252,41.2737,2019
AGO,Baseline,a,inc,2019-07-01,28.6693,18.8014,41.1949,2019
AGO,Baseline,a,inc,2019-08-01,28.6794,18.778,41.1175,2019
AGO,Baseline,a,inc,2019-09-01,28.6893,18.7551,41.0416,2019
AGO,Baseline,a,inc,2019-10-01,28.6989,18.7326,40.9669,2019
AGO,Baseline,a,inc,2019-11-01,28.7083,18.7105,40.8937,2019
AGO,Baseline,a,inc,2019-12-01,28.7176,18.6888,40.8218,2019
AGO,COVID,a,inc,2019-01-01,29.2923,18.9508,41.6897,2019
AGO,COVID,a,inc,2019-02-01,29.1669,18.9248,41.6035,2019
AGO,COVID,a,inc,2019-03-01,29.0445,18.8992,41.5189,2019
AGO,COVID,a,inc,2019-04-01,28.9248,18.874,41.4357,2019
AGO,COVID,a,inc,2019-05-01,28.8078,18.8494,41.354,2019
AGO,COVID,a,inc,2019-06-01,28.6936,18.8252,41.2737,2019
AGO,COVID,a,inc,2019-07-01,28.6693,18.8014,41.1949,2019
AGO,COVID,a,inc,2019-08-01,28.6794,18.778,41.1175,2019
AGO,COVID,a,inc,2019-09-01,28.6893,18.7551,41.0416,2019
AGO,COVID,a,inc,2019-10-01,28.6989,18.7326,40.9669,2019
AGO,COVID,a,inc,2019-11-01,28.7083,18.7105,40.8937,2019
AGO,COVID,a,inc,2019-12-01,28.7176,18.6888,40.8217,2019
AGO,Baseline,a,mort,2019-01-01,5.1446,3.2523,7.4347,2019
AGO,Baseline,a,mort,2019-02-01,5.1424,3.235,7.4253,2019
AGO,Baseline,a,mort,2019-03-01,5.1284,3.2179,7.4161,2019
AGO,Baseline,a,mort,2019-04-01,5.1145,3.2011,7.407,2019
AGO,Baseline,a,mort,2019-05-01,5.1008,3.1847,7.3981,2019
AGO,Baseline,a,mort,2019-06-01,5.0873,3.1685,7.3893,2019
AGO,Baseline,a,mort,2019-07-01,5.0739,3.1526,7.3806,2019
AGO,Baseline,a,mort,2019-08-01,5.0607,3.137,7.3721,2019
AGO,Baseline,a,mort,2019-09-01,5.0477,3.1217,7.3637,2019
AGO,Baseline,a,mort,2019-10-01,5.0348,3.1066,7.3555,2019
AGO,Baseline,a,mort,2019-11-01,5.0221,3.0918,7.3474,2019
AGO,Baseline,a,mort,2019-12-01,5.0096,3.0773,7.3394,2019
AGO,COVID,a,mort,2019-01-01,5.1446,3.2523,7.4347,2019
AGO,COVID,a,mort,2019-02-01,5.1424,3.235,7.4253,2019
AGO,COVID,a,mort,2019-03-01,5.1284,3.2179,7.4161,2019
AGO,COVID,a,mort,2019-04-01,5.1145,3.2011,7.407,2019
AGO,COVID,a,mort,2019-05-01,5.1008,3.1847,7.3981,2019
AGO,COVID,a,mort,2019-06-01,5.0873,3.1685,7.3893,2019
AGO,COVID,a,mort,2019-07-01,5.0739,3.1526,7.3806,2019
AGO,COVID,a,mort,2019-08-01,5.0607,3.137,7.3721,2019
AGO,COVID,a,mort,2019-09-01,5.0477,3.1217,7.3637,2019
AGO,COVID,a,mort,2019-10-01,5.0348,3.1066,7.3555,2019
AGO,COVID,a,mort,2019-11-01,5.0221,3.0918,7.3474,2019
AGO,COVID,a,mort,2019-12-01,5.0096,3.0773,7.3394,2019
AGO,Baseline,a,inc,2020-01-01,28.7266,18.6675,40.7511,2020
AGO,Baseline,a,inc,2020-02-01,28.6807,18.6466,40.6818,2020
AGO,Baseline,a,inc,2020-03-01,28.6176,18.626,40.6138,2020
AGO,Baseline,a,inc,2020-04-01,28.5557,18.6058,40.547,2020
AGO,Baseline,a,inc,2020-05-01,28.4948,18.586,40.4815,2020
AGO,Baseline,a,inc,2020-06-01,28.4351,18.5665,40.4172,2020
AGO,Baseline,a,inc,2020-07-01,28.3764,18.5474,40.3542,2020
AGO,Baseline,a,inc,2020-08-01,28.3187,18.5287,40.2923,2020
AGO,Baseline,a,inc,2020-09-01,28.2621,18.5102,40.2316,2020
AGO,Baseline,a,inc,2020-10-01,28.2065,18.4921,40.172,2020
AGO,Baseline,a,inc,2020-11-01,28.1519,18.4744,40.1136,2020
AGO,Baseline,a,inc,2020-12-01,28.0984,18.4569,40.0564,2020
AGO,COVID,a,inc,2020-01-01,28.7266,18.6675,40.7511,2020
AGO,COVID,a,inc,2020-02-01,28.6807,18.6466,40.6818,2020
AGO,COVID,a,inc,2020-03-01,28.6177,18.626,40.6138,2020
AGO,COVID,a,inc,2020-04-01,28.5558,18.606,40.5473,2020
