iso3,year,pop,c.newinc
ABW,1980,62267,
ABW,1981,62614,
ABW,1982,63116,
ABW,1983,63683,
ABW,1984,64174,
ABW,1985,64478,
ABW,1986,64553,
ABW,1987,64450,
ABW,1988,64332,
ABW,1989,64596,
ABW,1990,65712,
ABW,1991,67864,
ABW,1992,70192,
ABW,1993,72360,
ABW,1994,74710,
ABW,1995,77050,
ABW,1996,79417,
ABW,1997,81858,
ABW,1998,84355,
ABW,1999,86867,
ABW,2000,89101,
ABW,2001,90691,
ABW,2002,91781,
ABW,2003,92701,
ABW,2004,93540,
ABW,2005,94483,
ABW,2006,95606,
ABW,2007,96787,
ABW,2008,97996,
ABW,2009,99212,
ABW,2010,100341,6
ABW,2011,101288,8
ABW,2012,102112,28
ABW,2013,102880,11
ABW,2014,103594,2
ABW,2015,104257,
ABW,2016,104874,14
ABW,2017,105439,8
ABW,2018,105962,5
ABW,2019,106442,2
ABW,2020,106585,1
ABW,2021,,6
AFG,1980,12486631,71685
AFG,1981,11155195,71554
AFG,1982,10088289,41752
AFG,1983,9951449,52502
AFG,1984,10243686,18784
AFG,1985,10512221,10742
AFG,1986,10448442,14351
AFG,1987,10322758,18091
AFG,1988,10383460,16051
AFG,1989,10673168,14386
AFG,1990,10694796,4332
AFG,1991,10745167,23067
AFG,1992,12057433,
AFG,1993,14003760,
AFG,1994,15455555,
AFG,1995,16418912,
AFG,1996,17106595,
AFG,1997,17788819,1290
AFG,1998,18493132,3084
AFG,1999,19262847,3314
AFG,2000,19542982,7107
AFG,2001,19688632,10139
AFG,2002,21000256,13794
AFG,2003,22645130,13808
AFG,2004,23553551,18404
AFG,2005,24411191,21844
AFG,2006,25442944,25475
AFG,2007,25903301,28769
AFG,2008,26427199,28301
AFG,2009,27385307,26150
AFG,2010,28189672,28029
AFG,2011,29249157,27983
AFG,2012,30466479,28679
AFG,2013,31541209,30507
AFG,2014,32716210,31746
AFG,2015,33753499,35878
AFG,2016,34636207,41954
AFG,2017,35643418,46640
AFG,2018,36686784,48420
AFG,2019,37769499,52438
AFG,2020,38972230,45818
AFG,2021,,50324
AGO,1980,8330047,10117
AGO,1981,8631457,7501
AGO,1982,8947152,7911
AGO,1983,9276707,6625
AGO,1984,9617702,10153
AGO,1985,9970621,8653
AGO,1986,10332574,9363
AGO,1987,10694057,8510
AGO,1988,11060261,8184
AGO,1989,11439498,9587
AGO,1990,11828638,10271
AGO,1991,12228691,11134
AGO,1992,12632507,11272
AGO,1993,13038270,8269
AGO,1994,13462031,7157
AGO,1995,13912253,5143
AGO,1996,14383350,15424
AGO,1997,14871146,15066
AGO,1998,15366864,14296
AGO,1999,15870753,14235
AGO,2000,16394062,16062
AGO,2001,16941587,21713
AGO,2002,17516139,29996
AGO,2003,18124342,36079
AGO,2004,18771125,35437
AGO,2005,19450959,37175
AGO,2006,20162340,50419
AGO,2007,20909684,41292
AGO,2008,21691522,44576
AGO,2009,22507674,41221
AGO,2010,23364185,44655
AGO,2011,24259111,47240
AGO,2012,25188292,51819
AGO,2013,26147002,58607
AGO,2014,27128337,53552
AGO,2015,28127721,59705
AGO,2016,29154746,59513
AGO,2017,30208628,54401
AGO,2018,31273533,66189
AGO,2019,32353588,74105
AGO,2020,33428486,63147
AGO,2021,,61691
AIA,1980,6560,0
AIA,1981,6571,0
AIA,1982,6585,4
AIA,1983,6601,0
AIA,1984,6691,0
AIA,1985,6907,1
AIA,1986,7167,0
AIA,1987,7436,0
AIA,1988,7718,0
AIA,1989,8017,0
AIA,1990,8316,0
AIA,1991,8617,0
AIA,1992,8887,0
AIA,1993,9121,
AIA,1994,9356,
AIA,1995,9601,2
AIA,1996,9863,
AIA,1997,10132,0
AIA,1998,10416,
AIA,1999,10722,
AIA,2000,11047,
AIA,2001,11344,0
AIA,2002,11560,0
AIA,2003,11744,0
AIA,2004,11934,0
AIA,2005,12128,
AIA,2006,12325,0
AIA,2007,12524,0
AIA,2008,12730,
AIA,2009,12946,
AIA,2010,13172,1
AIA,2011,13341,0
AIA,2012,13455,0
AIA,2013,13700,0
AIA,2014,14120,1
AIA,2015,14525,0
AIA,2016,14813,0
AIA,2017,15015,
AIA,2018,15181,0
AIA,2019,15380,
AIA,2020,15585,
AIA,2021,,0
ALB,1980,2941651,1050
ALB,1981,2992389,954
ALB,1982,3041179,978
ALB,1983,3087911,891
ALB,1984,3131726,975
ALB,1985,3171725,916
ALB,1986,3207128,989
ALB,1987,3237676,915
ALB,1988,3263019,759
ALB,1989,3282182,695
ALB,1990,3295066,653
ALB,1991,3302081,628
ALB,1992,3303739,
ALB,1993,3300711,
ALB,1994,3293999,707
ALB,1995,3284364,641
ALB,1996,3271331,738
ALB,1997,3253719,655
ALB,1998,3232175,694
ALB,1999,3208260,733
ALB,2000,3182021,604
ALB,2001,3153612,555
ALB,2002,3123551,594
ALB,2003,3092991,555
ALB,2004,3062622,547
ALB,2005,3032634,506
ALB,2006,3003387,469
ALB,2007,2976084,438
ALB,2008,2951689,427
ALB,2009,2930541,445
ALB,2010,2913399,431
ALB,2011,2900654,422
ALB,2012,2892193,408
ALB,2013,2887014,474
ALB,2014,2884102,408
ALB,2015,2882481,415
ALB,2016,2881063,415
ALB,2017,2879355,503
ALB,2018,2877013,440
ALB,2019,2873883,412
ALB,2020,2866849,240
ALB,2021,,269
AND,1980,35611,
AND,1981,36987,
AND,1982,38598,
AND,1983,40432,
AND,1984,42181,
AND,1985,43809,
AND,1986,45605,
AND,1987,47635,
AND,1988,49654,
AND,1989,51639,12
AND,1990,53569,23
AND,1991,55434,24
