country,iso2,iso3,year,indicator.id,sex,value,lo,hi,ind
Aruba,AW,ABW,2000,NY.GDP.PCAP.PP.KD,a,36517.65234375,,,gdp
Aruba,AW,ABW,2001,NY.GDP.PCAP.PP.KD,a,37220.0390625,,,gdp
Aruba,AW,ABW,2002,NY.GDP.PCAP.PP.KD,a,36048.609375,,,gdp
Aruba,AW,ABW,2003,NY.GDP.PCAP.PP.KD,a,35692.17578125,,,gdp
Aruba,AW,ABW,2004,NY.GDP.PCAP.PP.KD,a,37620.8515625,,,gdp
Aruba,AW,ABW,2005,NY.GDP.PCAP.PP.KD,a,36994.98046875,,,gdp
Aruba,AW,ABW,2006,NY.GDP.PCAP.PP.KD,a,37118.70703125,,,gdp
Aruba,AW,ABW,2007,NY.GDP.PCAP.PP.KD,a,38118.46484375,,,gdp
Aruba,AW,ABW,2008,NY.GDP.PCAP.PP.KD,a,38765.2578125,,,gdp
Aruba,AW,ABW,2009,NY.GDP.PCAP.PP.KD,a,34205.71484375,,,gdp
Aruba,AW,ABW,2010,NY.GDP.PCAP.PP.KD,a,33201.3046875,,,gdp
Aruba,AW,ABW,2011,NY.GDP.PCAP.PP.KD,a,34189.64453125,,,gdp
Aruba,AW,ABW,2012,NY.GDP.PCAP.PP.KD,a,33665.7578125,,,gdp
Aruba,AW,ABW,2013,NY.GDP.PCAP.PP.KD,a,35622.015625,,,gdp
Aruba,AW,ABW,2014,NY.GDP.PCAP.PP.KD,a,35405.03515625,,,gdp
Aruba,AW,ABW,2015,NY.GDP.PCAP.PP.KD,a,36461.84765625,,,gdp
Aruba,AW,ABW,2016,NY.GDP.PCAP.PP.KD,a,37046.87890625,,,gdp
Aruba,AW,ABW,2017,NY.GDP.PCAP.PP.KD,a,38893.9609375,,,gdp
Aruba,AW,ABW,2018,NY.GDP.PCAP.PP.KD,a,39206.35546875,,,gdp
Aruba,AW,ABW,2019,NY.GDP.PCAP.PP.KD,a,38221.1171875,,,gdp
Aruba,AW,ABW,2020,NY.GDP.PCAP.PP.KD,a,29563.7578125,,,gdp
Afghanistan,AF,AFG,2000,EG.CFT.ACCS.ZS,a,6.19999980926514,,,fuel
Afghanistan,AF,AFG,2000,M_Est_smk_curr_std,a,21.1000003814697,,,smoking
Afghanistan,AF,AFG,2000,M_Est_smk_curr_std,f,9.60000038146973,,,smoking
Afghanistan,AF,AFG,2000,M_Est_smk_curr_std,m,32.5999984741211,,,smoking
Afghanistan,AF,AFG,2000,MDG_0000000029,a,0.100000001490116,0.100000001490116,0.100000001490116,hiv
Afghanistan,AF,AFG,2000,NCD_GLUC_04,a,8.30000019073486,6.30000019073486,10.6999998092651,diabetes
Afghanistan,AF,AFG,2000,NCD_GLUC_04,f,8.5,5.69999980926514,11.8999996185303,diabetes
Afghanistan,AF,AFG,2000,NCD_GLUC_04,m,8.10000038146973,5.30000019073486,11.5,diabetes
Afghanistan,AF,AFG,2000,UHC_INDEX_REPORTED,a,20.7587509155273,,,uhc
Afghanistan,AF,AFG,2001,EG.CFT.ACCS.ZS,a,7.19999980926514,,,fuel
Afghanistan,AF,AFG,2001,MDG_0000000029,a,0.100000001490116,0.100000001490116,0.100000001490116,hiv
Afghanistan,AF,AFG,2001,NCD_GLUC_04,a,8.5,6.5,10.8999996185303,diabetes
Afghanistan,AF,AFG,2001,NCD_GLUC_04,f,8.69999980926514,5.90000009536743,12.1000003814697,diabetes
Afghanistan,AF,AFG,2001,NCD_GLUC_04,m,8.30000019073486,5.5,11.6999998092651,diabetes
Afghanistan,AF,AFG,2001,SN.ITK.DEFC.ZS,a,47.7999992370606,,,undernutrition
Afghanistan,AF,AFG,2002,EG.CFT.ACCS.ZS,a,8.19999980926514,,,fuel
Afghanistan,AF,AFG,2002,GHED_CHE_pc_PPP_SHA2011,a,81.2699966430664,,,healthexp
Afghanistan,AF,AFG,2002,MDG_0000000029,a,0.100000001490116,0.100000001490116,0.100000001490116,hiv
Afghanistan,AF,AFG,2002,NCD_GLUC_04,a,8.80000019073486,6.80000019073486,11.1000003814697,diabetes
Afghanistan,AF,AFG,2002,NCD_GLUC_04,f,9,6.09999990463257,12.3000001907349,diabetes
Afghanistan,AF,AFG,2002,NCD_GLUC_04,m,8.60000038146973,5.69999980926514,11.8999996185303,diabetes
Afghanistan,AF,AFG,2002,SN.ITK.DEFC.ZS,a,45.5999984741211,,,undernutrition
Afghanistan,AF,AFG,2002,NY.GDP.PCAP.PP.KD,a,1189.78466796875,,,gdp
Afghanistan,AF,AFG,2003,EG.CFT.ACCS.ZS,a,9.5,,,fuel
Afghanistan,AF,AFG,2003,GHED_CHE_pc_PPP_SHA2011,a,82.4599990844727,,,healthexp
Afghanistan,AF,AFG,2003,MDG_0000000029,a,0.100000001490116,0.100000001490116,0.100000001490116,hiv
Afghanistan,AF,AFG,2003,NCD_GLUC_04,a,9,7,11.3000001907349,diabetes
Afghanistan,AF,AFG,2003,NCD_GLUC_04,f,9.19999980926514,6.40000009536743,12.6000003814697,diabetes
Afghanistan,AF,AFG,2003,NCD_GLUC_04,m,8.80000019073486,6,12.1999998092651,diabetes
Afghanistan,AF,AFG,2003,SN.ITK.DEFC.ZS,a,40.5999984741211,,,undernutrition
Afghanistan,AF,AFG,2003,NY.GDP.PCAP.PP.KD,a,1235.81005859375,,,gdp
Afghanistan,AF,AFG,2004,EG.CFT.ACCS.ZS,a,10.8999996185303,,,fuel
Afghanistan,AF,AFG,2004,GHED_CHE_pc_PPP_SHA2011,a,89.4700012207031,,,healthexp
Afghanistan,AF,AFG,2004,MDG_0000000029,a,0.100000001490116,0.100000001490116,0.100000001490116,hiv
Afghanistan,AF,AFG,2004,NCD_GLUC_04,a,9.30000019073486,7.19999980926514,11.6000003814697,diabetes
Afghanistan,AF,AFG,2004,NCD_GLUC_04,f,9.39999961853027,6.59999990463257,12.8999996185303,diabetes
Afghanistan,AF,AFG,2004,NCD_GLUC_04,m,9,6.19999980926514,12.3999996185303,diabetes
Afghanistan,AF,AFG,2004,SN.ITK.DEFC.ZS,a,38,,,undernutrition
Afghanistan,AF,AFG,2004,NY.GDP.PCAP.PP.KD,a,1200.27795410156,,,gdp
Afghanistan,AF,AFG,2005,EG.CFT.ACCS.ZS,a,12.1999998092651,,,fuel
Afghanistan,AF,AFG,2005,GHED_CHE_pc_PPP_SHA2011,a,100.709999084473,,,healthexp
Afghanistan,AF,AFG,2005,M_Est_smk_curr_std,a,17.1000003814697,,,smoking
Afghanistan,AF,AFG,2005,M_Est_smk_curr_std,f,6.69999980926514,,,smoking
Afghanistan,AF,AFG,2005,M_Est_smk_curr_std,m,27.5,,,smoking
Afghanistan,AF,AFG,2005,MDG_0000000029,a,0.100000001490116,0.100000001490116,0.100000001490116,hiv
Afghanistan,AF,AFG,2005,NCD_GLUC_04,a,9.5,7.40000009536743,11.8999996185303,diabetes
Afghanistan,AF,AFG,2005,NCD_GLUC_04,f,9.69999980926514,6.69999980926514,13.1999998092651,diabetes
Afghanistan,AF,AFG,2005,NCD_GLUC_04,m,9.30000019073486,6.30000019073486,12.6999998092651,diabetes
Afghanistan,AF,AFG,2005,SN.ITK.DEFC.ZS,a,36.0999984741211,,,undernutrition
Afghanistan,AF,AFG,2005,UHC_INDEX_REPORTED,a,25.5258197784424,,,uhc
Afghanistan,AF,AFG,2005,NY.GDP.PCAP.PP.KD,a,1286.79370117188,,,gdp
Afghanistan,AF,AFG,2006,EG.CFT.ACCS.ZS,a,13.8500003814697,,,fuel
Afghanistan,AF,AFG,2006,GHED_CHE_pc_PPP_SHA2011,a,113.75,,,healthexp
Afghanistan,AF,AFG,2006,MDG_0000000029,a,0.100000001490116,0.100000001490116,0.100000001490116,hiv
Afghanistan,AF,AFG,2006,NCD_GLUC_04,a,9.69999980926514,7.59999990463257,12.1999998092651,diabetes
Afghanistan,AF,AFG,2006,NCD_GLUC_04,f,9.89999961853027,6.90000009536743,13.6000003814697,diabetes
Afghanistan,AF,AFG,2006,NCD_GLUC_04,m,9.5,6.5,13,diabetes
