country,iso2,iso3,year,case.type,sex,age.group,screen.group,cases
Bangladesh,BD,BGD,2008,s,a,15_24,all,5
Bangladesh,BD,BGD,2008,s,a,15plus,all,33
Bangladesh,BD,BGD,2008,s,a,25_34,all,3
Bangladesh,BD,BGD,2008,s,a,35_44,all,6
Bangladesh,BD,BGD,2008,s,a,45_54,all,6
Bangladesh,BD,BGD,2008,s,a,55_64,all,7
Bangladesh,BD,BGD,2008,s,a,65plus,all,6
Bangladesh,BD,BGD,2008,s,f,15plus,all,9
Bangladesh,BD,BGD,2008,s,m,15plus,all,24
Bangladesh,BD,BGD,2015,b,a,15_24,all,28
Bangladesh,BD,BGD,2015,b,a,15plus,cxr_abn_only,172
Bangladesh,BD,BGD,2015,b,a,15plus,symptomatic,106
Bangladesh,BD,BGD,2015,b,a,25_34,all,41
Bangladesh,BD,BGD,2015,b,a,35_44,all,53
Bangladesh,BD,BGD,2015,b,a,45_54,all,43
Bangladesh,BD,BGD,2015,s,a,65plus,all,25
Bangladesh,BD,BGD,2015,s,f,15plus,all,26
Bangladesh,BD,BGD,2015,s,m,15plus,all,82
Bangladesh,BD,BGD,2015,b,a,15plus,all,278
Bangladesh,BD,BGD,2015,s,a,15plus,cxr_abn_only,56
Bangladesh,BD,BGD,2015,s,a,15plus,symptomatic,52
Bangladesh,BD,BGD,2015,s,a,25_34,all,17
Bangladesh,BD,BGD,2015,s,a,35_44,all,24
Bangladesh,BD,BGD,2015,s,a,45_54,all,17
Bangladesh,BD,BGD,2015,s,a,55_64,all,13
Bangladesh,BD,BGD,2015,b,a,55_64,all,41
Bangladesh,BD,BGD,2015,b,a,65plus,all,72
Bangladesh,BD,BGD,2015,b,f,15plus,all,77
Bangladesh,BD,BGD,2015,b,m,15plus,all,201
Bangladesh,BD,BGD,2015,s,a,15_24,all,12
Bangladesh,BD,BGD,2015,s,a,15plus,all,108
China,CN,CHN,1990,b,a,3monthplus,all,2389
China,CN,CHN,1990,s,a,15_24,all,170
China,CN,CHN,1990,s,a,25_34,all,311
China,CN,CHN,1990,s,a,35_44,all,305
China,CN,CHN,1990,s,a,3monthplus,all,1827
China,CN,CHN,1990,s,a,45_54,all,296
China,CN,CHN,1990,s,a,55_64,all,367
China,CN,CHN,1990,s,a,65plus,all,348
China,CN,CHN,2000,b,a,3monthplus,all,584
China,CN,CHN,2000,s,a,3monthplus,all,447
China,CN,CHN,2010,b,a,15_24,all,12
China,CN,CHN,2010,b,a,15plus,all,347
China,CN,CHN,2010,b,a,25_34,all,24
China,CN,CHN,2010,b,a,35_44,all,43
China,CN,CHN,2010,b,a,45_54,all,48
China,CN,CHN,2010,b,a,55_64,all,78
China,CN,CHN,2010,b,a,15plus,symptomatic,160
China,CN,CHN,2010,s,a,35_44,all,22
China,CN,CHN,2010,s,a,45_54,all,30
China,CN,CHN,2010,s,a,55_64,all,49
China,CN,CHN,2010,s,a,65plus,all,67
China,CN,CHN,2010,b,a,15plus,cxr_abn_only,182
China,CN,CHN,2010,b,a,15plus,others,5
China,CN,CHN,2010,b,a,65plus,all,141
China,CN,CHN,2010,s,a,15_24,all,6
China,CN,CHN,2010,s,a,15plus,all,188
China,CN,CHN,2010,s,a,15plus,cxr_abn_only,71
China,CN,CHN,2010,s,a,15plus,symptomatic,75
China,CN,CHN,2010,s,a,25_34,all,14
Ethiopia,ET,ETH,2011,b,a,15_24,all,36
Ethiopia,ET,ETH,2011,b,a,15plus,all,110
Ethiopia,ET,ETH,2011,b,a,15plus,cxr_abn_only,53
Ethiopia,ET,ETH,2011,b,a,15plus,symptomatic,57
Ethiopia,ET,ETH,2011,b,a,25_34,all,24
Ethiopia,ET,ETH,2011,b,a,35_44,all,18
Ethiopia,ET,ETH,2011,s,a,55_64,all,5
Ethiopia,ET,ETH,2011,s,a,65plus,all,1
Ethiopia,ET,ETH,2011,s,f,15plus,all,21
Ethiopia,ET,ETH,2011,s,m,15plus,all,26
Ethiopia,ET,ETH,2011,s,a,15plus,all,47
Ethiopia,ET,ETH,2011,s,a,15plus,cxr_abn_only,20
Ethiopia,ET,ETH,2011,s,a,15plus,symptomatic,27
Ethiopia,ET,ETH,2011,s,a,25_34,all,10
Ethiopia,ET,ETH,2011,s,a,35_44,all,9
Ethiopia,ET,ETH,2011,s,a,45_54,all,7
Ethiopia,ET,ETH,2011,b,a,45_54,all,16
Ethiopia,ET,ETH,2011,b,a,55_64,all,11
Ethiopia,ET,ETH,2011,b,a,65plus,all,5
Ethiopia,ET,ETH,2011,b,f,15plus,all,54
Ethiopia,ET,ETH,2011,b,m,15plus,all,56
Ethiopia,ET,ETH,2011,s,a,15_24,all,15
Ghana,GH,GHA,2013,b,a,15_24,all,29
Ghana,GH,GHA,2013,b,a,15plus,all,202
Ghana,GH,GHA,2013,b,a,15plus,cxr_abn_only,85
Ghana,GH,GHA,2013,b,a,15plus,symptomatic,117
Ghana,GH,GHA,2013,b,a,25_34,all,29
Ghana,GH,GHA,2013,b,a,35_44,all,30
Ghana,GH,GHA,2013,s,a,55_64,all,12
Ghana,GH,GHA,2013,s,a,65plus,all,12
Ghana,GH,GHA,2013,s,f,15plus,all,17
Ghana,GH,GHA,2013,s,m,15plus,all,47
Ghana,GH,GHA,2013,s,a,15plus,all,64
Ghana,GH,GHA,2013,s,a,15plus,cxr_abn_only,22
Ghana,GH,GHA,2013,s,a,15plus,symptomatic,42
Ghana,GH,GHA,2013,s,a,25_34,all,4
Ghana,GH,GHA,2013,s,a,35_44,all,11
Ghana,GH,GHA,2013,s,a,45_54,all,18
Ghana,GH,GHA,2013,b,a,45_54,all,37
Ghana,GH,GHA,2013,b,a,55_64,all,30
Ghana,GH,GHA,2013,b,a,65plus,all,47
Ghana,GH,GHA,2013,b,f,15plus,all,102
Ghana,GH,GHA,2013,b,m,15plus,all,100
Ghana,GH,GHA,2013,s,a,15_24,all,7
Gambia,GM,GMB,2012,b,a,15_24,all,15
Gambia,GM,GMB,2012,b,a,15plus,all,77
Gambia,GM,GMB,2012,b,a,15plus,cxr_abn_only,33
Gambia,GM,GMB,2012,b,a,15plus,symptomatic,44
Gambia,GM,GMB,2012,b,a,25_34,all,14
Gambia,GM,GMB,2012,b,a,35_44,all,19
Gambia,GM,GMB,2012,s,a,55_64,all,4
Gambia,GM,GMB,2012,s,a,65plus,all,5
Gambia,GM,GMB,2012,s,f,15plus,all,10
Gambia,GM,GMB,2012,s,m,15plus,all,24
Gambia,GM,GMB,2012,s,a,15plus,all,34
Gambia,GM,GMB,2012,s,a,15plus,cxr_abn_only,15
Gambia,GM,GMB,2012,s,a,15plus,symptomatic,19
Gambia,GM,GMB,2012,s,a,25_34,all,8
Gambia,GM,GMB,2012,s,a,35_44,all,8
Gambia,GM,GMB,2012,s,a,45_54,all,5
Gambia,GM,GMB,2012,b,a,45_54,all,11
Gambia,GM,GMB,2012,b,a,55_64,all,8
Gambia,GM,GMB,2012,b,a,65plus,all,10
Gambia,GM,GMB,2012,b,f,15plus,all,26
Gambia,GM,GMB,2012,b,m,15plus,all,51
Gambia,GM,GMB,2012,s,a,15_24,all,4
Indonesia,ID,IDN,2004,s,a,15plus,all,80
Indonesia,ID,IDN,2013,b,a,15_24,all,44
Indonesia,ID,IDN,2013,b,a,15plus,all,426
Indonesia,ID,IDN,2013,b,a,25_34,all,92
Indonesia,ID,IDN,2013,b,a,35_44,all,82
Indonesia,ID,IDN,2013,b,a,45_54,all,82
Indonesia,ID,IDN,2013,b,a,55_64,all,58
Indonesia,ID,IDN,2013,b,a,15plus,cxr_abn_only,181
Indonesia,ID,IDN,2013,b,a,15plus,symptomatic,245
Indonesia,ID,IDN,2013,s,a,15plus,cxr_abn_only,49
Indonesia,ID,IDN,2013,s,a,15plus,symptomatic,116
Indonesia,ID,IDN,2013,s,a,35_44,all,35
Indonesia,ID,IDN,2013,s,a,45_54,all,30
Indonesia,ID,IDN,2013,s,a,55_64,all,21
Indonesia,ID,IDN,2013,s,a,65plus,all,26
Indonesia,ID,IDN,2013,s,f,15plus,all,45
Indonesia,ID,IDN,2013,s,m,15plus,all,120
Indonesia,ID,IDN,2013,b,a,65plus,all,68
Indonesia,ID,IDN,2013,b,f,15plus,all,137
Indonesia,ID,IDN,2013,b,m,15plus,all,289
Indonesia,ID,IDN,2013,s,a,15_24,all,19
Indonesia,ID,IDN,2013,s,a,15plus,all,165
Indonesia,ID,IDN,2013,s,a,25_34,all,34
Kenya,KE,KEN,2015,b,a,15_24,all,54
Kenya,KE,KEN,2015,b,a,15plus,all,305
Kenya,KE,KEN,2015,b,a,15plus,cxr_abn_only,154
Kenya,KE,KEN,2015,b,a,15plus,others,4
Kenya,KE,KEN,2015,b,a,15plus,symptomatic,147
Kenya,KE,KEN,2015,b,a,25_34,all,90
Kenya,KE,KEN,2015,s,a,35_44,all,29
Kenya,KE,KEN,2015,s,a,45_54,all,15
Kenya,KE,KEN,2015,s,a,55_64,all,6
Kenya,KE,KEN,2015,s,a,65plus,all,7
Kenya,KE,KEN,2015,s,f,15plus,all,42
Kenya,KE,KEN,2015,s,m,15plus,all,81
Kenya,KE,KEN,2015,s,a,15_24,all,32
Kenya,KE,KEN,2015,s,a,15plus,all,123
Kenya,KE,KEN,2015,s,a,15plus,cxr_abn_only,37
Kenya,KE,KEN,2015,s,a,15plus,others,1
Kenya,KE,KEN,2015,s,a,15plus,symptomatic,85
Kenya,KE,KEN,2015,s,a,25_34,all,34
Kenya,KE,KEN,2015,b,a,35_44,all,58
Kenya,KE,KEN,2015,b,a,45_54,all,43
Kenya,KE,KEN,2015,b,a,55_64,all,28
Kenya,KE,KEN,2015,b,a,65plus,all,32
Kenya,KE,KEN,2015,b,f,15plus,all,118
Kenya,KE,KEN,2015,b,m,15plus,all,187
Cambodia,KH,KHM,2002,b,a,10_14,all,4
Cambodia,KH,KHM,2002,b,a,10plus,all,271
Cambodia,KH,KHM,2002,b,a,10plus,cxr_abn_only,165
Cambodia,KH,KHM,2002,b,a,10plus,symptomatic,106
Cambodia,KH,KHM,2002,b,a,15_24,all,19
Cambodia,KH,KHM,2002,b,a,25_34,all,34
Cambodia,KH,KHM,2002,s,a,55_64,all,11
Cambodia,KH,KHM,2002,s,a,65plus,all,19
Cambodia,KH,KHM,2002,s,f,10plus,all,25
Cambodia,KH,KHM,2002,s,m,10plus,all,56
Cambodia,KH,KHM,2002,s,a,10_14,all,3
Cambodia,KH,KHM,2002,s,a,10plus,all,81
Cambodia,KH,KHM,2002,s,a,15_24,all,8
Cambodia,KH,KHM,2002,s,a,25_34,all,11
Cambodia,KH,KHM,2002,s,a,35_44,all,15
Cambodia,KH,KHM,2002,s,a,45_54,all,14
Cambodia,KH,KHM,2002,b,a,35_44,all,48
Cambodia,KH,KHM,2002,b,a,45_54,all,46
Cambodia,KH,KHM,2002,b,a,55_64,all,46
Cambodia,KH,KHM,2002,b,a,65plus,all,74
Cambodia,KH,KHM,2002,b,f,10plus,all,118
Cambodia,KH,KHM,2002,b,m,10plus,all,153
Cambodia,KH,KHM,2011,b,a,15_24,all,14
Cambodia,KH,KHM,2011,b,a,15plus,all,314
Cambodia,KH,KHM,2011,b,a,15plus,cxr_abn_only,221
Cambodia,KH,KHM,2011,b,a,15plus,symptomatic,93
Cambodia,KH,KHM,2011,b,a,25_34,all,38
