country,iso2,iso3,year,is.national,eligibility.min.age,min.age.unit,eligible,participants
Bangladesh,BD,BGD,2008,1,15,y,63716,52098
Bangladesh,BD,BGD,2015,1,15,y,108834,98710
China,CN,CHN,1990,1,3,m,1493334,1461190
China,CN,CHN,2000,1,3,m,375599,365097
China,CN,CHN,2010,1,15,y,263281,252940
Ethiopia,ET,ETH,2011,1,15,y,51667,46697
Ghana,GH,GHA,2013,1,15,y,67757,61726
Gambia,GM,GMB,2012,1,15,y,55832,43100
Indonesia,ID,IDN,2004,1,15,y,53155,50154
Indonesia,ID,IDN,2013,1,15,y,76576,67946
Kenya,KE,KEN,2015,1,15,y,76291,63051
Cambodia,KH,KHM,2002,1,10,y,23084,22160
Cambodia,KH,KHM,2011,1,15,y,40373,37417
Republic of Korea,KR,KOR,1990,1,5,y,50960,48976
Republic of Korea,KR,KOR,1995,1,5,y,73194,64713
Lao People's Democratic Republic,LA,LAO,2011,1,15,y,46079,39212
Lesotho,LS,LSO,2019,1,15,y,26857,21719
Myanmar,MM,MMR,1994,1,10,y,,37424
Myanmar,MM,MMR,2009,1,15,y,57607,51367
Myanmar,MM,MMR,2018,1,15,y,75676,66480
Mongolia,MN,MNG,2015,1,15,y,60031,50309
Mozambique,MZ,MOZ,2019,1,15,y,43442,32445
Malawi,MW,MWI,2013,1,15,y,39030,31579
Namibia,NA,NAM,2018,1,15,y,38353,29523
Nigeria,NG,NGA,2012,1,15,y,77797,44186
Nepal,NP,NPL,2018,1,15,y,58956,54200
Pakistan,PK,PAK,2011,1,15,y,131329,105913
Philippines,PH,PHL,1997,1,10,y,15905,12850
Philippines,PH,PHL,2007,1,10,y,22867,20625
Philippines,PH,PHL,2016,1,15,y,61466,46689
Democratic People's Republic of Korea,KP,PRK,2016,1,15,y,71877,60683
Rwanda,RW,RWA,2012,1,15,y,45058,43128
Sudan,SD,SDN,2013,1,15,y,96979,83079
Eswatini,SZ,SWZ,2018,1,15,y,30936,24342
Thailand,TH,THA,1991,1,10,y,47046,35844
Thailand,TH,THA,2012,1,15,y,78839,62536
United Republic of Tanzania,TZ,TZA,2012,1,15,y,65664,50447
Uganda,UG,UGA,2015,1,15,y,45293,41156
Viet Nam,VN,VNM,2007,1,15,y,103924,94179
Viet Nam,VN,VNM,2018,1,15,y,87207,61763
South Africa,ZA,ZAF,2018,1,15,y,53250,35191
Zambia,ZM,ZMB,2014,1,15,y,54830,46099
Zimbabwe,ZW,ZWE,2014,1,15,y,43478,33736
