iso3,year,g.whoregion,newinc,c.newinc,newrel.hivpos,newrel.hivtest,newrel.art,hivtest.f,hivtest.p,hivtest.pos.f,hivtest.pos.p,hiv.art.f,hiv.art.p,newrel.tbhiv.flg,c.notified,tbhiv.surv.prev,tbhiv.surv.yr,tbhiv.sentin.prev,tbhiv.sentin.yr,hivtest.coverage,tbhiv.surv,tbhiv.surv.lo,tbhiv.surv.hi,tbhiv.sentin,tbhiv.sentin.lo,tbhiv.sentin.hi,tbhiv.routine,tbhiv.routine.ok,tbhiv.routine.sd,tbhiv.surv.sd,tbhiv.sentin.sd,tbhiv,tbhiv.sd,itbhiv
ABW,2000,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2001,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2002,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2003,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2004,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2005,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2006,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2007,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2008,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2009,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,2010,AMR,5.97960953149759,6,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,
ABW,2011,AMR,7.89827027880894,8,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,
ABW,2012,AMR,27.4208712002507,28,,,,,1,,1,,1,,29,,,,,,,,,,,,,,,,,,,
ABW,2013,AMR,10.6920684292379,11,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,
ABW,2014,AMR,1.93061374210862,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
