iso3,year,hiv,tb,ill_def,tb_seq,total,tb.imp,garbage,garbage.imp,totaltb,seq.prop,tb.prop,codqual,min.coverage,max.coverage,min.usability,max.usability,use.ghe,keep.vr,ghe.env,env,env.nm,vr.coverage,tb.adj,tb.adj.sd,pop,ihme.env,env.ratio
ALB,2000,0,16,1621,0,15628,16,0.103724084975685,0.103724084975685,16,0,0.00114228599985721,low,89,100,,,no,FALSE,19601.53,19601.53,11,0.797284701755424,22.3905532947812,2.23575037703027,3129246,16716.755,1.17256788174499
ALB,2001,0,14,1366,1,15143,14,0.0902066961632437,0.0902066961632437,15,0.0666666666666667,0.00108877114030631,low,89,100,,,no,FALSE,15674.797,15674.797,11,0.96607311724675,17.0662666037599,0.58772427890353,3129701,16232.821,0.96562371999297
ALB,2002,0,14,1746,0,16247,14,0.107465993721918,0.107465993721918,14,0,0.000965450658575271,low,89,100,,,no,FALSE,17166.534,17166.534,11,0.946434498658844,16.5734415557548,0.761621128954507,3126183,16827.342,1.02015719416649
ALB,2003,1,12,2087,1,17965,12,0.116170331199555,0.116170331199555,13,0.0769230769230769,0.000818742914724776,low,89,100,,,no,FALSE,18873.329,18873.329,11,0.951872348540101,15.4524043960196,0.72876047057446,3118017,17779.11,1.06154520670607
ALB,2004,2,12,2092,6,17748,12,0.117872436330854,0.117872436330854,18,0.333333333333333,0.00114971895758815,low,89,100,,,no,FALSE,18274.697,18274.697,11,0.971178892870289,21.0107655850792,0.878590138051708,3104893,17954.55,1.01783096763773
ALB,2005,0,7,2195,1,17427,7,0.125953979457164,0.125953979457164,8,0.125,0.000525210084033613,low,89,100,,,no,FALSE,19925.042,19925.042,6,0.874628018349974,10.4648329831933,0.80606454689324,3032634,17728.303,1.12391140877951
ALB,2006,1,4,2031,3,16935,4,0.119929140832595,0.119929140832595,7,0.428571428571429,0.000469672571121847,low,89,100,,,no,FALSE,20678.809,20678.809,6,0.818954321789035,9.71226939076758,0.940796106552422,3003387,17117.939,1.20801978555947
ALB,2007,1,4,1431,5,14528,4,0.0984994493392071,0.0984994493392071,9,0.555555555555556,0.000687180270290906,low,89,100,,,no,FALSE,20774.003,20774.003,6,0.699335607104707,14.2754849965641,2.09194741439027,2976084,16740.818,1.24091923106744
ALB,2008,0,10,1589,0,16143,10,0.0984327572322369,0.0984327572322369,10,0,0.000687096330905593,low,89,100,,,no,FALSE,20570.75,20570.75,6,0.784755052684029,14.1340868489762,1.46078856411601,2951689,17216.589,1.19482145969797
ALB,2009,1,3,1639,0,15662,3,0.104648193078789,0.104648193078789,3,0,0.000213934250873565,low,89,100,,,no,FALSE,20157.909,20157.909,6,0.776965507682369,4.31246716109249,0.471664294351971,2930541,17246.303,1.16882493598773
ALB,2010,0,4,1479,0,12139,4,0.121838701705248,0.121838701705248,4,0,0.000375234521575985,low,89,100,,,no,FALSE,19663.122,19663.122,6,0.617348557365407,7.37828217636023,1.55786994803463,2913399,17623.697,1.11572061185573
AND,2011,,,28,,275,,0.101818181818182,0.101818181818182,0,,0,high,100,100,77,84,no,TRUE,,,0,275,,,70567,,
AND,2012,,,23,,303,,0.0759075907590759,0.0759075907590759,0,,0,high,100,100,77,84,no,TRUE,,,0,303,,,71013,,
AND,2013,,,17,,239,,0.0711297071129707,0.0711297071129707,0,,0,high,100,100,77,84,no,TRUE,,,0,239,,,71367,,
AND,2014,,,28,,276,,0.101449275362319,0.101449275362319,0,,0,high,100,100,77,84,no,TRUE,,,0,276,,,71621,,
AND,2015,3,,14,,282,,0.049645390070922,0.049645390070922,0,,0,high,100,100,77,84,no,TRUE,,,0,282,,,71746,,
AND,2016,1,,16,,310,,0.0516129032258065,0.0516129032258065,0,,0,high,100,100,77,84,no,TRUE,,,0,310,,,72540,,
AND,2017,,,15,,323,,0.0464396284829721,0.0464396284829721,0,,0,high,100,100,77,84,no,TRUE,,,0,323,,,73837,,
AND,2018,1,,22,,335,,0.0656716417910448,0.0656716417910448,0,,0,high,100,100,77,84,no,TRUE,,,0,335,,,75013,,
AND,2019,,,14,,301,,0.0465116279069768,0.0465116279069768,0,,0,high,100,100,77,84,no,TRUE,,,0,301,,,76343,,
AND,2020,,1,20,,419,1,0.0477326968973747,0.0477326968973747,1,,0.0025062656641604,high,100,100,77,84,no,TRUE,,,0,419,,,77700,,
ARE,2005,,23,1665,,8368,23,0.198972275334608,0.198972275334608,23,,0.00343129941817097,very low,57,58,22,22,no,FALSE,10267.065,10267.065,7,0.815033312830882,35.2293741608235,4.68296954417781,4280993,10857.566,0.945613869627871
ARE,2006,,38,1935,,8409,38,0.230110595790225,0.230110595790225,38,,0.00586963237565647,very low,57,58,22,22,no,FALSE,11494.466,11494.466,7,0.731569435239532,67.4682897744826,13.0800994319948,4898954,11638.321,0.987639540102047
ARE,2007,,36,2061,,9615,36,0.214352574102964,0.214352574102964,36,,0.00476568705321684,very low,57,58,22,22,no,FALSE,13009.154,13009.154,7,0.739094948065032,61.9975567911041,11.1929514137946,5872624,12980.883,1.00217789498603
ARE,2008,,39,2137,,9711,39,0.220059726083822,0.220059726083822,39,,0.00514919461315025,very low,57,58,22,22,no,FALSE,14641.579,14641.579,7,0.66324813737644,75.3923397148139,17.5878438384369,6988685,14735.378,0.993634435438303
ARE,2009,,38,2011,,10023,38,0.200638531377831,0.200638531377831,38,,0.00474288567149276,very low,57,58,22,22,no,FALSE,16308.288,16308.288,7,0.614595474399275,77.3483454817774,20.0232198714529,7992644,16606.044,0.982069420025624
ARE,2010,,36,1479,,9639,36,0.153439153439153,0.153439153439153,36,,0.00441176470588235,very low,57,58,22,22,no,FALSE,17611.907,17611.907,7,0.547300187310778,77.6995897058824,22.5002847989632,8481771,17622.566,0.999395150513268
ARE,2019,6,12,2204,,8798,12,0.250511479881791,0.250511479881791,12,,0.00181983621474067,very low,57,58,22,22,no,FALSE,20932.432,20932.432,7,0.420304721400743,38.0935978161965,20.7083129330787,9211657,29113.021,0.719005835911017
ARE,2020,14,20,2945,1,10357,20,0.284348749637926,0.284348749637926,21,0.0476190476190476,0.00283324338909876,very low,57,58,22,22,no,FALSE,,20932.432,7,0.494782450505512,59.3066745817593,27.0457319491637,9287289,,
ARG,2000,1471,797,18391,31,276722,797,0.0664602019355165,0.0664602019355165,828,0.03743961352657,0.00320519024042798,medium,100,100,66,72,yes,TRUE,277071.5,277071.5,19,0.998738592745916,888.066867700741,16.1060975397317,36870796,280385.29,0.988181298669413
ARG,2001,1469,769,18738,30,285005,769,0.0657462149786846,0.0657462149786846,799,0.0375469336670839,0.00300074737012097,medium,100,100,66,72,yes,TRUE,285706.2,285706.2,19,0.997545730544174,857.332128277256,15.6476870096625,37275644,284304.67,1.00492967632224
ARG,2002,1524,791,20958,29,290283,791,0.0721985097301599,0.0721985097301599,820,0.0353658536585366,0.00304464865868375,medium,100,100,66,72,yes,TRUE,290855.5,290855.5,19,0.998031668646458,885.552807945791,17.6983149832701,37681743,291261.1,0.998607435047111
ARG,2003,1572,732,22919,28,301130,732,0.076109985720453,0.076109985720453,760,0.0368421052631579,0.00273173957895267,medium,100,100,66,72,yes,TRUE,301642.5,301642.5,19,0.998300968862146,824.008755944229,17.3499261036652,38087866,296002.58,1.01905361770833
ARG,2004,1447,673,21631,31,293163,673,0.0737848909992052,0.0737848909992052,704,0.0440340909090909,0.00259269625679478,medium,100,100,66,72,yes,TRUE,293653.7,293653.7,19,0.998328984106109,761.354848783937,15.5068864427983,38491970,292090.28,1.00535252319933
ARG,2005,1305,679,21661,30,292400,679,0.0740800273597811,0.0740800273597811,709,0.0423131170662905,0.00261875828750199,medium,100,100,66,72,yes,TRUE,292906.5,292906.5,15,0.99827077924184,767.0513243382,15.7011090314538,39070501,289858.46,1.01051561510401
