Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Afghanistan,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <500,,<100 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<100 , <1000,,<500 ,<100 , <1000,,<500 ,<100 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , 1100,,<500 ,<200 , 1300,,<500 ,<200 , 1500,,<1000 ,<500 , 1600,,<1000 ,<500 , 1800,,<1000 ,<500 , 2100,,<1000 ,<500 , 2300,,<1000 ,<500 , 2500,,<1000 ,<500 , 2900,,<1000 ,<500 , 3300,
Albania,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <1000,"Children estimates were not available at the time of publication.",<500 ,<500 , <1000,"Children estimates were not available at the time of publication.",<500 ,<500 , <1000,"Children estimates were not available at the time of publication."
Algeria,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , 1000,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1400,,<1000 ,<1000 , 1600,,1200 ,<1000 , 1800,,1400 ,<1000 , 2100,,1600 ,1100 , 2500,,1900 ,1300 , 2900,,2200 ,1600 , 3400,,2500 ,1800 , 3800,,2800 ,2000 , 4300,,3200 ,2300 , 4800,
Angola,<1000 ,<500 , 2400,,1000 ,<500 , 3000,,1300 ,<500 , 3700,,1600 ,<1000 , 4200,,2000 ,<1000 , 4900,,2400 ,<1000 , 5900,,2900 ,1300 , 7000,,3500 ,1500 , 8200,,4200 ,1800 , 9600,,4900 ,2200 , 11 000,,5700 ,2500 , 13 000,,6400 ,3000 , 15 000,,7300 ,3400 , 17 000,,8100 ,3800 , 19 000,,9000 ,4100 , 20 000,,10 000 ,4600 , 22 000,,11 000 ,5100 , 25 000,,12 000 ,5600 , 27 000,,13 000 ,6300 , 30 000,,15 000 ,6900 , 33 000,,16 000 ,7700 , 36 000,,18 000 ,8500 , 38 000,,19 000 ,9400 , 41 000,,21 000 ,10 000 , 43 000,,23 000 ,11 000 , 46 000,,25 000 ,13 000 , 49 000,,27 000 ,14 000 , 52 000,,28 000 ,16 000 , 54 000,,30 000 ,17 000 , 56 000,,32 000 ,19 000 , 59 000,,34 000 ,20 000 , 60 000,
Argentina,1000 ,<500 , 2000,,1500 ,<1000 , 2800,,2000 ,<1000 , 3800,,2500 ,1200 , 4800,,3100 ,1500 , 6100,,3800 ,2000 , 7200,,4400 ,2400 , 8400,,5100 ,2900 , 9600,,5700 ,3300 , 11 000,,6700 ,4000 , 12 000,,7700 ,4800 , 14 000,,8900 ,5600 , 16 000,,10 000 ,6600 , 18 000,,11 000 ,7600 , 20 000,,13 000 ,8700 , 22 000,,14 000 ,9900 , 24 000,,16 000 ,11 000 , 26 000,,18 000 ,12 000 , 28 000,,19 000 ,14 000 , 30 000,,21 000 ,15 000 , 32 000,,23 000 ,17 000 , 35 000,,25 000 ,19 000 , 37 000,,27 000 ,20 000 , 39 000,,30 000 ,22 000 , 42 000,,32 000 ,24 000 , 45 000,,34 000 ,26 000 , 47 000,,37 000 ,28 000 , 50 000,,39 000 ,31 000 , 53 000,,42 000 ,33 000 , 56 000,,44 000 ,35 000 , 58 000,,52 000 ,42 000 , 67 000,
Armenia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1000,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1200,,1000 ,<1000 , 1300,,1100 ,<1000 , 1400,
Australia,<1000 ,<500 , 1800,"Children estimates were not available at the time of publication.",1000 ,<500 , 2100,"Children estimates were not available at the time of publication.",1200 ,<1000 , 2400,"Children estimates were not available at the time of publication.",1300 ,<1000 , 2500,"Children estimates were not available at the time of publication.",1400 ,<1000 , 2700,"Children estimates were not available at the time of publication.",1500 ,<1000 , 2900,"Children estimates were not available at the time of publication.",1700 ,<1000 , 3100,"Children estimates were not available at the time of publication.",1900 ,1100 , 3400,"Children estimates were not available at the time of publication.",2300 ,1400 , 3900,"Children estimates were not available at the time of publication.",2700 ,1700 , 4500,"Children estimates were not available at the time of publication.",3100 ,2000 , 5100,"Children estimates were not available at the time of publication.",3600 ,2300 , 5700,"Children estimates were not available at the time of publication.",4100 ,2700 , 6300,"Children estimates were not available at the time of publication.",4600 ,3000 , 6800,"Children estimates were not available at the time of publication.",5100 ,3400 , 7400,"Children estimates were not available at the time of publication.",5700 ,3800 , 7900,"Children estimates were not available at the time of publication.",6300 ,4300 , 8700,"Children estimates were not available at the time of publication.",6900 ,4800 , 9500,"Children estimates were not available at the time of publication.",7600 ,5400 , 10 000,"Children estimates were not available at the time of publication.",8300 ,5900 , 11 000,"Children estimates were not available at the time of publication.",9000 ,6600 , 12 000,"Children estimates were not available at the time of publication.",9800 ,7100 , 13 000,"Children estimates were not available at the time of publication.",11 000 ,7800 , 14 000,"Children estimates were not available at the time of publication.",11 000 ,8400 , 15 000,"Children estimates were not available at the time of publication.",12 000 ,9000 , 16 000,"Children estimates were not available at the time of publication.",13 000 ,9600 , 17 000,"Children estimates were not available at the time of publication.",14 000 ,10 000 , 17 000,"Children estimates were not available at the time of publication.",14 000 ,11 000 , 18 000,"Children estimates were not available at the time of publication.",15 000 ,11 000 , 19 000,"Children estimates were not available at the time of publication.",16 000 ,12 000 , 20 000,"Children estimates were not available at the time of publication.",16 000 ,12 000 , 20 000,"Children estimates were not available at the time of publication."
Austria,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Azerbaijan,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <500,,<100 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <1000,,<500 ,<100 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , 1000,,<1000 ,<500 , 1100,,<1000 ,<500 , 1200,,<1000 ,<1000 , 1300,,<1000 ,<1000 , 1400,,<1000 ,<1000 , 1500,,1100 ,<1000 , 1700,,1200 ,<1000 , 1800,,1300 ,<1000 , 1900,,1500 ,1000 , 2100,,1600 ,1100 , 2200,,1700 ,1300 , 2400,,1900 ,1400 , 2600,,2100 ,1500 , 2800,,2300 ,1700 , 3000,,2500 ,1800 , 3300,
Bahamas,<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <1000,"Children estimates were not available at the time of publication.",<500 ,<200 , <1000,"Children estimates were not available at the time of publication.",<500 ,<200 , <1000,"Children estimates were not available at the time of publication.",<500 ,<200 , <1000,"Children estimates were not available at the time of publication.",<500 ,<500 , <1000,"Children estimates were not available at the time of publication.",<500 ,<500 , <1000,"Children estimates were not available at the time of publication.",<500 ,<500 , <1000,"Children estimates were not available at the time of publication.",<500 ,<500 , <1000,"Children estimates were not available at the time of publication.",<500 ,<500 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , 1100,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1200,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1300,"Children estimates were not available at the time of publication.",1000 ,<1000 , 1400,"Children estimates were not available at the time of publication.",1100 ,<1000 , 1600,"Children estimates were not available at the time of publication.",1300 ,<1000 , 1800,"Children estimates were not available at the time of publication.",1400 ,<1000 , 1900,"Children estimates were not available at the time of publication.",1500 ,1100 , 2000,"Children estimates were not available at the time of publication.",1600 ,1200 , 2200,"Children estimates were not available at the time of publication.",1700 ,1300 , 2300,"Children estimates were not available at the time of publication.",1800 ,1300 , 2400,"Children estimates were not available at the time of publication.",1900 ,1400 , 2500,"Children estimates were not available at the time of publication.",2000 ,1500 , 2700,"Children estimates were not available at the time of publication.",2100 ,1600 , 2800,"Children estimates were not available at the time of publication."
