Country,2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Afghanistan,1 ,<1 , 3,,2 ,1 , 5,,3 ,1 , 7,,3 ,2 , 9,,4 ,2 , 11,,5 ,2 , 13,,7 ,3 , 19,,9 ,4 , 29,,9 ,4 , 31,,10 ,4 , 33,,9 ,4 , 34,
Albania,21 ,18 , 24,"Children estimates were not available at the time of publication.",24 ,21 , 28,"Children estimates were not available at the time of publication.",29 ,25 , 33,"Children estimates were not available at the time of publication.",37 ,31 , 42,"Children estimates were not available at the time of publication.",37 ,31 , 42,"Children estimates were not available at the time of publication.",40 ,34 , 46,"Children estimates were not available at the time of publication.",43 ,37 , 49,"Children estimates were not available at the time of publication.",45 ,38 , 51,"Children estimates were not available at the time of publication.",44 ,36 , 50,"Children estimates were not available at the time of publication.",44 ,37 , 51,"Children estimates were not available at the time of publication.",47 ,39 , 55,"Children estimates were not available at the time of publication."
Algeria,38 ,35 , 41,,41 ,38 , 45,,47 ,43 , 51,,56 ,52 , 61,,64 ,59 , 69,,71 ,65 , 77,,77 ,70 , 83,,79 ,73 , 86,,83 ,76 , 90,,85 ,79 , 93,,85 ,79 , 92,
Angola,9 ,7 , 11,,10 ,8 , 12,,12 ,9 , 13,,17 ,14 , 20,,21 ,18 , 25,,23 ,20 , 27,,22 ,19 , 26,,24 ,20 , 28,,27 ,23 , 32,,28 ,23 , 33,,33 ,28 , 39,
Argentina,47 ,43 , 50,,49 ,45 , 52,,52 ,47 , 55,,54 ,49 , 57,,56 ,51 , 60,,58 ,53 , 62,,60 ,55 , 64,,61 ,56 , 66,,63 ,57 , 69,,65 ,59 , 71,,65 ,59 , 71,
Armenia,6 ,6 , 8,,8 ,7 , 10,,12 ,10 , 14,,15 ,13 , 18,,19 ,17 , 22,,24 ,21 , 28,,29 ,26 , 34,,37 ,33 , 42,,43 ,38 , 50,,48 ,43 , 56,,48 ,43 , 56,
Australia,58 ,48 , 65,"Children estimates were not available at the time of publication.",61 ,50 , 68,"Children estimates were not available at the time of publication.",63 ,52 , 71,"Children estimates were not available at the time of publication.",71 ,58 , 80,"Children estimates were not available at the time of publication.",74 ,60 , 83,"Children estimates were not available at the time of publication.",76 ,62 , 86,"Children estimates were not available at the time of publication.",78 ,64 , 88,"Children estimates were not available at the time of publication.",80 ,65 , 90,"Children estimates were not available at the time of publication.",81 ,66 , 92,"Children estimates were not available at the time of publication.",82 ,67 , 93,"Children estimates were not available at the time of publication.",85 ,69 , 96,"Children estimates were not available at the time of publication."
Austria,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Azerbaijan,7 ,5 , 10,,11 ,8 , 16,,15 ,11 , 21,,20 ,15 , 28,,20 ,15 , 28,,26 ,20 , 36,,31 ,24 , 43,,39 ,29 , 52,,46 ,34 , 60,,52 ,40 , 68,,57 ,43 , 74,
Bahamas,29 ,26 , 34,"Children estimates were not available at the time of publication.",29 ,25 , 33,"Children estimates were not available at the time of publication.",35 ,30 , 39,"Children estimates were not available at the time of publication.",42 ,36 , 47,"Children estimates were not available at the time of publication.",50 ,44 , 57,"Children estimates were not available at the time of publication.",49 ,43 , 55,"Children estimates were not available at the time of publication.",48 ,42 , 54,"Children estimates were not available at the time of publication.",63 ,56 , 71,"Children estimates were not available at the time of publication.",66 ,58 , 75,"Children estimates were not available at the time of publication.",64 ,57 , 73,"Children estimates were not available at the time of publication.",63 ,56 , 72,"Children estimates were not available at the time of publication."
Bahrain,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Bangladesh,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Barbados,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Belarus,19 ,15 , 24,"Children estimates were not available at the time of publication.",20 ,16 , 26,"Children estimates were not available at the time of publication.",24 ,19 , 31,"Children estimates were not available at the time of publication.",27 ,21 , 34,"Children estimates were not available at the time of publication.",28 ,22 , 36,"Children estimates were not available at the time of publication.",33 ,26 , 42,"Children estimates were not available at the time of publication.",36 ,28 , 46,"Children estimates were not available at the time of publication.",44 ,35 , 57,"Children estimates were not available at the time of publication.",58 ,47 , 76,"Children estimates were not available at the time of publication.",64 ,51 , 84,"Children estimates were not available at the time of publication.",66 ,52 , 88,"Children estimates were not available at the time of publication."
Belgium,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Belize,27 ,17 , 39,,29 ,18 , 41,,28 ,17 , 39,,30 ,19 , 42,,32 ,21 , 44,,33 ,22 , 45,,36 ,24 , 49,,36 ,24 , 49,,38 ,26 , 51,,41 ,27 , 55,,39 ,26 , 53,
Benin,29 ,26 , 34,,37 ,32 , 42,,39 ,34 , 46,,34 ,30 , 40,,39 ,34 , 46,,45 ,39 , 53,,51 ,44 , 60,,51 ,44 , 61,,58 ,51 , 72,,65 ,56 , 81,,70 ,60 , 88,
Bhutan,6 ,2 , 13,,7 ,2 , 17,,10 ,3 , 22,,13 ,4 , 29,,16 ,5 , 35,,21 ,7 , 49,,25 ,8 , 57,,32 ,11 , 71,,37 ,13 , 83,,42 ,14 , 97,,45 ,16 , >98,
Bolivia (Plurinational State of),11 ,9 , 13,,11 ,9 , 13,,19 ,16 , 22,,23 ,20 , 27,,28 ,24 , 33,,37 ,32 , 44,,44 ,37 , 51,,49 ,41 , 57,,61 ,51 , 71,,69 ,58 , 81,,68 ,57 , 80,
