"","iso3","g.whoregion","year","country","inc.num","inc.num.lo","inc.num.hi","inc.num.f","inc.num.f.lo","inc.num.f.hi","inc.num.m","inc.num.m.lo","inc.num.m.hi","inc.num.15plus","inc.num.15plus.lo","inc.num.15plus.hi","inc.num.15plus.f","inc.num.15plus.f.lo","inc.num.15plus.f.hi","inc.num.15plus.m","inc.num.15plus.m.lo","inc.num.15plus.m.hi","inc.num.014","inc.num.014.lo","inc.num.014.hi","inc.num.014.f","inc.num.014.f.lo","inc.num.014.f.hi","inc.num.014.m","inc.num.014.m.lo","inc.num.014.m.hi","e.pop.m014","e.pop.f014","e.pop.014","e.pop.m15plus","e.pop.f15plus","e.pop.15plus","e.pop.f","e.pop.m","e.pop.num"
"1","ABW","AMR",2020,"Aruba",1.15,0.983968471484475,1.32878505740205,0,0,0,1.15,0.977591707041212,1.32240829295879,1.15,0.977591707041212,1.32240829295879,0,0,0,1.15,0.977591707041212,1.32240829295879,0,0,0,0,0,0,0,0,0,9.444,9.113,18.557,41.198,47.011,88.209,56.124,50.642,106.766
"2","AFG","EMR",2020,"Afghanistan",73474.6756270891,47476.9288389854,105045.845626729,37183.3407950966,16584.0728245264,57782.6087656668,36291.3348319925,16186.2309002747,56396.4387637104,73474.6756270891,44690.2172332173,102259.134020961,37183.3407950966,16584.0728245264,57782.6087656668,36291.3348319925,16186.2309002747,56396.4387637104,NA,NA,NA,NA,NA,NA,NA,NA,NA,8333.7,7947.146,16280.846,11642.565,11004.93,22647.495,18952.076,19976.265,38928.341
"3","AGO","AFR",2020,"Angola",105781.412836037,65763.3039494752,155120.835003844,43968.4680023703,18071.1334675193,69865.8025372213,61812.9448336664,25405.2512370769,98220.6384302558,105781.412836037,61102.6473088522,150460.178363221,43968.4680023703,18071.1334675193,69865.8025372213,61812.9448336664,25405.2512370769,98220.6384302558,NA,NA,NA,NA,NA,NA,NA,NA,NA,7658.353,7590.076,15248.429,8602.517,9015.322,17617.839,16605.398,16260.87,32866.268
"4","AIA","AMR",2020,"Anguilla",3.23820786249757,2.09261711347685,4.62982538566392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.832,1.759,3.591,5.574,5.835,11.409,7.594,7.406,15.002
"5","ALB","EUR",2020,"Albania",422.827684788357,360.660218897951,489.864776533477,107.468703217041,86.6301879057066,128.307218528375,315.358981571316,254.209895657729,376.508067484904,417.542338728503,352.945234924071,482.139442532934,105.706921197089,84.9685363154207,126.445306078758,311.835417531413,250.657182130491,373.013652932336,5.28534605985447,4.46766120157052,6.10303091813841,1.76178201995149,1.41614227192368,2.1074217679793,3.52356403990298,2.83228454384736,4.21484353595859,261.253,234.76,496.013,1203.461,1178.326,2381.787,1413.086,1464.714,2877.8
"6","AND","EUR",2020,"Andorra",2.3,1.96793670372615,2.65756987288753,1.15,0.906177854777412,1.39382214522259,1.15,0.906177854777412,1.39382214522259,2.3,1.95518341541931,2.64481658458069,1.15,0.906177854777412,1.39382214522259,1.15,0.906177854777412,1.39382214522259,0,0,0,0,0,0,0,0,0,5.523,5.19,10.713,32.228,34.326,66.554,39.516,37.751,77.265
"7","ARE","EMR",2020,"United Arab Emirates",78.2,66.9098572875187,90.3573851436213,24.0615384615385,19.300066963427,28.82300995965,54.1384615384615,43.4251506677107,64.8517724092124,74.5907692307692,62.880705739178,86.3008327223605,24.0615384615385,19.031547585072,29.0915293380049,50.5292307692308,39.9662499286512,61.0922116098103,3.60923076923077,3.04261479383119,4.17584674463035,0,0,0,3.60923076923077,2.8547321377608,4.36372940070074,747.458,717.714,1465.172,6088.891,2336.337,8425.228,3054.051,6836.349,9890.4
"8","ARG","AMR",2020,"Argentina",13777.499157097,11751.8100368631,15961.8362207741,5816.52917908112,4574.69001414869,7058.36834401355,7960.96997801584,6261.28894742689,9660.65100860479,13777.499157097,11672.4860651415,15882.5122490524,5816.52917908112,4574.69001414869,7058.36834401355,7960.96997801584,6261.28894742689,9660.65100860479,NA,NA,NA,NA,NA,NA,NA,NA,NA,5623.776,5419.954,11043.73,16425.37,17726.677,34152.047,23146.631,22049.146,45195.777
"9","ARM","EUR",2020,"Armenia",671.340752137104,513.05275034718,850.579881754231,161.871501149809,110.768385366389,212.974616933229,509.469250987295,348.628918153162,670.309583821427,632.150809753466,463.710619388506,800.591000118426,156.759769534552,104.034123463961,209.485415605143,475.391040218914,315.494787461361,635.287292976467,39.189942383638,28.7475586143818,49.6323261528943,5.11173161525714,3.392417069477,6.83104616103727,34.0782107683809,22.6161137965133,45.5403077402485,327.414,289.898,617.312,1066.333,1279.589,2345.922,1569.487,1393.747,2963.234
"10","ASM","WPR",2020,"American Samoa",0.122978460369801,0.104897296965139,0.142476146766054,0.0819856402465337,0.0651798677123138,0.0987914127807536,0.0409928201232668,0.0325899338561569,0.0493957063903768,0.122978460369801,0.104189035469343,0.141767885270258,0.0819856402465337,0.0651798677123138,0.0987914127807536,0.0409928201232668,0.0325899338561569,0.0493957063903768,0,0,0,0,0,0,0,0,0,8.328,7.786,16.114,19.662,19.42,39.082,27.206,27.99,55.197
"11","ATG","AMR",2020,"Antigua and Barbuda",2.3,1.967936782831,2.65756995287648,0,0,0,2.3,1.95518341497726,2.64481658502274,2.3,1.95518341497726,2.64481658502274,0,0,0,2.3,1.95518341497726,2.64481658502274,0,0,0,0,0,0,0,0,0,10.843,10.554,21.397,36.426,40.105,76.531,50.659,47.269,97.928
"12","AUS","WPR",2020,"Australia",1852.65,1585.17257977072,2140.67209266695,874.736182196218,689.562213185903,1059.91015120653,977.913817803782,770.898049303038,1184.92958630452,1852.65,1574.90024355189,2130.39975644811,874.736182196218,689.562213185903,1059.91015120653,977.913817803782,770.898049303038,1184.92958630452,NA,NA,NA,NA,NA,NA,NA,NA,NA,2524.371,2395.177,4919.548,10174.254,10406.079,20580.333,12801.256,12698.625,25499.881
"13","AUT","EUR",2020,"Austria",439.3,375.875864685057,507.595799483787,151.8,121.049170377704,182.550829622296,287.5,229.259792382015,345.740207617985,425.5,359.674643119584,491.325356880416,142.6,112.971039378389,172.228960621611,282.9,224.119965218417,341.680034781583,13.8,11.6651235606352,15.9348764393648,9.2,7.28845415344446,11.1115458465555,4.6,3.64422707672223,5.55577292327777,669.155,628.865,1298.02,3770.536,3937.844,7708.38,4566.709,4439.691,9006.4
"14","AZE","EUR",2020,"Azerbaijan",5788.05465355017,4423.32311666302,7333.35813347503,2028.04073351824,1337.31493321357,2718.7665338229,3760.01392003194,2479.39929472052,5040.62854534335,5788.05465355017,4333.03714514417,7243.07216195618,2028.04073351824,1337.31493321357,2718.7665338229,3760.01392003194,2479.39929472052,5040.62854534335,NA,NA,NA,NA,NA,NA,NA,NA,NA,1270.473,1113.786,2384.259,3794.191,3960.725,7754.916,5074.511,5064.664,10139.175
"15","BDI","AFR",2020,"Burundi",12306.547154714,7952.46254885075,17594.9064375413,4619.33705581316,2136.06807779839,7102.60603382793,7687.21009890081,3554.71010259521,11819.7100952064,12306.547154714,7485.32521036871,17127.7690990592,4619.33705581316,2136.06807779839,7102.60603382793,7687.21009890081,3554.71010259521,11819.7100952064,NA,NA,NA,NA,NA,NA,NA,NA,NA,2710.353,2670.454,5380.807,3189.511,3320.463,6509.974,5990.917,5899.864,11890.781
"16","BEL","EUR",2020,"Belgium",1006.59638365916,861.268367610228,1163.08673545332,335.157231654111,267.759075401153,402.555387907069,671.439152005048,536.416671189558,806.461632820539,950.361948817865,799.716260669193,1101.00763696654,311.538769020768,245.496650531693,377.580887509842,638.823179797098,503.401074014446,774.245285579749,56.2344348412938,47.3204887969937,65.148380885594,23.6184626333434,18.6116594265904,28.6252658400964,32.6159722079504,25.7018153986249,39.5301290172759,1017.49,956.682,1974.172,4726.845,4888.599,9615.444,5845.281,5744.335,11589.616
"17","BEN","AFR",2020,"Benin",6552.04254995239,4234.03049697994,9367.7000091844,2501.89184062065,1152.91037136969,3850.87330987161,4050.15070933174,1866.3719520507,6233.92946661278,6552.04254995239,3985.20779385016,9118.87730605462,2501.89184062065,1152.91037136969,3850.87330987161,4050.15070933174,1866.3719520507,6233.92946661278,NA,NA,NA,NA,NA,NA,NA,NA,NA,2579.221,2505.8,5085.021,3475.027,3563.15,7038.177,6068.95,6054.248,12123.198
"18","BFA","AFR",2020,"Burkina Faso",9605.5406970894,6207.27549108415,13733.4291299344,3430.26134768923,1602.93263154251,5257.59006383595,6175.27934940017,2885.65674003592,9464.90195876442,9605.5406970894,5842.46387766425,13368.6175165145,3430.26134768923,1602.93263154251,5257.59006383595,6175.27934940017,2885.65674003592,9464.90195876442,NA,NA,NA,NA,NA,NA,NA,NA,NA,4720.002,4554.844,9274.846,5724.711,5903.721,11628.432,10458.565,10444.713,20903.278
"19","BGD","SEA",2020,"Bangladesh",407898.799802441,307827.382980471,521799.548452297,181145.461328319,114369.615555593,247921.307101045,226753.338474122,143165.01201335,310341.664934895,376128.162064123,269521.70980722,482734.614321026,165750.989080964,99772.3699597015,231729.608202226,210377.17298316,126634.714220011,294119.631746309,31770.6377383177,22765.8481032254,40775.4273734099,15394.4722473552,9266.56901967097,21522.3754750394,16376.1654909625,9857.4907513071,22894.8402306178,22504.586,21557.302,44061.888,60754.522,59872.973,120627.495,81430.275,83259.108,164689.383
"20","BGR","EUR",2020,"Bulgaria",1306.03920592039,998.1034483202,1654.73523336086,446.574378427683,295.197627075839,597.951129779527,859.464827492706,568.129274510266,1150.80038047515,1306.03920592039,977.723313400057,1634.35509844072,446.574378427683,295.197627075839,597.951129779527,859.464827492706,568.129274510266,1150.80038047515,NA,NA,NA,NA,NA,NA,NA,NA,NA,524.196,495.799,1019.995,2849.925,3078.525,5928.45,3574.324,3374.121,6948.445
"21","BHR","EMR",2020,"Bahrain",221.95,189.905769548376,256.455369004505,75.9,60.5559006554544,91.2440993445456,146.05,116.524233079435,175.575766920565,219.65,186.377024348229,252.922975651771,75.9,60.3651412252312,91.4348587747688,143.75,114.32791898718,173.17208101282,2.3,1.95159187799193,2.64840812200807,0,0,0,2.3,1.82924670379489,2.77075329620511,159.244,151.845,311.089,941.23,449.264,1390.494,601.109,1100.474,1701.583
"22","BHS","AMR",2020,"Bahamas",35.65,30.5030070210647,41.1923210101922,12.65,10.0743095832188,15.2256904167812,23,18.3169265149433,27.6830734850567,35.65,30.3053430054363,40.9946569945637,12.65,10.0743095832188,15.2256904167812,23,18.3169265149433,27.6830734850567,0,0,0,0,0,0,0,0,0,43.204,41.743,84.947,147.889,160.412,308.301,202.155,191.093,393.248
"23","BIH","EUR",2020,"Bosnia and Herzegovina",837.441090966404,639.989765239788,1061.02644981284,319.025177511011,208.693056263519,429.357298758504,518.415913455393,339.126216428218,697.705610482569,835.095317602353,624.577805849756,1045.61282935495,316.67940414696,206.93831403554,426.42049425838,518.415913455393,338.76568445818,698.066142452607,2.34577336405155,1.75443203890381,2.9371146891993,2.34577336405155,1.53287640026326,3.15867032783985,0,0,0,244.784,231.668,476.452,1361.825,1442.538,2804.363,1674.206,1606.609,3280.815
"24","BLR","EUR",2020,"Belarus",2408.01441373284,1840.25432807678,3050.92146197196,721.664705928977,483.506747968577,959.822663889377,1686.34970780386,1129.83419648937,2242.86521911835,2408.01441373284,1802.68084678525,3013.34798068043,721.664705928977,483.506747968577,959.822663889377,1686.34970780386,1129.83419648937,2242.86521911835,NA,NA,NA,NA,NA,NA,NA,NA,NA,833.257,795.839,1629.096,3566.11,4254.115,7820.225,5049.954,4399.367,9449.321
"25","BLZ","AMR",2020,"Belize",90.6153189370533,77.2922973051,104.981856003089,37.1755154613552,29.269253628199,45.0817772945114,53.4398034756981,42.0745520905361,64.8050548608602,88.2918492207186,74.4518612819207,102.131837159517,36.0137806031879,28.162193810046,43.8653673963298,52.2780686175308,40.8806039178086,63.6755333172529,2.3234697163347,1.95925950741897,2.68767992525044,1.16173485816735,0.908457864840192,1.41501185149451,1.16173485816735,0.908457864840192,1.41501185149451,58.913,57.19,116.103,138.848,142.67,281.518,199.86,197.761,397.621
"26","BMU","AMR",2020,"Bermuda",3.45,2.95190457132196,3.98635431965121,1.15,0.918690004342825,1.38130999565717,2.3,1.83738000868565,2.76261999131435,3.45,2.93277512583538,3.96722487416462,1.15,0.918690004342825,1.38130999565717,2.3,1.83738000868565,2.76261999131435,0,0,0,0,0,0,0,0,0,5.763,5.512,11.275,25.06,25.937,50.997,31.449,30.823,62.273
"27","BOL","AMR",2020,"Bolivia (Plurinational State of)",11997.6891459386,7829.38394276712,17040.3343299498,4610.56786465872,2172.09894383862,7049.03678547883,7387.12128127987,3480.16964592788,11294.0729166319,11997.6891459386,7392.21395234726,16603.1643395299,4610.56786465872,2172.09894383862,7049.03678547883,7387.12128127987,3480.16964592788,11294.0729166319,NA,NA,NA,NA,NA,NA,NA,NA,NA,1801.059,1724.54,3525.599,4056.96,4090.47,8147.43,5815.01,5858.019,11673.029
"28","BRA","AMR",2020,"Brazil",108231.613248871,93689.2733328894,123807.180191395,36074.6886380796,29340.6834760265,42808.6938001326,72156.9246107912,58687.5054376474,85626.3437839349,108231.613248871,93172.6598196178,123290.566678124,36074.6886380796,29340.6834760265,42808.6938001326,72156.9246107912,58687.5054376474,85626.3437839349,NA,NA,NA,NA,NA,NA,NA,NA,NA,22492.872,21526.48,44019.352,81942.911,86597.146,168540.057,108123.626,104435.783,212559.409
"29","BRB","AMR",2020,"Barbados",6.9,5.90381032869007,7.97270983860519,0,0,0,6.9,5.86555024504244,7.93444975495756,6.9,5.86555024504244,7.93444975495756,0,0,0,6.9,5.86555024504244,7.93444975495756,0,0,0,0,0,0,0,0,0,24.484,23.681,48.165,114.6,124.606,239.206,148.287,139.084,287.371
