"","iso3","g.whoregion","year","country","inc","inc.sd","inc.f","inc.f.sd","inc.m","inc.m.sd","inc.15plus","inc.15plus.sd","inc.15plus.f","inc.15plus.f.sd","inc.15plus.m","inc.15plus.m.sd","inc.014","inc.014.sd","inc.014.f","inc.014.f.sd","inc.014.m","inc.014.m.sd","e.pop.m014","e.pop.f014","e.pop.014","e.pop.m15plus","e.pop.f15plus","e.pop.15plus","e.pop.f","e.pop.m","e.pop.num"
"1","ABW","AMR",2020,"Aruba",1.0771219302025,0.0823889766169866,0,0,2.27084238379211,0.173696565646878,1.30372184244238,0.0997215871111699,0,0,2.79139764066217,0.213513798667149,0,0,0,0,0,0,9.444,9.113,18.557,41.198,47.011,88.209,56.124,50.642,106.766
"2","AFG","EMR",2020,"Afghanistan",188.743403236961,37.725594728372,196.196663600846,55.4547723280008,181.672273730813,51.349469420891,324.427384251941,64.845794910822,337.878939667009,95.5011126579604,311.712537847051,88.1052078095432,NA,NA,NA,NA,NA,NA,8333.7,7947.146,16280.846,11642.565,11004.93,22647.495,18952.076,19976.265,38928.341
"3","AGO","AFR",2020,"Angola",321.85404450556,69.3577029624349,264.784186457743,79.5700638014653,380.133073037706,114.233456609708,600.422179110824,129.387540289577,487.708237180772,146.560774901742,718.54487278161,215.929289948639,NA,NA,NA,NA,NA,NA,7658.353,7590.076,15248.429,8602.517,9015.322,17617.839,16605.398,16260.87,32866.268
"4","AIA","AMR",2020,"Anguilla",21.585174393398,4.31440480076648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.832,1.759,3.591,5.574,5.835,11.409,7.594,7.406,15.002
"5","ALB","EUR",2020,"Albania",14.6927404541093,1.14533137589802,7.60524859895582,0.752388429791763,21.5304135531794,2.13000717008357,17.5306330384918,1.38373859722423,8.97094023191284,0.897952571113275,25.9115515609906,2.59363497517857,1.06556603553828,0.0841079068866513,0.750460904733127,0.0751179120030117,1.34871715919166,0.135000792502494,261.253,234.76,496.013,1203.461,1178.326,2381.787,1413.086,1464.714,2877.8
"6","AND","EUR",2020,"Andorra",2.9767682650618,0.227692783107096,2.91021358437089,0.314806796449525,3.04627691981669,0.329525187902292,3.45584037022568,0.264336972785554,3.35023014624483,0.362404747669388,3.56832567953333,0.385996815455486,0,0,0,0,0,0,5.523,5.19,10.713,32.228,34.326,66.554,39.516,37.751,77.265
"7","ARE","EMR",2020,"United Arab Emirates",0.790665696028472,0.0604779605292955,0.787856471995342,0.0795442575423275,0.791920680738528,0.0799545917573338,0.885326417644356,0.0709122909147075,1.02988303748725,0.109843822862378,0.829859341696719,0.0885099756108494,0.246334953795921,0.0197307745006819,0,0,0.482867367695679,0.0515009915422979,747.458,717.714,1465.172,6088.891,2336.337,8425.228,3054.051,6836.349,9890.4
"8","ARG","AMR",2020,"Argentina",30.4840409251001,2.37629783730869,25.1290530318694,2.73729429859495,36.1055706103803,3.93296048418419,40.3416496735817,3.14472005559685,32.8122929022801,3.57422550588478,48.4675229721817,5.27954133928233,NA,NA,NA,NA,NA,NA,5623.776,5419.954,11043.73,16425.37,17726.677,34152.047,23146.631,22049.146,45195.777
"9","ARM","EUR",2020,"Armenia",22.6556779564862,2.90573947426424,10.3136567011902,1.66124461412213,36.5539262855665,5.88782571751752,26.9467957482587,3.66333035093168,12.2507906471963,2.10230314827137,44.5818557822851,7.65049199402718,6.3484821911186,0.863055767755869,1.76328626456793,0.302589634584377,10.4082937102204,1.78612052603619,327.414,289.898,617.312,1066.333,1279.589,2345.922,1569.487,1393.747,2963.234
"10","ASM","WPR",2020,"American Samoa",0.22279917453811,0.0173676853375068,0.301351320468035,0.0315164807099498,0.146455234452543,0.0153168519863325,0.314667776392714,0.024529044766756,0.422171165018196,0.0441522849739904,0.208487540043062,0.0218044292084959,0,0,0,0,0,0,8.328,7.786,16.114,19.662,19.42,39.082,27.206,27.99,55.197
"11","ATG","AMR",2020,"Antigua and Barbuda",2.34866432481006,0.179649159681843,0,0,4.86576826249762,0.372182252836393,3.00531810638826,0.229876558640596,0,0,6.31417119639818,0.482970485623551,0,0,0,0,0,0,10.843,10.554,21.397,36.426,40.105,76.531,50.659,47.269,97.928
"12","AUS","WPR",2020,"Australia",7.26532802251116,0.555724394997384,6.83320591507754,0.73802535314645,7.70094256507127,0.831745878403367,9.00204092907535,0.688565434836758,8.4060113535196,0.907897343477607,9.61165130931252,1.03811335997115,NA,NA,NA,NA,NA,NA,2524.371,2395.177,4919.548,10174.254,10406.079,20580.333,12801.256,12698.625,25499.881
