iso3,year,measure,unit,age_group,sex,best,lo,hi,analysed
ABW,2020,inc,num,0-4,m,0,0,0,TRUE
ABW,2020,inc,num,0-4,f,0,0,0,TRUE
ABW,2020,inc,num,15-24,m,0,0,0,TRUE
ABW,2020,inc,num,15-24,f,0,0,0,TRUE
ABW,2020,inc,num,25-34,m,0,0,0,TRUE
ABW,2020,inc,num,25-34,f,0,0,0,TRUE
ABW,2020,inc,num,35-44,m,0,0,0,TRUE
ABW,2020,inc,num,35-44,f,0,0,0,TRUE
ABW,2020,inc,num,45-54,m,1.15,0.977591707041212,1.32240829295879,TRUE
ABW,2020,inc,num,45-54,f,0,0,0,TRUE
ABW,2020,inc,num,55-64,m,0,0,0,TRUE
ABW,2020,inc,num,55-64,f,0,0,0,TRUE
ABW,2020,inc,num,5-14,m,0,0,0,TRUE
ABW,2020,inc,num,5-14,f,0,0,0,TRUE
ABW,2020,inc,num,65plus,m,0,0,0,TRUE
ABW,2020,inc,num,65plus,f,0,0,0,TRUE
ABW,2020,inc,num,0-14,m,0,0,0,TRUE
ABW,2020,inc,num,0-14,f,0,0,0,TRUE
ABW,2020,inc,num,15plus,m,1.15,0.977591707041212,1.32240829295879,TRUE
ABW,2020,inc,num,15plus,f,0,0,0,TRUE
ABW,2020,inc,num,0-14,a,0,0,0,TRUE
ABW,2020,inc,num,15plus,a,1.15,0.977591707041212,1.32240829295879,TRUE
ABW,2020,inc,num,a,m,1.15,0.977591707041212,1.32240829295879,TRUE
ABW,2020,inc,num,a,f,0,0,0,TRUE
ABW,2020,inc,num,a,a,1.15,0.977591707041212,1.32240829295879,TRUE
AFG,2020,inc,num,,m,3270.66723724667,0,8199.77357012883,TRUE
AFG,2020,inc,num,,f,2707.2559072051,0,6787.26505181345,TRUE
AFG,2020,inc,num,,m,4739.11807940697,0,11881.2744784009,TRUE
AFG,2020,inc,num,,f,4870.16693481125,0,12209.8224054729,TRUE
AFG,2020,inc,num,,m,6325.97284188808,0,15859.6216464789,TRUE
AFG,2020,inc,num,,f,7802.9378393259,0,19562.4680907999,TRUE
