group_type,group_name,year,measure,unit,age_group,sex,best,lo,hi
g_whoregion,AFR,2020,inc,num,,m,,,
g_whoregion,AFR,2020,inc,num,,f,,,
g_whoregion,AFR,2020,inc,num,0-4,m,,,
g_whoregion,AFR,2020,inc,num,0-4,f,,,
g_whoregion,AFR,2020,inc,num,15-24,m,,,
g_whoregion,AFR,2020,inc,num,15-24,f,,,
g_whoregion,AFR,2020,inc,num,25-34,m,,,
g_whoregion,AFR,2020,inc,num,25-34,f,,,
g_whoregion,AFR,2020,inc,num,35-44,m,,,
g_whoregion,AFR,2020,inc,num,35-44,f,,,
g_whoregion,AFR,2020,inc,num,45-54,m,,,
g_whoregion,AFR,2020,inc,num,45-54,f,,,
g_whoregion,AFR,2020,inc,num,55-64,m,,,
g_whoregion,AFR,2020,inc,num,55-64,f,,,
g_whoregion,AFR,2020,inc,num,5-14,m,,,
g_whoregion,AFR,2020,inc,num,5-14,f,,,
g_whoregion,AFR,2020,inc,num,65plus,m,,,
g_whoregion,AFR,2020,inc,num,65plus,f,,,
g_whoregion,AFR,2020,inc,num,15plus,m,,,
g_whoregion,AFR,2020,inc,num,15plus,f,,,
g_whoregion,AFR,2020,inc,num,0-14,m,,,
g_whoregion,AFR,2020,inc,num,0-14,f,,,
g_whoregion,AFR,2020,inc,num,15plus,a,,,
g_whoregion,AFR,2020,inc,num,0-14,a,,,
g_whoregion,AFR,2020,inc,num,a,m,,,
g_whoregion,AFR,2020,inc,num,a,f,,,
g_whoregion,AFR,2020,inc,num,a,a,,,
g_whoregion,AMR,2020,inc,num,0-4,m,,,
g_whoregion,AMR,2020,inc,num,0-4,f,,,
g_whoregion,AMR,2020,inc,num,15-24,m,,,
g_whoregion,AMR,2020,inc,num,15-24,f,,,
g_whoregion,AMR,2020,inc,num,25-34,m,,,
g_whoregion,AMR,2020,inc,num,25-34,f,,,
g_whoregion,AMR,2020,inc,num,35-44,m,,,
g_whoregion,AMR,2020,inc,num,35-44,f,,,
g_whoregion,AMR,2020,inc,num,45-54,m,,,
g_whoregion,AMR,2020,inc,num,45-54,f,,,
g_whoregion,AMR,2020,inc,num,55-64,m,,,
g_whoregion,AMR,2020,inc,num,55-64,f,,,
g_whoregion,AMR,2020,inc,num,5-14,m,,,
g_whoregion,AMR,2020,inc,num,5-14,f,,,
g_whoregion,AMR,2020,inc,num,65plus,m,,,
g_whoregion,AMR,2020,inc,num,65plus,f,,,
g_whoregion,AMR,2020,inc,num,,m,,,
g_whoregion,AMR,2020,inc,num,,f,,,
g_whoregion,AMR,2020,inc,num,0-14,m,,,
g_whoregion,AMR,2020,inc,num,0-14,f,,,
g_whoregion,AMR,2020,inc,num,15plus,m,,,
g_whoregion,AMR,2020,inc,num,15plus,f,,,
g_whoregion,AMR,2020,inc,num,0-14,a,,,
g_whoregion,AMR,2020,inc,num,15plus,a,,,
g_whoregion,AMR,2020,inc,num,a,m,,,
g_whoregion,AMR,2020,inc,num,a,f,,,
g_whoregion,AMR,2020,inc,num,a,a,,,
g_whoregion,EMR,2020,inc,num,,m,,,
g_whoregion,EMR,2020,inc,num,,f,,,
g_whoregion,EMR,2020,inc,num,0-4,m,,,
g_whoregion,EMR,2020,inc,num,0-4,f,,,
g_whoregion,EMR,2020,inc,num,15-24,m,,,
g_whoregion,EMR,2020,inc,num,15-24,f,,,
g_whoregion,EMR,2020,inc,num,25-34,m,,,
g_whoregion,EMR,2020,inc,num,25-34,f,,,
g_whoregion,EMR,2020,inc,num,35-44,m,,,
g_whoregion,EMR,2020,inc,num,35-44,f,,,
g_whoregion,EMR,2020,inc,num,45-54,m,,,
g_whoregion,EMR,2020,inc,num,45-54,f,,,
g_whoregion,EMR,2020,inc,num,55-64,m,,,
g_whoregion,EMR,2020,inc,num,55-64,f,,,
g_whoregion,EMR,2020,inc,num,5-14,m,,,
g_whoregion,EMR,2020,inc,num,5-14,f,,,
g_whoregion,EMR,2020,inc,num,65plus,m,,,
g_whoregion,EMR,2020,inc,num,65plus,f,,,
g_whoregion,EMR,2020,inc,num,15plus,m,,,
g_whoregion,EMR,2020,inc,num,15plus,f,,,
g_whoregion,EMR,2020,inc,num,0-14,m,,,
g_whoregion,EMR,2020,inc,num,0-14,f,,,
g_whoregion,EMR,2020,inc,num,15plus,a,,,
g_whoregion,EMR,2020,inc,num,0-14,a,,,
g_whoregion,EMR,2020,inc,num,a,m,,,
g_whoregion,EMR,2020,inc,num,a,f,,,
g_whoregion,EMR,2020,inc,num,a,a,,,
g_whoregion,EUR,2020,inc,num,0-4,m,,,
g_whoregion,EUR,2020,inc,num,0-4,f,,,
g_whoregion,EUR,2020,inc,num,15-24,m,,,
g_whoregion,EUR,2020,inc,num,15-24,f,,,
g_whoregion,EUR,2020,inc,num,25-34,m,,,
g_whoregion,EUR,2020,inc,num,25-34,f,,,
g_whoregion,EUR,2020,inc,num,35-44,m,,,
g_whoregion,EUR,2020,inc,num,35-44,f,,,
g_whoregion,EUR,2020,inc,num,45-54,m,,,
g_whoregion,EUR,2020,inc,num,45-54,f,,,
g_whoregion,EUR,2020,inc,num,55-64,m,,,
g_whoregion,EUR,2020,inc,num,55-64,f,,,
g_whoregion,EUR,2020,inc,num,5-14,m,,,
g_whoregion,EUR,2020,inc,num,5-14,f,,,
g_whoregion,EUR,2020,inc,num,65plus,m,,,
g_whoregion,EUR,2020,inc,num,65plus,f,,,
g_whoregion,EUR,2020,inc,num,,m,,,
g_whoregion,EUR,2020,inc,num,,f,,,
g_whoregion,EUR,2020,inc,num,0-14,m,,,
g_whoregion,EUR,2020,inc,num,0-14,f,,,
g_whoregion,EUR,2020,inc,num,15plus,m,,,
g_whoregion,EUR,2020,inc,num,15plus,f,,,
g_whoregion,EUR,2020,inc,num,0-14,a,,,
g_whoregion,EUR,2020,inc,num,15plus,a,,,
g_whoregion,EUR,2020,inc,num,a,m,,,
g_whoregion,EUR,2020,inc,num,a,f,,,
g_whoregion,EUR,2020,inc,num,a,a,,,
g_whoregion,SEA,2020,inc,num,0-4,m,,,
g_whoregion,SEA,2020,inc,num,0-4,f,,,
g_whoregion,SEA,2020,inc,num,5-14,m,,,
g_whoregion,SEA,2020,inc,num,5-14,f,,,
g_whoregion,SEA,2020,inc,num,15-24,m,,,
g_whoregion,SEA,2020,inc,num,15-24,f,,,
g_whoregion,SEA,2020,inc,num,25-34,m,,,
g_whoregion,SEA,2020,inc,num,25-34,f,,,
g_whoregion,SEA,2020,inc,num,35-44,m,,,
g_whoregion,SEA,2020,inc,num,35-44,f,,,
g_whoregion,SEA,2020,inc,num,45-54,m,,,
g_whoregion,SEA,2020,inc,num,45-54,f,,,
g_whoregion,SEA,2020,inc,num,55-64,m,,,
g_whoregion,SEA,2020,inc,num,55-64,f,,,
g_whoregion,SEA,2020,inc,num,65plus,m,,,
g_whoregion,SEA,2020,inc,num,65plus,f,,,
g_whoregion,SEA,2020,inc,num,,m,,,
g_whoregion,SEA,2020,inc,num,,f,,,
g_whoregion,SEA,2020,inc,num,0-14,m,,,
g_whoregion,SEA,2020,inc,num,0-14,f,,,
g_whoregion,SEA,2020,inc,num,15plus,m,,,
