iso3,year
AGO,2021
BDI,2021
BEN,2021
BFA,2021
BWA,2021
CAF,2021
CIV,2021
CMR,2021
COD,2021
COG,2021
COM,2021
CPV,2021
DZA,2021
ERI,2021
ETH,2021
GAB,2021
GHA,2021
GIN,2021
GMB,2021
GNB,2021
GNQ,2021
KEN,2021
LBR,2021
LSO,2021
MDG,2021
MLI,2021
MOZ,2021
MRT,2021
MUS,2021
MWI,2021
NAM,2021
NER,2021
NGA,2021
RWA,2021
SEN,2021
SLE,2021
SSD,2021
STP,2021
SWZ,2021
SYC,2021
TCD,2021
TGO,2021
TZA,2021
UGA,2021
ZAF,2021
ZMB,2021
ZWE,2021
ABW,2021
AIA,2016
ANT,
ARG,2021
ATG,2021
BHS,2021
BLZ,2021
BMU,2021
BOL,2021
BRA,2021
BRB,2021
CAN,2020
CHL,2021
COL,2021
CRI,2021
CUB,2021
CUW,2017
CYM,2020
DMA,2019
DOM,2021
ECU,2021
GRD,2021
GTM,2021
GUY,2021
HND,2021
HTI,2021
JAM,2021
KNA,2020
LCA,2021
MEX,2021
MSR,2018
NIC,2021
PAN,2021
PER,2021
PRI,2021
PRY,2021
SLV,2021
SUR,2021
SXM,2021
TCA,2019
TTO,2021
URY,2021
USA,2021
VCT,2021
VEN,2021
VGB,2018
AFG,2021
ARE,2021
BHR,2021
DJI,2018
EGY,2021
IRN,2021
IRQ,2021
JOR,2021
KWT,2021
LBN,2021
LBY,2021
MAR,2021
OMN,2021
PAK,2021
PSE,2021
QAT,2021
SAU,2021
SDN,2021
SOM,2021
SYR,2021
TUN,2021
YEM,2021
ALB,2021
AND,2021
ARM,2021
AUT,2021
AZE,2021
BEL,2021
BGR,2020
BIH,2021
BLR,2021
CHE,2021
CYP,2021
CZE,2021
DEU,2021
DNK,2021
ESP,2021
EST,2021
FIN,2021
FRA,2021
GBR,2020
GEO,2021
GRC,2020
GRL,2021
HRV,2020
HUN,2021
IRL,2021
ISL,2020
ISR,2021
ITA,2020
KAZ,2021
KGZ,2021
LTU,2021
LUX,2021
LVA,2021
MCO,2020
MDA,2021
MKD,2021
MLT,2021
MNE,2021
NLD,2021
NOR,2021
POL,2021
PRT,2021
ROU,2021
RUS,2021
SCG,
SMR,2019
SRB,2021
SVK,2021
SVN,2021
SWE,2021
TJK,2021
TKM,2021
TUR,2021
UKR,2021
UZB,2021
BGD,2021
BTN,2021
IDN,2021
IND,2021
LKA,2021
MDV,2021
MMR,2021
NPL,2021
PRK,2021
THA,2021
TLS,2021
ASM,2020
AUS,2021
BRN,2021
CHN,2021
COK,2021
FJI,2021
FSM,2021
GUM,2021
HKG,2021
JPN,2021
KHM,2021
KIR,2021
KOR,2021
LAO,2021
MAC,2021
MHL,2021
MNG,2021
MNP,2021
MYS,2021
NCL,2021
NIU,2021
NRU,2021
NZL,2021
PHL,2021
PLW,2021
PNG,2021
PYF,2021
SGP,2021
SLB,2021
TKL,2021
TON,2021
TUV,2021
VNM,2021
VUT,2021
WLF,2020
WSM,2021
