iso3,year,patients,id,dst_rlt,r_rlt,xpert,dr_h_nr,dr_r_nh,mdr,dst_rlt_hr,dst_rlt_rr,rr,xpert_dr_r
COK,2012,new,N_L_COK_2012,0,,0,0,0,0,,,,0
LUX,2014,new,N_L_LUX_2014,0,,,0,0,0,,,,
LUX,2012,new,N_L_LUX_2012,0,,,0,0,0,,,,
LUX,2011,new,N_L_LUX_2011,0,,,0,0,0,,,,
LUX,2009,new,N_L_LUX_2009,0,,,0,0,0,,,,
QAT,2006,new,N_L_QAT_2006,0,,,,,0,,,,
AND,2017,ret,R_L_AND_2017,0,0,,,,0,0,0,0,
AND,2016,ret,R_L_AND_2016,0,,0,0,0,0,,,,0
AND,2015,ret,R_L_AND_2015,0,,0,0,0,0,,,,0
AND,2013,ret,R_L_AND_2013,0,,0,0,0,0,,,,0
AND,2010,ret,R_L_AND_2010,0,,,0,0,0,,,,
AND,2008,ret,R_L_AND_2008,0,,,0,,0,,,,
AND,2007,ret,R_L_AND_2007,0,,,,,0,,,,
AND,2006,ret,R_L_AND_2006,0,,,,,0,,,,
BHR,2016,ret,R_L_BHR_2016,0,,,,,,,,,
BHR,2011,ret,R_L_BHR_2011,0,,,0,0,0,,,,
BHR,2010,ret,R_L_BHR_2010,0,,,0,0,0,,,,
BHS,2017,ret,R_L_BHS_2017,0,0,,,,0,0,0,0,
BHS,2012,ret,R_L_BHS_2012,0,,0,0,0,0,,,,0
BMU,2017,ret,R_L_BMU_2017,0,0,,,,0,0,0,0,
BMU,2016,ret,R_L_BMU_2016,0,,0,0,0,0,,,,0
BMU,2012,ret,R_L_BMU_2012,0,,0,0,0,0,,,,0
BMU,2011,ret,R_L_BMU_2011,0,,0,0,0,0,,,,0
BMU,2010,ret,R_L_BMU_2010,0,,,0,0,0,,,,
BRB,2014,ret,R_L_BRB_2014,0,,0,0,0,0,,,,0
COK,2016,ret,R_L_COK_2016,0,,0,0,0,0,,,,0
COK,2015,ret,R_L_COK_2015,0,,0,0,0,0,,,,0
COK,2013,ret,R_L_COK_2013,0,,0,0,0,0,,,,0
CUW,2017,ret,R_L_CUW_2017,0,0,,,,0,0,0,0,
CUW,2016,ret,R_L_CUW_2016,0,,0,0,0,0,,,,0
CUW,2014,ret,R_L_CUW_2014,0,,0,0,0,0,,,,0
CUW,2013,ret,R_L_CUW_2013,0,,0,0,0,0,,,,0
CUW,2012,ret,R_L_CUW_2012,0,,0,0,0,0,,,,0
CUW,2011,ret,R_L_CUW_2011,0,,0,0,0,0,,,,0
CYM,2017,ret,R_L_CYM_2017,0,0,,,,0,0,0,0,
CYM,2016,ret,R_L_CYM_2016,0,,0,0,0,0,,,,0
CYM,2013,ret,R_L_CYM_2013,0,,0,0,0,0,,,,0
CYM,2012,ret,R_L_CYM_2012,0,,0,0,0,0,,,,0
CYM,2011,ret,R_L_CYM_2011,0,,0,0,0,0,,,,0
CYP,2015,ret,R_L_CYP_2015,0,,,0,0,0,,,,
CYP,2010,ret,R_L_CYP_2010,0,,,0,0,0,,,,
CYP,2006,ret,R_L_CYP_2006,0,,,0,0,0,,,,
CYP,2005,ret,R_L_CYP_2005,0,,,,,0,,,,
CYP,2004,ret,R_L_CYP_2004,0,,,,,0,,,,
DMA,2013,ret,R_L_DMA_2013,0,,0,0,0,0,,,,0
GRC,2006,ret,R_L_GRC_2006,0,,,,,0,,,,
GUM,2016,ret,R_L_GUM_2016,0,,0,0,0,0,,,,0
GUM,2012,ret,R_L_GUM_2012,0,,0,0,0,0,,,,0
GUM,2008,ret,R_L_GUM_2008,0,,,,,0,,,,
GUM,2006,ret,R_L_GUM_2006,0,,,,,0,,,,
GUM,2005,ret,R_L_GUM_2005,0,,,,,0,,,,
GUM,2004,ret,R_L_GUM_2004,0,,,,,0,,,,
ISL,2016,ret,R_L_ISL_2016,0,,,0,0,0,,,,
ISL,2015,ret,R_L_ISL_2015,0,,,0,0,0,,,,
ISL,2013,ret,R_L_ISL_2013,0,,,0,0,0,,,,
ISL,2011,ret,R_L_ISL_2011,0,,,0,0,0,,,,
ISL,2010,ret,R_L_ISL_2010,0,,,0,0,0,,,,
ISL,2008,ret,R_L_ISL_2008,0,,,0,,0,,,,
ISL,2006,ret,R_L_ISL_2006,0,,,,,0,,,,
JAM,2013,ret,R_L_JAM_2013,0,,0,0,0,0,,,,0
KWT,2017,ret,R_L_KWT_2017,0,0,,,,0,0,0,0,
KWT,2016,ret,R_L_KWT_2016,0,,0,0,0,0,,,,0
KWT,2015,ret,R_L_KWT_2015,0,,0,0,0,0,,,,0
KWT,2013,ret,R_L_KWT_2013,0,,0,0,0,0,,,,0
KWT,2011,ret,R_L_KWT_2011,0,,0,0,0,0,,,,0
KWT,2010,ret,R_L_KWT_2010,0,,,0,0,0,,,,
LCA,2013,ret,R_L_LCA_2013,0,,0,0,0,0,,,,0
LUX,2014,ret,R_L_LUX_2014,0,,,0,0,0,,,,
LUX,2009,ret,R_L_LUX_2009,0,,,0,0,0,,,,
MDV,2016,ret,R_L_MDV_2016,0,,0,0,0,0,,,,0
MHL,2012,ret,R_L_MHL_2012,0,,0,0,0,0,,,,0
MLT,2017,ret,R_L_MLT_2017,0,0,,,,0,0,0,0,
MLT,2016,ret,R_L_MLT_2016,0,,,0,0,0,,,,
MLT,2015,ret,R_L_MLT_2015,0,,,0,0,0,,,,
