iso3,source_new,source_ret,year,e_rr_prop_new,e_rr_prop_new_lo,e_rr_prop_new_hi,e_rr_prop_new_se,e_rr_prop_ret,e_rr_prop_ret_lo,e_rr_prop_ret_hi,e_rr_prop_ret_se,e_inc_rr_num,e_inc_rr_num_lo,e_inc_rr_num_hi
ABW,Surveillance,Model,2015,0.0359007147122756,0.00412797173065267,0.124603594697343,0.030733577287421,0.202075339715811,0.0141158336561039,0.690085970084057,0.172441361333661,0.521025501159551,0,1.26372690139404
ABW,Surveillance,Model,2016,0.0352877073449447,0.00436785122906102,0.118126156041069,0.0290199757173489,0.190523837612597,0.0142403660495732,0.639696108852323,0.159555036429273,0.794654126856789,0,1.89016337235558
ABW,Surveillance,Model,2017,0.0347663066119104,0.00463643947918771,0.116306637784046,0.0284872954859332,0.179801774812149,0.0144738653971594,0.610839462134702,0.152134080800394,0.444208807018258,0,1.05798200819123
ABW,Surveillance,Model,2018,0.0343335857983141,0.00463065021892074,0.114549292098873,0.0280404698673347,0.169968053568666,0.0143689868032488,0.576503055153435,0.143401548048517,0.272271794336884,0,0.64924119255149
ABW,Surveillance,Model,2019,0.0339869767836981,0.0043576495133464,0.11543805031565,0.0283368369393631,0.161061736091085,0.013506969102469,0.562931142786779,0.140159227980691,0.107088608847805,0,0.259239267655709
ABW,Surveillance,Model,2020,0.0337242873491916,0.00429018146766144,0.116315511495014,0.0285778903131002,0.153101115473345,0.0126456837825421,0.539657853878689,0.134441880126568,0.0527939211217394,0,0.129373101904217
ABW,Surveillance,Model,2021,0.0335437094504439,0.00415634545404666,0.116665190895964,0.0287012360821218,0.146080963045988,0.0118757159026245,0.514863869136709,0.12831330439645,0.313203167095588,0,0.773901196404826
AFG,Model,Surveillance,2015,0.0509458932264775,0.00454730945416426,0.192884020852434,0.0480450794383342,0.0861957790685903,0.0653993516267525,0.112820494688533,0.0120972303729031,3622.49342237813,0,10390.9207303715
AFG,Model,Surveillance,2016,0.0512198124141129,0.00500267343828387,0.195505124658184,0.0485975640867092,0.112497809225387,0.0936721745064849,0.135035542893826,0.0105518796906482,3751.90393114634,0,10776.4364401425
AFG,Model,Surveillance,2017,0.0516142325279651,0.00526973527796936,0.1949704419991,0.0483930374288597,0.145858061741762,0.131864921772839,0.162021245869131,0.00769293982048252,3909.75367627685,0,11113.8452286371
AFG,Model,Surveillance,2018,0.052132922906285,0.00543537096243409,0.196116859815733,0.0486432369523722,0.187348394937903,0.173680798578219,0.201501006280165,0.00709699176070038,4088.74974767938,0,11546.015292741
AFG,Model,Surveillance,2019,0.0527799476634375,0.00551359154996529,0.195500172900365,0.0484659646302041,0.237634356009941,0.210483973424517,0.264944347255763,0.013892952507971,4291.40425061122,0,11949.8019401354
AFG,Model,Surveillance,2020,0.0535596732773528,0.00576518939366576,0.186094928003792,0.0460024843393179,0.296625927342898,0.249520460408373,0.344762419504243,0.0242964181367014,4528.97892473645,0,12073.0387437324
AFG,Model,Surveillance,2021,0.0544767628153556,0.00601237802249,0.186092640517287,0.0459388424731625,0.363175241716377,0.289501451716835,0.438581773687807,0.0380306943803502,4780.24084820189,0,12545.8302080128
AGO,Model,Model,2015,0.0358993121471707,0.00337407222054014,0.137247210372511,0.0341513107530537,0.192955316845542,0.0127449713875364,0.654041703379511,0.163596105099993,5264.59854959974,0,13594.8620166521
AGO,Model,Model,2016,0.0354603237283721,0.00350982405288032,0.142116623970786,0.0353588775300781,0.192975580967374,0.0137096692789831,0.644093387655026,0.160812173055113,5345.93419386392,0,14138.7352977712
AGO,Model,Model,2017,0.0351134873616195,0.00364503429632381,0.145839032861015,0.0362739792256866,0.19365074526189,0.0149458718347347,0.634137745554949,0.157957110642912,5441.21649563071,0,14648.2084467124
AGO,Model,Model,2018,0.0348573695034245,0.00372038907946458,0.135251679532143,0.0335539006256834,0.195032672917889,0.0158359588000806,0.626091427822651,0.155677415566982,5548.74505135956,0,14328.2913910456
AGO,Model,Model,2019,0.0346908621577707,0.00374562299922062,0.135345262998881,0.0335713367346072,0.197160790150703,0.0176514006854306,0.622717565866289,0.154353613566546,5670.46070612522,0,14650.6145151375
AGO,Model,Model,2020,0.0346132064670771,0.00360438305335858,0.132444106259046,0.0328672763279814,0.20005987713679,0.0189987393223999,0.628747081421948,0.155548046453966,5503.99117470949,0,14027.6312500069
AGO,Model,Model,2021,0.0346240070500153,0.00352328731096246,0.133581609904589,0.0331781435187822,0.203737697039778,0.0204032333355191,0.633835782980857,0.156487895317688,5625.40759124382,0,14383.9066249563
AIA,Model,Model,2015,0.0330714524830452,0.00223009043200422,0.1576330020729,0.0396435999083917,0.190599445337225,0.00934888148337508,0.714535862902835,0.179894638117209,0.594975283635995,0,1.71973602780263
AIA,Model,Model,2016,0.032931889132201,0.00235829797706296,0.151098368655916,0.0379438955813401,0.18048244062681,0.010326016053561,0.690111066400443,0.173414553659919,0.575066423863037,0,1.68099081876537
AIA,Model,Model,2017,0.0328698024800488,0.00241710436798293,0.143342133842965,0.035950262621169,0.171056747183276,0.0100321361615463,0.640529091146182,0.16084105994506,0.552948216027773,0,1.59456459262545
