model,elpd_diff,se_diff,p_loo,elpd_loo,data.likelihood.mean,se_elpd_loo,se_p_loo,looic,se_looic,data.likelihood.sd
separate_LerouxInterceptLerouxSlope_2,0,0,1912.73205142496,-8851.95572839856,-7681.04540360561,391.230759948306,130.22274069048,17703.9114567971,782.461519896612,19.0570827019956
together_LerouxInterceptLerouxSlope_2,-4.95923407531226,16.2606923565314,1905.10705875072,-8856.91496247386,-7691.74111754889,392.161796251663,131.867062625501,17713.8299249477,784.323592503327,19.0520460281172
together_LerouxIntercept_2,-57.5586855971207,27.0309054701462,1892.17441636582,-8909.51441399565,-7751.19839137253,395.359459272185,130.626225594546,17819.0288279913,790.718918544369,18.422101182716
separate_LerouxIntercept_2,-67.589426690975,26.1929622023379,1909.6248028073,-8919.54515508952,-7746.06806655912,397.35960692768,133.586402010573,17839.090310179,794.719213855361,19.2959077069921
separate_global_2,-71.8493454042334,26.0056426088573,1928.1967537702,-8923.80507380278,-7747.94626512247,396.849037193379,135.149883574241,17847.6101476056,793.698074386759,20.0502974593773
separate_globalH_2,-87.4374872073645,27.9262741574471,1933.8351198121,-8939.39321560591,-7750.37045516237,399.460565353509,134.437138508892,17878.7864312118,798.921130707018,19.0771151073132
separate_global_4,-28113.1544784301,2828.17450344667,2893.32761725083,-36965.1102068286,-35161.7850466113,2840.93910798936,427.564185298073,73930.2204136573,5681.87821597872,84.497552862825
separate_globalH_4,-28130.3532651158,2831.4339970636,2943.86656964963,-36982.3089935144,-35163.496387568,2844.20158192762,462.840607313342,73964.6179870287,5688.40316385524,85.5734518232806
separate_LerouxIntercept_4,-28203.2474400885,2843.11255182289,3045.89684201981,-37055.203168487,-35184.3888768165,2855.82761026192,514.58386951801,74110.406336974,5711.65522052383,101.441549726518
together_LerouxInterceptLerouxSlope_4,-28209.4221855351,2853.30180279249,3175.81344857565,-37061.3779139336,-35047.202087318,2864.86363517077,530.217366837906,74122.7558278672,5729.72727034153,99.2710158239651
together_LerouxIntercept_4,-28229.2024656931,2848.33686294731,3044.63197075006,-37081.1581940917,-35215.5362997325,2860.89862070306,532.787870668155,74162.3163881834,5721.79724140612,92.6424958635323
separate_LerouxInterceptLerouxSlope_4,-28350.702416573,2860.895809188,3292.62260792497,-37202.6581449716,-35123.5025435654,2872.87105211315,543.567183999017,74405.3162899432,5745.74210422629,101.378438972564
