variable,mean,sd,rhat,ess_bulk
"beta[1,1]",-2.10198144752127,1.3061667968292,1.86559028412315,2.93382616112645
"beta[2,1]",0.475319055013335,0.214417813858675,1.03875959052873,81.6906661805969
"beta[3,1]",0.00525728623022594,0.292180745878741,1.0252055698537,150.510366697783
"beta[4,1]",0.122908584399631,0.23612230970245,1.02074455018953,149.606778328739
"beta[5,1]",0.379826808003798,0.290665892483323,1.01610854153345,215.868773547345
"beta[6,1]",-0.0454344861655486,0.357216692701636,1.01542642936979,321.915046364686
"beta[7,1]",-0.104066471531178,0.246136011358316,1.04710546645401,71.8503008075765
"beta[1,2]",-2.20158460974287,0.227339263300977,1.02747153754651,78.2403896735533
"beta[2,2]",0.440292289029149,0.259865955427605,1.00503870625152,179.435773048548
"beta[3,2]",0.519907867898148,0.344009791729005,1.00841461988026,158.900946695767
"beta[4,2]",0.188867902762478,0.281386669338897,1.00063023828804,139.784938337108
"beta[5,2]",0.286785217121238,0.363734602805572,1.01263396738445,207.992073133832
"beta[6,2]",0.549733008730867,0.425204285185861,1.00771471858433,274.597934303781
"beta[7,2]",0.376885608624449,0.272929298392691,1.01708296626836,183.252270534949
"alpha[1,1]",0.00520514627885555,0.0122823422626983,1.04708453589811,51.3886942325472
"alpha[2,1]",-0.0401019931387133,0.0154306542235531,1.00330966789477,176.764961356649
"alpha[3,1]",-0.00454210183940867,0.0189218030762693,1.01447116892975,271.904525386771
"alpha[4,1]",-0.00460177663970181,0.0151705666225121,1.02031905113689,221.626640268915
"alpha[5,1]",-0.0219125296387566,0.0202009444794156,1.01417205000983,222.133289145537
"alpha[6,1]",0.0282028332403626,0.0243041482866479,0.99982147623596,307.126050720029
"alpha[7,1]",0.00845996847823231,0.0152496542008368,1.01523733722159,186.531012488877
"alpha[1,2]",0.0375480521666677,0.0180085146084989,1.09499797941548,22.6672455190481
"alpha[2,2]",-0.0389171229210315,0.022899028903642,1.00319298926274,199.194709509974
"alpha[3,2]",-0.0478204591423439,0.0279490722275759,1.00060393849446,321.718723850284
"alpha[4,2]",-0.00665916587631279,0.0242712699747351,1.02188228143346,125.26073339799
"alpha[5,2]",-0.0102753688809217,0.0286547034957249,1.00110363163063,296.076676844418
"alpha[6,2]",0.0116052396176395,0.0334233005944137,1.01224980148523,427.501860386695
"alpha[7,2]",-0.0406476947103149,0.0242790487073502,1.00739984483082,206.109858881248
