variable,mean,sd,rhat,ess_bulk
"beta[1,1]",1.24314151552303,0.668157513855122,1.25951363087764,6.96669705595683
"beta[2,1]",0.415954470608573,0.309143373060029,1.00652655252549,100.862189434197
"beta[3,1]",0.639319992269724,0.37374952862126,1.03548972909908,77.8479564007221
"beta[4,1]",0.644893213261611,0.308073052897902,1.03282644668932,74.9463097644541
"beta[5,1]",1.55676981838485,0.400064049459484,1.0148609632344,86.1291120599117
"beta[6,1]",0.172140735198968,0.472542585517007,1.0018146447685,152.455083476042
"beta[7,1]",1.109068729119,0.344649106290138,1.00412920180637,107.48127531532
"beta[1,2]",0.196366761142208,0.794862630048175,1.47529987172226,3.88194031566929
"beta[2,2]",0.812307923806386,0.296431741034329,1.00508679784137,230.472886205852
"beta[3,2]",0.0924845488766253,0.350595510253553,1.00703845445862,245.859548938241
"beta[4,2]",0.170945097347469,0.327257345882354,1.00967470962317,167.600215917818
"beta[5,2]",0.526301400369421,0.443537720211585,1.00527204270293,184.546224642988
"beta[6,2]",0.870363294731248,0.439244824425289,0.998469282775283,271.289066420419
"beta[7,2]",0.250129008334274,0.328727740463982,1.01200207360829,167.847503955249
"beta[1,3]",0.827869766284572,1.43209939616626,1.88611815935732,2.86018729353636
"beta[2,3]",0.57479078587766,0.28234747121063,1.00263902021535,123.987594890845
"beta[3,3]",0.394757922204513,0.364672410738581,1.02386133489872,103.328516019757
"beta[4,3]",0.566624629120865,0.288506872049071,1.0335051407392,78.6341480545682
"beta[5,3]",1.13556280180939,0.351162837612291,1.00852802144986,118.810093440517
"beta[6,3]",-0.15690210474137,0.473530015061625,1.01024602573037,165.7991842126
"beta[7,3]",0.39639022018524,0.297749850565254,1.01537272108113,130.085404478797
"beta[1,4]",-2.32332103259947,0.421657026233176,1.36253096244347,4.632206871471
"beta[2,4]",0.436672001332037,0.282519999515887,1.06304458762322,58.4094445562512
"beta[3,4]",0.253667365210253,0.33514670487877,1.00672353565512,93.4897022688521
"beta[4,4]",0.206205517165004,0.299743188845354,1.03530876869039,31.3800534258281
"beta[5,4]",-0.0293515974070165,0.369953133909908,1.03242820972869,123.873626021444
"beta[6,4]",0.357285081322529,0.470969560407809,1.02925677879515,169.270581710509
"beta[7,4]",0.375986825855762,0.277518368638875,1.0107787336274,71.2214313487608
"beta[1,5]",-3.24038072640176,0.759562355159501,1.65848931347705,3.32970610365304
"beta[2,5]",0.772136551530076,0.390129225144455,1.04502156624777,86.7003013812239
"beta[3,5]",0.462261786186285,0.497419485461138,1.01701147585379,81.5775268936258
"beta[4,5]",0.641362131470054,0.391441690554956,1.00483315954991,97.150076696558
"beta[5,5]",1.31236733339869,0.503717125705428,1.00812187819467,134.406079473232
"beta[6,5]",1.70311344050004,0.511776810990152,1.00772246196124,154.916964166621
"beta[7,5]",0.147486966088827,0.411762822274921,1.02665365244894,111.249749563613
"beta[1,6]",-1.71983653844553,0.482917151845852,1.37734227952602,4.39506201999769
"beta[2,6]",0.169658210569035,0.279877240455215,1.051164949192,61.0661860147671
"beta[3,6]",0.590584864348013,0.361987587553589,1.01580861675795,68.7667150121882
"beta[4,6]",0.0833839343562015,0.285696749976524,1.04688815541889,71.9588169816574
"beta[5,6]",-0.0503878833580742,0.402829137354888,1.02056089574379,96.68394810878
"beta[6,6]",0.43338576378588,0.424588156807103,1.02038521476828,123.752408662005
"beta[7,6]",0.357693074774118,0.267224396525196,1.0181602990342,76.5349654045729
"alpha[1,1]",0.0290771882140405,0.0101766463684114,1.00505825793077,87.3454205214213
"alpha[2,1]",-3.21589950782972e-05,0.0160057106046461,1.02376337706369,72.2128186899443
"alpha[3,1]",-0.0379864092274268,0.0181141464701136,1.04059171762149,92.4316646810373
"alpha[4,1]",-0.00905315415258967,0.012884449384555,1.00988582433786,88.0318005914763
"alpha[5,1]",-0.0470110214885477,0.0201805959490578,1.00424501424729,129.235568143674
"alpha[6,1]",0.0506408865202013,0.0256812492125359,1.00301649777419,167.831086965843
"alpha[7,1]",-0.0422902560828744,0.0161569296308266,1.00266130736772,95.521375879667
"alpha[1,2]",0.0194049645656377,0.0121063253341812,1.00673536700974,177.722667045229
"alpha[2,2]",-0.069937988433553,0.0188758158237763,1.00226114257877,203.226150992225
"alpha[3,2]",0.00462697659290916,0.0217383083559867,1.00198743980754,239.725014561115
"alpha[4,2]",-0.0236345962572077,0.0190077604142964,1.02238296068687,158.163203707084
"alpha[5,2]",-0.0262939376139531,0.0255802308421914,1.01282877426591,203.671185622999
"alpha[6,2]",-0.00564389448751225,0.0283915108021072,1.01214186046413,259.133368950207
"alpha[7,2]",-0.017701336091642,0.0199436773774135,1.01000209297966,147.100818677139
"alpha[1,3]",0.0141972388354033,0.00968534819665171,1.00397691095121,63.589162198442
"alpha[2,3]",-0.0273965284762155,0.0147402282613549,1.02843578914216,83.7514699130495
"alpha[3,3]",-0.00478956106006909,0.0186836041018119,1.00791508617266,105.170134565968
"alpha[4,3]",-0.0166585177749515,0.0141748004262259,1.02928522348942,56.2755169324633
"alpha[5,3]",-0.0297306065514137,0.0199553692702547,1.00291970162707,109.608181398459
"alpha[6,3]",0.0877924327137881,0.0289580502691496,1.00653559097658,120.922291752103
"alpha[7,3]",-0.00512947126780321,0.0166924541910052,1.04121390776193,83.8308476326148
"alpha[1,4]",0.0382593064577671,0.0118044177208079,1.02013396671242,56.8893201316233
"alpha[2,4]",-0.0223059790825366,0.0183417964940241,1.01822603130099,99.2524756049202
"alpha[3,4]",-0.00998342364597775,0.021249346286294,1.00160673851548,120.797744739396
"alpha[4,4]",0.00318655540718845,0.0182841713980075,1.04637843602384,68.815905902582
