variable,mean,sd,rhat,ess_bulk
"beta[1,1]",-3.46001046016133,0.201625951340149,1.00776894125383,135.515390654422
"beta[2,1]",0.167537789235667,0.279038262637483,1.0179331637471,138.68224312537
"beta[3,1]",0.167687508638648,0.342699125278943,1.00229653724434,190.300232033225
"beta[4,1]",0.523672699738212,0.284560946969221,1.00786475056015,100.629628367242
"beta[5,1]",1.44816692029966,0.357369518979791,1.00370808069198,269.574937434782
"beta[6,1]",-0.865924539431155,0.480762963645137,1.00627378216752,388.72746383284
"beta[7,1]",1.14135804364849,0.319247533670428,1.01166193597847,121.695865710382
"beta[1,2]",-5.28835341704903,0.207346223324992,1.00015676979454,259.39295647921
"beta[2,2]",0.298136803319578,0.319195293650163,1.00450316447136,181.803862981322
"beta[3,2]",-0.207072348516413,0.373955317575943,0.999430727560227,256.428916952394
"beta[4,2]",-0.169561275944251,0.311946091014902,1.00387729524191,250.197539298024
"beta[5,2]",-0.139124986463636,0.462738321266688,1.0005271205562,470.225183462798
"beta[6,2]",0.437256626419909,0.480456642964337,1.00118520096212,378.843832410542
"beta[7,2]",0.37073985137778,0.355220215652297,1.00270960453032,232.100623782856
"beta[1,3]",-4.31845210895052,0.191721786312491,1.01123267178163,123.295274764671
"beta[2,3]",0.400422651665686,0.281800389656722,1.00046596924501,133.952579633753
"beta[3,3]",-0.0326155094525491,0.348114463440763,1.00155146910702,220.673666931078
"beta[4,3]",0.551411028396474,0.283410311705429,1.01287873338922,104.899758581402
"beta[5,3]",0.504328418900907,0.370265103653351,1.00420692102436,226.479898818974
"beta[6,3]",-1.14464377542555,0.469360581970384,1.00407395465811,425.294408194176
"beta[7,3]",0.34235248593694,0.286442484976812,1.00735832325455,140.100357646835
"beta[1,4]",-2.92553003523527,0.230053943423758,1.00181141426785,203.781844074386
"beta[2,4]",0.305048333583958,0.338218542400886,1.00049805065262,245.741062252044
"beta[3,4]",-0.175211844462764,0.386483913107677,1.00074461662789,283.680339131123
"beta[4,4]",0.146746152337297,0.322526247359642,1.00766650228467,222.386511553551
"beta[5,4]",-0.0711662219239313,0.444684076029738,1.00281464410096,297.332756211989
"beta[6,4]",0.105042405778161,0.609666123111588,1.00115827608846,470.09333897493
"beta[7,4]",0.511550007524173,0.35138219379788,1.0090709033836,203.34899478546
"beta[1,5]",-4.26235307547829,0.251822502668431,1.00997845026044,277.493290611109
"beta[2,5]",0.341321074133675,0.373675904806514,1.00312907475619,242.578013027806
"beta[3,5]",0.367810674352058,0.446670900514966,1.01013357507849,262.659474614053
"beta[4,5]",0.360206135167784,0.369870806327457,1.01577958638607,285.741781035199
"beta[5,5]",0.842553309330849,0.471546120733011,1.00475963402967,373.574266999488
"beta[6,5]",1.65167976070575,0.501270661879688,1.00067107008316,490.257653238557
"beta[7,5]",0.419551119199834,0.36156552307623,1.01282147485471,321.214452233376
"beta[1,6]",-2.19903440462746,0.171071505918706,1.02448266058078,142.588291937258
"beta[2,6]",0.0261175351726208,0.247059859321256,1.00224756306388,191.344644068133
"beta[3,6]",0.171725457566506,0.332289353497572,1.00682812853357,218.358395201663
"beta[4,6]",-0.00578082418036761,0.282917586000293,1.01461911503651,139.329335802352
"beta[5,6]",-0.658925281880285,0.379133049219105,1.00501438911473,226.80202303231
"beta[6,6]",-0.315297518873829,0.449201487884018,1.00303207787558,416.219533139297
"beta[7,6]",0.0966344282341898,0.272268114953898,1.00989360350544,117.180534584337
"alpha[1,1]",0.0189855047757007,0.0101818089097034,1.00035903240475,240.131820100064
"alpha[2,1]",0.00714051893581405,0.0148510820148229,1.00235620438308,298.387859832717
"alpha[3,1]",-0.02266906365517,0.016941568177556,0.998800165116644,316.644550196033
