variable,mean,sd,rhat,ess_bulk
"beta[1,1]",-3.55213036951748,0.131629176091014,1.0046901122409,271.396689614449
"beta[2,1]",0.28997815033035,0.155240091390504,1.00190733120265,442.333742835279
"beta[3,1]",-0.120030320461251,0.200899420033197,1.00130734123821,434.893251275729
"beta[4,1]",0.0894533875128304,0.171805652925831,1.00114490693032,453.817852209075
"beta[5,1]",0.146370664908024,0.202209495452103,1.00062934886729,509.169310420057
"beta[6,1]",-0.430450310273701,0.24484115133682,1.0010897023336,571.037319309338
"beta[7,1]",0.096324746526108,0.164098465510839,1.0012537263768,398.166054752878
"beta[1,2]",-2.04726192416136,0.148020748525624,1.00564818329954,220.49709104207
"beta[2,2]",0.112753760519988,0.174908407729943,1.00058468333311,447.764052203442
"beta[3,2]",0.137359980423584,0.224794826900805,1.0027777811911,438.025466603441
"beta[4,2]",0.0159145942438945,0.197662639147906,1.00223120112893,435.62765739138
"beta[5,2]",0.110848213193626,0.224713174253352,1.00047674384494,523.897549847848
"beta[6,2]",0.219901383478035,0.266105519571058,0.999439625322263,646.753330417569
"beta[7,2]",0.154819105595933,0.176787304999332,1.00112649154051,466.126725330475
"alpha[1,1]",-0.0192212008219364,0.0136694253431163,1.00149157154627,216.793860895911
"alpha[2,1]",-0.0253576244592647,0.0152862412339762,0.999855769593642,559.736111385062
"alpha[3,1]",0.00318667270031133,0.0224574295742077,1.00869866091894,311.5978493377
"alpha[4,1]",-0.00061534889636045,0.0169527947621133,1.00921792794685,271.741831716951
"alpha[5,1]",-0.0138734449016074,0.0200979819957934,1.00013526913365,473.09765444574
"alpha[6,1]",0.0404610738603222,0.0254434860897403,0.999380753329863,676.413291428807
"alpha[7,1]",-0.00505372172504623,0.0180227634432656,1.00094949017765,389.327539500217
"alpha[1,2]",0.0200876330275216,0.0153635388063061,1.00915712657449,187.186033483819
"alpha[2,2]",-0.0279506022497376,0.0174522576780322,1.00535059802316,536.432007102847
"alpha[3,2]",-0.0140557683368855,0.0248119202476861,1.00193176133113,506.52822819727
"alpha[4,2]",-0.011907932792491,0.0198578380804338,1.00642043163037,274.259681627868
"alpha[5,2]",-0.0220118740907314,0.0239695466594772,1.00375275733457,461.607418538459
"alpha[6,2]",0.0141693370741437,0.0268924394587717,1.0017962496609,517.25588136798
"alpha[7,2]",-0.0290149326334863,0.0196867292878202,1.00026481510234,376.464352151594
