variable,mean,sd,rhat,ess_bulk
"beta[1,1]",-3.59465854761188,0.323428131540447,1.08847420059334,16.5005574816141
"beta[2,1]",0.492320574140599,0.223921804264659,1.00277837382681,166.062312526112
"beta[3,1]",0.20595562540309,0.282748424979906,1.00677157781481,299.175885709512
"beta[4,1]",0.122369103295817,0.233948724953692,1.01178386115656,175.141728577792
"beta[5,1]",0.474495334873858,0.282648245832839,1.00238680232218,242.364094218343
"beta[6,1]",-0.258823328963783,0.324993683219712,1.00743897789659,251.987527506247
"beta[7,1]",-0.0286095283379303,0.253981996678937,1.02118324553917,145.673905128596
"beta[1,2]",-1.99595277072388,0.409095346044688,1.08832432207705,20.811081496028
"beta[2,2]",0.480347605880741,0.23849412491308,1.00595297526782,159.367808306446
"beta[3,2]",0.589872443129679,0.319579706692313,1.01073633000215,309.312118158091
"beta[4,2]",0.09943817346181,0.268315695753059,1.00516007888105,149.553734695475
"beta[5,2]",0.469909371986727,0.347842340672577,1.00315486003691,284.754954078017
"beta[6,2]",0.656618001182389,0.375837102940677,1.00917778622889,154.455656100652
"beta[7,2]",0.285864932887304,0.271619768891278,1.01972259505005,141.438720454269
"alpha[1,1]",-0.000111897323610063,0.0123843718511113,1.02112014607545,140.961755754547
"alpha[2,1]",-0.0359805145552773,0.0148528264818508,1.00206010111939,284.756300152353
"alpha[3,1]",-0.00549780723640959,0.0189670640829131,1.0078448951778,366.118436729457
"alpha[4,1]",0.00400057729046673,0.0145938503334843,1.00322658513849,258.738284068229
"alpha[5,1]",-0.0195147599758249,0.0198462855089744,1.0091776871714,302.5583930396
"alpha[6,1]",0.035827368290846,0.023402958402207,1.00781331350463,498.254796868125
"alpha[7,1]",0.00908750099990811,0.0172986304647036,1.01304346789057,205.620491053973
"alpha[1,2]",0.0373139787551999,0.0169211700289231,1.02205649877313,137.645934856059
"alpha[2,2]",-0.0360852043462908,0.022377556462719,1.00724145472717,187.686659028496
"alpha[3,2]",-0.0477818507255714,0.02705270048274,1.00173295695946,300.787955429926
"alpha[4,2]",0.00233975233128425,0.0234845654018023,1.007810702452,234.568777196438
"alpha[5,2]",-0.0107218642905219,0.0298781882426656,1.04238267934601,87.8131831564672
"alpha[6,2]",-3.13117723505198e-05,0.0310762599955063,1.0088990431954,463.992721242822
"alpha[7,2]",-0.0295837903308555,0.0246667720036947,1.02306560304263,154.284764137126
