year,g_whoregion,RR-TB incidence,RR as % TB incidence,model
2020,AFR,79 400 (60 100 - 98 600),3.2 (2.4 - 4.1),separate_global_2
2020,AFR,79 300 (62 300 - 96 300),3.2 (2.4 - 4.0),separate_global_4
2020,AFR,81 000 (60 500 - 101 000),3.3 (2.4 - 4.2),separate_globalH_2
2020,AFR,78 900 (62 200 - 95 700),3.2 (2.4 - 4.0),separate_globalH_4
2020,AFR,76 600 (58 100 - 95 100),3.1 (2.3 - 3.9),separate_LerouxIntercept_2
2020,AFR,78 000 (59 400 - 96 600),3.2 (2.3 - 4.0),separate_LerouxIntercept_4
2020,AFR,77 900 (56 900 - 98 900),3.2 (2.2 - 4.1),separate_LerouxInterceptLerouxSlope_2
2020,AFR,460 000 (308 000 - 611 000),19 (12 - 25),separate_LerouxInterceptLerouxSlope_4
2020,AFR,80 900 (60 100 - 102 000),3.3 (2.4 - 4.2),together_LerouxIntercept_2
2020,AFR,82 400 (61 300 - 104 000),3.3 (2.4 - 4.3),together_LerouxIntercept_4
2020,AFR,85 900 (61 700 - 110 000),3.5 (2.4 - 4.5),together_LerouxInterceptLerouxSlope_2
2020,AFR,242 000 (62 300 - 422 000),9.8 (2.4 - 17),together_LerouxInterceptLerouxSlope_4
2020,AMR,11 500 (7 790 - 15 100),4.0 (2.7 - 5.3),separate_global_2
2020,AMR,11 000 (7 790 - 14 200),3.9 (2.7 - 5.0),separate_global_4
2020,AMR,11 300 (7 590 - 14 900),4.0 (2.6 - 5.3),separate_globalH_2
2020,AMR,10 800 (7 570 - 14 000),3.8 (2.6 - 5.0),separate_globalH_4
2020,AMR,11 100 (7 710 - 14 500),3.9 (2.7 - 5.1),separate_LerouxIntercept_2
2020,AMR,10 500 (7 220 - 13 700),3.7 (2.5 - 4.9),separate_LerouxIntercept_4
2020,AMR,10 900 (7 310 - 14 500),3.8 (2.5 - 5.1),separate_LerouxInterceptLerouxSlope_2
2020,AMR,10 900 (6 860 - 15 000),3.8 (2.4 - 5.3),separate_LerouxInterceptLerouxSlope_4
2020,AMR,11 000 (7 580 - 14 400),3.9 (2.6 - 5.1),together_LerouxIntercept_2
2020,AMR,10 300 (7 010 - 13 600),3.6 (2.4 - 4.8),together_LerouxIntercept_4
2020,AMR,11 000 (7 160 - 14 900),3.9 (2.5 - 5.3),together_LerouxInterceptLerouxSlope_2
2020,AMR,11 100 (6 810 - 15 400),3.9 (2.4 - 5.4),together_LerouxInterceptLerouxSlope_4
2020,EMR,35 600 (15 200 - 56 100),4.3 (1.7 - 6.9),separate_global_2
2020,EMR,37 400 (16 900 - 57 800),4.5 (1.9 - 7.2),separate_global_4
2020,EMR,35 900 (14 500 - 57 300),4.3 (1.6 - 7.1),separate_globalH_2
2020,EMR,36 700 (17 800 - 55 700),4.4 (2.0 - 6.9),separate_globalH_4
2020,EMR,40 800 (16 200 - 65 400),4.9 (1.8 - 8.1),separate_LerouxIntercept_2
2020,EMR,41 600 (18 700 - 64 600),5.0 (2.1 - 8.0),separate_LerouxIntercept_4
2020,EMR,42 900 (17 100 - 68 700),5.2 (1.9 - 8.5),separate_LerouxInterceptLerouxSlope_2
2020,EMR,72 000 (38 200 - 106 000),8.7 (4.2 - 13),separate_LerouxInterceptLerouxSlope_4
2020,EMR,37 600 (18 700 - 56 500),4.5 (2.1 - 7.0),together_LerouxIntercept_2
2020,EMR,39 800 (20 500 - 59 200),4.8 (2.3 - 7.4),together_LerouxIntercept_4
2020,EMR,37 300 (19 300 - 55 300),4.5 (2.1 - 6.9),together_LerouxInterceptLerouxSlope_2
2020,EMR,48 000 (25 000 - 71 000),5.8 (2.8 - 8.8),together_LerouxInterceptLerouxSlope_4
2020,EUR,71 200 (55 000 - 87 400),31 (23 - 40),separate_global_2
2020,EUR,71 600 (55 400 - 87 800),31 (23 - 40),separate_global_4
2020,EUR,71 200 (55 000 - 87 400),31 (23 - 40),separate_globalH_2
2020,EUR,71 600 (55 400 - 87 800),31 (23 - 40),separate_globalH_4
2020,EUR,71 200 (55 000 - 87 400),31 (23 - 40),separate_LerouxIntercept_2
2020,EUR,71 600 (55 300 - 87 800),31 (23 - 40),separate_LerouxIntercept_4
2020,EUR,71 200 (55 000 - 87 500),31 (23 - 40),separate_LerouxInterceptLerouxSlope_2
2020,EUR,71 800 (55 500 - 88 000),32 (23 - 40),separate_LerouxInterceptLerouxSlope_4
2020,EUR,71 200 (55 000 - 87 400),31 (23 - 40),together_LerouxIntercept_2
2020,EUR,71 600 (55 300 - 87 800),31 (23 - 40),together_LerouxIntercept_4
2020,EUR,71 200 (55 000 - 87 500),31 (23 - 40),together_LerouxInterceptLerouxSlope_2
2020,EUR,71 500 (55 400 - 87 600),31 (23 - 40),together_LerouxInterceptLerouxSlope_4
2020,SEA,164 000 (139 000 - 190 000),3.6 (3.0 - 4.3),separate_global_2
2020,SEA,164 000 (139 000 - 189 000),3.6 (3.0 - 4.3),separate_global_4
2020,SEA,165 000 (139 000 - 191 000),3.6 (3.0 - 4.3),separate_globalH_2
2020,SEA,164 000 (139 000 - 189 000),3.6 (3.0 - 4.3),separate_globalH_4
2020,SEA,164 000 (139 000 - 189 000),3.6 (3.0 - 4.3),separate_LerouxIntercept_2
2020,SEA,163 000 (138 000 - 187 000),3.6 (3.0 - 4.2),separate_LerouxIntercept_4
2020,SEA,164 000 (139 000 - 190 000),3.6 (3.0 - 4.3),separate_LerouxInterceptLerouxSlope_2
2020,SEA,1 030 000 (930 000 - 1 130 000),23 (20 - 26),separate_LerouxInterceptLerouxSlope_4
2020,SEA,167 000 (141 000 - 193 000),3.7 (3.0 - 4.3),together_LerouxIntercept_2
2020,SEA,165 000 (140 000 - 190 000),3.6 (3.0 - 4.3),together_LerouxIntercept_4
2020,SEA,167 000 (141 000 - 192 000),3.7 (3.0 - 4.3),together_LerouxInterceptLerouxSlope_2
2020,SEA,165 000 (139 000 - 190 000),3.6 (3.0 - 4.3),together_LerouxInterceptLerouxSlope_4
2020,WPR,70 100 (56 900 - 83 300),4.0 (2.9 - 5.0),separate_global_2
2020,WPR,71 300 (57 400 - 85 200),4.0 (2.9 - 5.1),separate_global_4
2020,WPR,70 000 (56 500 - 83 600),4.0 (2.9 - 5.0),separate_globalH_2
2020,WPR,71 000 (57 300 - 84 700),4.0 (2.9 - 5.1),separate_globalH_4
2020,WPR,69 400 (56 300 - 82 600),3.9 (2.9 - 5.0),separate_LerouxIntercept_2
2020,WPR,71 200 (57 100 - 85 200),4.0 (2.9 - 5.1),separate_LerouxIntercept_4
2020,WPR,69 500 (56 200 - 82 800),3.9 (2.9 - 5.0),separate_LerouxInterceptLerouxSlope_2
2020,WPR,72 900 (57 800 - 88 000),4.1 (2.9 - 5.3),separate_LerouxInterceptLerouxSlope_4
2020,WPR,70 400 (56 900 - 83 800),4.0 (2.9 - 5.0),together_LerouxIntercept_2
2020,WPR,73 000 (58 400 - 87 500),4.1 (3.0 - 5.3),together_LerouxIntercept_4
2020,WPR,70 300 (56 800 - 83 900),4.0 (2.9 - 5.1),together_LerouxInterceptLerouxSlope_2
2020,WPR,73 300 (58 200 - 88 400),4.1 (3.0 - 5.3),together_LerouxInterceptLerouxSlope_4
