g_whoregion,model,H,MAPE,MAE,U,C
AFR,separate_global_4,70.0732948447886,63.2456850357352,2.16090089950821,2.8187910374276,42.7840579710145
AFR,separate_LerouxInterceptLerouxSlope_2,124.833263164093,52.7736873175261,1.6209166062806,2.98373755487422,44.2652173913044
AFR,together_LerouxIntercept_4,130.804856075662,52.4184463235395,1.57382310637131,3.01541080381267,44.2753623188406
AFR,together_LerouxInterceptLerouxSlope_2,141.541720707675,53.7249890690228,1.80861230733654,3.26214379108662,43.8478260869565
AMR,together_LerouxIntercept_4,47.3128139436017,89.3423351649365,2.79778961347667,2.80377281607555,44.8883333333333
AMR,separate_LerouxInterceptLerouxSlope_2,58.9696384909153,82.1619922718316,2.62077267436345,2.68717139606987,45.2316666666667
AMR,together_LerouxInterceptLerouxSlope_2,59.9859855729818,86.1884735064943,2.93890472973583,3.02413863304393,43.3783333333333
AMR,separate_global_4,61.3981832067309,84.4344612511378,3.26558738776735,3.17347532691564,41.7533333333333
EMR,separate_global_4,8.17504871729491,64.4383366480995,2.63710358179827,3.47349704275054,54.50625
EMR,separate_LerouxInterceptLerouxSlope_2,8.90600716052778,59.7329773833011,2.18462078997131,3.11087188763927,57.5458333333333
EMR,together_LerouxInterceptLerouxSlope_2,9.20188817878085,61.9177278515034,2.37600599581335,3.37445625610854,55.9020833333333
EMR,together_LerouxIntercept_4,9.65362547378849,66.8281847156881,2.76354029412122,3.76487487254269,54.50625
EUR,separate_global_4,346.877773076666,174.105559776964,6.36678828863791,3.5513749835763,40.2493975903615
EUR,together_LerouxInterceptLerouxSlope_2,1250.7441922056,68.9656367976975,4.30314818037851,6.4892950123077,42.5895582329317
EUR,separate_LerouxInterceptLerouxSlope_2,1282.90255308068,68.6696614122103,4.21352084420811,6.08665872540919,44.0196787148594
EUR,together_LerouxIntercept_4,1429.60176288152,66.3138523670756,5.00396125219245,8.01040155568373,40.5951807228916
SEA,separate_LerouxInterceptLerouxSlope_2,108.475904989944,63.0584652009543,1.98338544416034,2.88601893534171,32.1175438596491
SEA,together_LerouxInterceptLerouxSlope_2,122.260651930768,67.2369909445344,2.3187697513301,3.27100858654046,30.7877192982456
SEA,together_LerouxIntercept_4,126.577794449456,73.930314143686,2.56251379433374,3.29941417853021,31.1842105263158
SEA,separate_global_4,190.932933468757,47.1470841284503,1.89077640727388,3.407734833762,31.6157894736842
WPR,separate_LerouxInterceptLerouxSlope_2,27.4640766908601,88.5475289826636,2.5361611668154,2.68510517616185,70.7416058394161
WPR,together_LerouxInterceptLerouxSlope_2,30.9091174343373,82.1844911852572,2.80570851510786,3.25362985151624,69.5343065693431
WPR,together_LerouxIntercept_4,32.9691016915171,86.2499937789692,2.80682730283277,3.10941799139873,69.8255474452555
WPR,separate_global_4,41.4424551845769,83.5442542606479,3.11280013541636,3.27893148220407,68.3182481751825
