g_whoregion,model,H,MAPE,MAE,U,C
AFR,separate_global_4,329.464210446567,66.8572723667371,12.2062686342237,15.7658808252494,38.3220779220779
AFR,together_LerouxIntercept_4,349.288259765735,61.5765281624902,11.4552607992085,18.3772214498682,37.8454545454545
AFR,separate_LerouxInterceptLerouxSlope_2,349.669690780642,64.2166522149294,12.8082954248381,21.4430119164903,35.0194805194805
AFR,together_LerouxInterceptLerouxSlope_2,355.257203255841,65.8536908502723,12.3382043986662,20.489786802887,35.6857142857143
AMR,together_LerouxIntercept_4,243.297794643234,105.023243698161,14.585114333041,15.0251033253678,46.05
AMR,together_LerouxInterceptLerouxSlope_2,303.914775632854,86.4270963476283,14.489267576692,19.1138236009465,44.0245454545455
AMR,separate_LerouxInterceptLerouxSlope_2,307.377433254497,75.7926862421083,15.4107532171418,22.2480724077576,43.1118181818182
AMR,separate_global_4,350.693844205059,81.481289852964,16.0026665384173,17.4239924302423,42.6381818181818
EMR,separate_global_4,183.651336348334,99.1297174679298,18.9147564025125,16.6866123175305,55.2280701754386
EMR,together_LerouxIntercept_4,200.277573253737,96.5296449419386,20.2269309540458,22.9582964440244,53.8140350877193
EMR,separate_LerouxInterceptLerouxSlope_2,208.426166710309,86.3047136964355,20.647235638767,30.1341750685765,49.840350877193
EMR,together_LerouxInterceptLerouxSlope_2,212.051989381728,93.7940134683134,20.3608914200502,26.4096911772296,50.7052631578947
EUR,separate_global_4,4565.52447346747,94.8548369795704,18.5869598559864,18.9543692809991,43.9940928270042
EUR,separate_LerouxInterceptLerouxSlope_2,6982.83829087429,66.2636319471041,15.3007346614499,28.7490738144705,43.0185654008439
EUR,together_LerouxIntercept_4,7167.3178643651,64.5341313947819,16.9348975655851,27.8819984363976,43.3253164556962
EUR,together_LerouxInterceptLerouxSlope_2,7240.91641416669,64.3186412193836,14.9027260304647,28.8118416251363,43.4869198312236
SEA,together_LerouxIntercept_4,591.034420991928,55.6701934571518,9.24717679169503,17.0373856127142,24.1017857142857
SEA,together_LerouxInterceptLerouxSlope_2,643.649658076585,54.4599103287181,10.7827239655445,22.5503506314997,21.2410714285714
SEA,separate_LerouxInterceptLerouxSlope_2,686.70810595277,54.0473768606216,11.3892557345202,24.5507311949735,20.5071428571429
SEA,separate_global_4,786.973199126062,51.2463597809496,10.0754018706211,17.0671423096286,20.9714285714286
WPR,together_LerouxInterceptLerouxSlope_2,676.0689592502,82.0299550724646,15.5003725713845,23.6450624237152,57.5480392156863
WPR,separate_LerouxInterceptLerouxSlope_2,688.171134344448,78.7729464029864,15.7438286269997,25.0050822805063,56.956862745098
WPR,together_LerouxIntercept_4,751.43694160603,82.4726008019025,15.0809958397066,20.4334406190907,58.5147058823529
WPR,separate_global_4,950.531380870947,76.6487064087118,14.019442408602,16.5427483757828,59.6372549019608
