country,iso3,g_whoregion,row_rank_ret,year_ret,source_ret,all_areas_covered_ret,surv_quality_ret,dst_rlt_ret,mdr_ret,mdr_ret_pcnt,mdr_ret_pcnt_lo,mdr_ret_pcnt_hi,dr_r_nh_ret,dr_r_nh_ret_pcnt,dr_r_nh_ret_pcnt_lo,dr_r_nh_ret_pcnt_hi,xpert_ret,xpert_dr_r_ret,xpert_dr_r_ret_pcnt,xpert_dr_r_ret_pcnt_lo,xpert_dr_r_ret_pcnt_hi,r_rlt_ret,rr_ret,rr_ret_pcnt,rr_ret_pcnt_lo,rr_ret_pcnt_hi,dst_rlt_hr_ret,dst_rlt_hr_ret_pcnt,dst_rlt_hr_ret_pcnt_lo,dst_rlt_hr_ret_pcnt_hi,dst_rlt_rr_ret,dst_rlt_rr_ret_pcnt,dst_rlt_rr_ret_pcnt_lo,dst_rlt_rr_ret_pcnt_hi,dr_h_nr_ret,dr_h_nr_ret_pcnt,dr_h_nr_ret_pcnt_lo,dr_h_nr_ret_pcnt_hi
Albania,ALB,EUR,1,2021,Surveillance,1,A,4,0,,,,,,,,,,,,,4,1,,,,1,,,,1,,,,,,,
Albania,ALB,EUR,2,2012,Surveillance,1,A,15,0,,,,1,,,,0,0,,,,,,,,,,,,,,,,,2,,,
Albania,ALB,EUR,3,2011,Surveillance,1,A,11,3,,,,0,,,,0,0,,,,,,,,,,,,,,,,,3,,,
Albania,ALB,EUR,4,2010,Surveillance,1,A,19,1,,,,1,,,,,,,,,,,,,,,,,,,,,,5,,,
Algeria,DZA,AFR,1,2002,Survey,1,A,22,,9.1,1.1,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,AFR,2,1988,Survey,1,A,52,,11.5,4.4,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,WPR,1,2018,Surveillance,1,R,1,0,,,,,,,,,,,,,1,1,,,,0,,,,0,,,,,,,
Andorra,AND,EUR,1,2014,Surveillance,1,A,1,0,,,,1,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Andorra,AND,EUR,2,2011,Surveillance,1,A,1,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,1,,,
Andorra,AND,EUR,3,2009,Surveillance,1,A,1,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Andorra,AND,EUR,4,2000,Surveillance,1,A,1,0,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
Argentina,ARG,AMR,1,2005,Survey,1,A,136,,15.44,9.82,22.63,,2.94,.8100000000000001,7.36,,,,,,,,,,,,,,,,,,,,2.94,.8100000000000001,7.36
Argentina,ARG,AMR,2,1999,Survey,1,A,149,,9.4,5.23,15.26,,.67,.02,3.68,,,,,,,,,,,,,,,,,,,,6.71,3.27,12
Armenia,ARM,EUR,1,2021,Surveillance,1,A,47,18,,,,,,,,,,,,,47,20,,,,18,,,,20,,,,,,,
Armenia,ARM,EUR,2,2020,Surveillance,1,A,45,23,,,,,,,,,,,,,48,24,,,,29,,,,24,,,,,,,
Armenia,ARM,EUR,3,2019,Surveillance,1,A,65,23,,,,,,,,,,,,,66,27,,,,33,,,,27,,,,,,,
Armenia,ARM,EUR,4,2017,Surveillance,1,A,108,41,,,,,,,,,,,,,108,48,,,,52,,,,48,,,,,,,
Armenia,ARM,EUR,5,2016,Surveillance,1,A,104,60,,,,7,,,,0,0,,,,,,,,,,,,,,,,,13,,,
Armenia,ARM,EUR,6,2007,Survey,1,A,340,,43.24,37.9,48.69,,3.82,2.05,6.45,,,,,,,,,,,,,,,,,,,,20,15.88,24.65
Australia,AUS,WPR,1,2019,Surveillance,1,A,31,3,,,,,,,,,,,,,32,3,,,,5,,,,3,,,,,,,
Australia,AUS,WPR,2,2018,Surveillance,1,A,41,4,,,,,,,,,,,,,41,4,,,,10,,,,4,,,,,,,
Australia,AUS,WPR,3,2017,Surveillance,1,A,25,6,,,,,,,,,,,,,26,6,,,,9,,,,6,,,,,,,
Australia,AUS,WPR,4,2015,Surveillance,1,A,25,6,,,,0,,,,0,0,,,,,,,,,,,,,,,,,1,,,
Australia,AUS,WPR,5,2014,Surveillance,1,A,40,4,,,,0,,,,,,,,,,,,,,,,,,,,,,3,,,
Australia,AUS,WPR,6,2013,Surveillance,1,A,24,1,,,,2,,,,1,0,,,,,,,,,,,,,,,,,4,,,
Australia,AUS,WPR,7,2012,Surveillance,1,A,31,2,,,,0,,,,1,0,,,,,,,,,,,,,,,,,6,,,
Australia,AUS,WPR,8,2011,Surveillance,1,A,26,7,,,,0,,,,1,0,,,,,,,,,,,,,,,,,2,,,
Australia,AUS,WPR,9,2010,Surveillance,1,A,48,11,,,,0,,,,,,,,,,,,,,,,,,,,,,3,,,
Austria,AUT,EUR,1,2016,Surveillance,1,R,17,3,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,
Austria,AUT,EUR,2,2015,Surveillance,1,A,12,2,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
