cause,deaths,rate
Ischaemic heart disease,8885,115.3
Stroke,6194,80.4
Chronic obstructive pulmonary disease,3228,41.9
Lower respiratory infections,2593,33.6
Neonatal conditions,2038,26.4
"Trachea, bronchus, lung cancers",1784,23.1
Alzheimer disease and other dementias,1639,21.3
Diarrhoeal diseases,1519,19.7
Diabetes mellitus,1496,19.4
Kidney diseases,1334,17.3
Cirrhosis of the liver,1315,17.1
Road injury,1282,16.6
Tuberculosis,1208,15.7
Hypertensive heart disease,1149,14.9
Colon and rectum cancers,916,11.9
Stomach cancer,831,10.8
Self-harm,703,9.1
Falls,684,8.9
HIV/AIDS,675,8.8
Breast cancer,640,8.3
