country,quality,min.coverage,max.coverage,min.usability,max.usability,use.ghe
Albania,low,89%,100%,,,no
Andorra,high,100%,100%,77%,84%,no
Antigua and Barbuda,high,100%,100%,71%,84%,yes
Argentina,medium,100%,100%,66%,72%,yes
Armenia,high,100%,100%,81%,95%,yes
,,,,,,
Australia,high,100%,100%,90%,92%,yes
,,,,,,
Austria,high,100%,100%,84%,90%,yes
Azerbaijan,very low,80%,83%,44%,44%,no
,,,,,,
Bahamas,medium,89%,90%,71%,81%,no
Bahrain,low,80%,81%,43%,53%,no
Barbados,high,100%,100%,70%,84%,yes
Belarus,high,95%,100%,86%,86%,no
Belgium,high,100%,100%,81%,85%,yes
Belize,high,100%,100%,72%,91%,no
Bolivia (Plurinational State of),very low,67%,68%,24%,28%,no
Bosnia and Herzegovina,low,100%,100%,71%,74%,no
,,,,,,
Brazil,high,100%,100%,73%,84%,yes
Brunei Darussalam,medium,80%,83%,70%,72%,yes
Bulgaria,medium,100%,100%,65%,80%,yes
Cabo Verde,low,100%,100%,69%,71%,no
Canada,high,100%,100%,90%,92%,yes
Chile,high,100%,100%,86%,91%,yes
Colombia,high,100%,100%,88%,91%,yes
Costa Rica,high,100%,100%,89%,93%,yes
Croatia,high,99%,100%,80%,92%,yes
Cuba,high,100%,100%,89%,93%,yes
Cyprus,medium,89%,97%,66%,77%,yes
Czechia,high,100%,100%,83%,89%,yes
Denmark,high,100%,100%,82%,86%,yes
Dominica,medium,82%,94%,55%,79%,no
,,,,,,
Dominican Republic,low,66%,75%,53%,58%,no
Ecuador,low,72%,100%,54%,69%,no
Egypt,low,100%,100%,42%,54%,no
El Salvador,medium,100%,100%,58%,71%,yes
Estonia,high,100%,100%,91%,95%,yes
Fiji,low,100%,100%,50%,73%,no
Finland,high,100%,100%,96%,98%,yes
France,high,100%,100%,79%,82%,yes
Georgia,low,77%,100%,27%,78%,no
Germany,high,100%,100%,83%,86%,yes
Greece,medium,100%,100%,67%,75%,yes
Grenada,high,100%,100%,75%,89%,yes
Guatemala,medium,87%,89%,65%,73%,no
Guyana,medium,79%,85%,58%,75%,yes
Haiti,very low,55%,56%,25%,35%,no
Honduras,very low,18%,19%,16%,18%,no
Hungary,high,100%,100%,91%,94%,yes
Iceland,high,100%,100%,90%,94%,yes
Iran (Islamic Republic of),medium,82%,82%,67%,70%,no
Iraq,low,100%,100%,59%,61%,no
Ireland,high,100%,100%,92%,93%,yes
Israel,high,100%,100%,79%,83%,yes
Italy,high,100%,100%,85%,88%,yes
Jamaica,high,100%,100%,70%,90%,no
Japan,high,100%,100%,78%,87%,yes
Jordan,medium,86%,90%,69%,72%,no
Kazakhstan,high,91%,95%,80%,83%,no
Kiribati,very low,33%,33%,20%,22%,no
Kuwait,high,100%,100%,76%,88%,no
Kyrgyzstan,high,99%,100%,91%,97%,no
Latvia,high,100%,100%,88%,95%,yes
Lebanon,very low,55%,56%,31%,34%,no
Libya,low,100%,100%,52%,54%,no
Lithuania,high,100%,100%,94%,97%,yes
Luxembourg,high,100%,100%,78%,84%,yes
Malaysia,medium,50%,51%,32%,40%,no
Maldives,low,84%,100%,17%,72%,no
Malta,high,100%,100%,85%,93%,yes
Mauritius,high,100%,100%,77%,90%,yes
Mexico,high,100%,100%,89%,92%,yes
Mongolia,low,79%,79%,76%,76%,no
Montenegro,low,89%,98%,61%,67%,no
Morocco,very low,50%,53%,21%,27%,no
Netherlands,high,100%,100%,82%,84%,yes
New Zealand,high,100%,100%,95%,96%,yes
Nicaragua,high,95%,100%,81%,89%,yes
Norway,high,100%,100%,84%,87%,yes
Oman,very low,58%,60%,23%,31%,no
Panama,high,100%,100%,81%,86%,yes
