iso3,lo,hi,ystart,curtrends,cr,ps,overdx,newdta,ref
ABW,1,1.3,2000,,0,0,0,,Lima mt 2016
AFG,,,,1,0,0,0,,
AGO,,,,1,0,0,0,,
AIA,,,,1,0,0,0,,
ALB,1,1.3,2000,,0,0,0,,
AND,1,1.3,2000,,0,0,0,,
ANT,1,1.3,2000,,0,0,0,,Lima mt 2016
ARE,1,1.3,2000,,0,0,0,,
ARG,1,1.3,2000,,0,0,0,,Lima mt 2016
ARM,1,1.5,2000,,0,0,0,,
ASM,1,1.3,2000,,0,0,0,,
ATG,1,1.3,2000,,0,0,0,,Lima mt 2016
AUS,1,1.3,2000,,0,0,0,,
AUT,1,1.3,2000,,0,0,0,,
AZE,1,1.5,2000,,0,0,0,,The Hague mt 2017
BDI,,,,,0,0,0,,
BEL,1,1.3,2000,,0,0,0,,
BEN,,,,,0,0,0,,
BES,1,1.3,2000,,0,0,0,,Lima mt 2016
BFA,,,,1,0,0,0,,
BGD,,,,1,0,1,0,,
BGR,1,1.5,2000,,0,0,0,,
BHR,1,1.3,2000,,0,0,0,,
BHS,1,1.3,2000,,0,0,0,,Lima mt 2016
BIH,1,1.5,2000,,0,0,0,,
BLR,1,1.5,2000,,0,0,0,,
BLZ,1,1.3,2000,,0,0,0,,Lima mt 2016
BMU,1,1.3,2000,,0,0,0,,Lima mt 2016
BOL,,,,1,0,0,0,,Lima mt 2016
BRA,1,1.3,2000,,0,0,0,,Lima mt 2016
BRB,1,1.3,2000,,0,0,0,,Lima mt 2016
BRN,1,1.3,2000,,0,0,0,,
BTN,1,1.5,2000,,0,0,0,,
BWA,,,,1,0,0,0,,
CAF,,,,1,0,0,0,,
CAN,1,1.3,2000,,0,0,0,,
CHE,1,1.3,2000,,0,0,0,,
CHL,1,1.3,2000,,0,0,0,,Lima mt 2016
CHN,,,,1,0,1,1,,Zhuhai mt 2016 BJ 2018 pers comms 2019
CIV,,,,1,0,0,0,,
CMR,,,,1,0,0,0,,
COD,,,,1,0,0,0,,
COG,,,,1,0,0,0,,
COK,1,1.3,2000,,0,0,0,,
COL,1,1.5,2000,,0,0,0,,Lima mt 2016
COM,,,,1,0,0,0,,
CPV,1,1.5,2000,1,0,0,0,,
CRI,1,1.5,2000,,0,0,0,,Lima mt 2016
CUB,1,1.3,2000,,0,0,0,,Lima mt 2016
CUW,1,1.3,2000,,0,0,0,,Lima mt 2016
CYM,1,1.3,2000,,0,0,0,,Lima mt 2016
CYP,1,1.3,2000,,0,0,0,,
CZE,1,1.3,2000,,0,0,0,,
DEU,1,1.2,2000,,0,0,0,,comms 2021 (CRC study)
DJI,1,1.5,2000,,0,0,0,,
DMA,1,1.3,2000,,0,0,0,,Lima mt 2016
DNK,1,1.3,2000,,0,0,0,,
DOM,1,1.5,2000,,0,0,0,,Lima mt 2016
DZA,1,1.5,2000,,0,0,0,,
ECU,1,1.5,2000,,0,0,0,,Lima mt 2016
EGY,,,,1,1,0,0,,CR
ERI,1,2.3,2003,,0,0,0,,comm july 2015
ESP,1,1.3,2000,,0,0,0,,
EST,1,1.3,2000,,0,0,0,,
ETH,,,,1,0,1,0,,
FIN,1,1.3,2000,,0,0,0,,
FJI,1,1.5,2000,,0,0,0,,
FRA,1.17,1.25,2000,,0,0,0,,Dr Antoine
FSM,1,1.5,2000,,0,0,0,,
GAB,,,,,0,0,0,,
GBR,1.05,1.2,2000,,1,0,0,,CR
GEO,,,,1,0,0,0,,
GHA,,,,1,0,1,0,,
GIN,,,,1,0,0,0,,
GMB,,,,1,0,1,0,,
GNB,,,,1,0,0,0,,
GNQ,,,,1,0,0,0,,
GRC,1,1.3,2000,,0,0,0,,
GRD,1,1.3,2000,,0,0,0,,Lima mt 2016
GRL,1,1.3,2000,,0,0,0,,
GTM,1,1.5,2000,,0,0,0,,Lima mt 2016
GUM,1,1.3,2000,,0,0,0,,
GUY,1,1.5,2000,,0,0,0,,Lima mt 2016
HKG,1,1.3,2000,,0,0,0,,
HND,1,1.5,2000,,0,0,0,,Lima mt 2016
HRV,1,1.3,2000,,0,0,0,,
HTI,,,,1,0,0,0,,Lima mt 2016
HUN,1,1.3,2000,,0,0,0,,
IDN,,,,1,1,1,0,1, CR 2017
IND,,,,1,0,1,0,,
IRL,1,1.3,2000,,0,0,0,,
IRN,1,1.5,2000,,0,0,0,,
IRQ,,,,1,1,0,0,,CR
ISL,1,1.3,2000,,0,0,0,,
ISR,1,1.3,2000,,0,0,0,,
ITA,1,1.3,2000,,0,0,0,,
JAM,1,1.5,2000,,0,0,0,,Lima mt 2016
JOR,1,1.5,2000,,0,0,0,,
JPN,1,1.3,2000,,0,0,0,,
KAZ,,,,1,0,0,1,,epi review 2015
KEN,,,,1,0,1,0,,
KGZ,1,1.3,2000,,0,0,0,,
KHM,1,2.25,2015,1,0,1,0,,comm aug 2017
KIR,1,1.5,2000,,0,0,0,,
KNA,1,1.3,2000,,0,0,0,,Lima mt 2016
KOR,1,1.139,2000,,0,0,0,,comm july 2015
KWT,1,1.3,2000,,0,0,0,,
LAO,,,,1,0,1,0,,
LBN,1,1.3,2000,,0,0,0,,
LBR,,,,1,0,0,0,,
LBY,,,,1,0,0,0,,
LCA,1,1.3,2000,,0,0,0,,Lima mt 2016
LKA,,,,1,0,0,0,,
LSO,,,,1,0,0,0,,
LTU,1,1.3,2000,,0,0,0,,
LUX,1,1.3,2000,,0,0,0,,
LVA,1,1.3,2000,,0,0,0,,
MAC,1,1.3,2000,,0,0,0,,
MAR,1,1.3,2000,,0,0,0,,
MCO,1,1.3,2000,,0,0,0,,
MDA,1,1.3,2000,,0,0,0,,The Hague mt 2017
MDG,,,,1,0,0,0,,
MDV,1,1.5,2000,,0,0,0,,
MEX,1,1.5,2000,,0,0,0,,Lima mt 2016
MHL,1,1.5,2000,,0,0,0,,
MKD,1,1.5,2000,,0,0,0,,
MLI,,,,1,0,0,0,,
MLT,1,1.3,2000,,0,0,0,,
MMR,,,,1,0,1,0,1,PS 2018
MNE,1,1.3,2000,,0,0,0,,
MNG,,,2000,1,0,1,0,,PS 2015
MNP,1,1.3,2000,,0,0,0,,
MOZ,,,,1,0,0,0,,
MRT,,,,1,0,0,0,,
MSR,1,1.3,2000,,0,0,0,,Lima mt 2016
MUS,1,1.5,2000,1,0,0,0,,
