country,measure,sex,age,cause,metric,year,val,upper,lower,iso3
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,1990,612834.33,680963.27,542506.15,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,1990,0,0,0,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,1990,1164.2514,5219.378,75.779409,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,1990,613998.58,681869.47,543512.49,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,1991,635169.16,703994.23,564040.28,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,1991,0,0,0,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,1991,2146.9423,9526.694,143.10836,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,1991,637316.1,706986.89,565054.26,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,1992,653366.82,729642.86,575430.59,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,1992,0,0,0,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,1992,4147.9507,19198.033,298.92764,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,1992,657514.77,731531.03,578919.81,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,1993,618530.85,687755.11,550563.82,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,1993,13.416314,60.141738,1.0034783,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,1993,7159.9827,31230.524,565.31728,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,1993,625704.25,691788.91,557628.76,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,1994,589685.17,653858.16,517154.82,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,1994,42.681313,184.44962,3.4522814,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,1994,11380.726,46226.481,1008.9508,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,1994,601108.57,660242.83,541359.98,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,1995,571045.43,632149.49,496951.99,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,1995,91.456114,395.66731,8.4183271,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,1995,16252.458,65603.809,1618.883,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,1995,587389.34,644794.33,532335.67,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,1996,563315.83,624930.16,485746.86,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,1996,158.19253,645.67118,18.286228,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,1996,21064.709,77807.253,2543.1579,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,1996,584538.73,638283.03,533906.32,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,1997,577136.1,640282.74,493000.05,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,1997,249.01625,968.50542,33.455767,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,1997,26511.332,100472.53,3809.2171,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,1997,603896.45,655581.64,546647.54,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,1998,573114.87,635646.83,487880.23,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,1998,357.91178,1263.548,59.676649,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,1998,31710.092,109850.45,5568.316,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,1998,605182.87,655492.99,553612.59,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,1999,564828.65,626920.09,474439.89,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,1999,492.23849,1547.7486,100.34225,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,1999,37348.624,113399.71,7866.6316,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,1999,602669.51,652825.31,554829.51,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,2000,553158.57,617586.84,475696.73,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,2000,632.12614,1725.8015,154.42758,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,2000,41891.794,112271.7,10721.782,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,2000,595682.49,643601.57,547591.46,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,2001,530787.13,588489.18,459837.79,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,2001,776.41719,2014.4977,209.80008,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,2001,45681.091,106838.3,12522.549,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,2001,577244.64,618902.62,527940.64,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,2002,507587.98,563041.27,438719.49,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,2002,906.49042,2127.7957,281.26959,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,2002,47967.447,103775.25,15245.668,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,2002,556461.92,598620.55,514484.08,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,2003,483943.08,536529.55,423071.24,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,2003,1019.6599,2250.0549,352.44966,IND
India,Deaths,Both,All Ages,Multidrug-resistant tuberculosis without extensive drug resistance,Number,2003,49021.748,98885.071,17494.075,IND
India,Deaths,Both,All Ages,Tuberculosis,Number,2003,533984.48,574608.5,493490.01,IND
India,Deaths,Both,All Ages,Drug-susceptible tuberculosis,Number,2004,452253.41,499967.44,397575.06,IND
India,Deaths,Both,All Ages,Extensively drug-resistant tuberculosis,Number,2004,1099.8732,2307.2398,419.80764,IND
