iso3,g_hb_tb,x,y,size,g_whoregion,country
IND,1,3.357445866102566,2.252052261451313,2116976,South-East Asia Region,India
CHN,1,4.098862829030333,2.928435817194504,593743,Western Pacific Region,China
IDN,1,3.63264074583636,2.593739945781261,443235,South-East Asia Region,Indonesia
PAK,1,3.186938378981364,2.132147119289425,343024,Eastern Mediterranean Region,Pakistan
PHL,1,3.550084990511495,2.383418460055034,328497,Western Pacific Region,Philippines
BGD,1,3.398468463156529,2.426999977860379,307561,South-East Asia Region,Bangladesh
COD,1,2.76649197164254,2.093405147160499,215787,African Region,Democratic Republic of the Congo
NGA,1,3.319112467403465,2.705905493532502,207785,African Region,Nigeria
ZAF,1,3.844738770464068,3.010273719697288,181864,African Region,South Africa
ETH,1,2.974956206774215,2.847269765858334,104854,African Region,Ethiopia
MOZ,1,2.699356188360116,2.453827106908713,98485,African Region,Mozambique
PRK,1,2.859138636120546,2.715254040315897,93597,South-East Asia Region,Democratic People's Republic of Korea
BRA,1,3.876150513048151,2.688242265155216,88099,Region of the Americas,Brazil
TZA,1,3.055202311959126,2.53371016982074,87415,African Region,United Republic of Tanzania
RUS,1,4.085389956997788,3.541922749232812,79686,European Region,Russian Federation
VNM,1,3.567499130315452,2.979583012973974,78935,Western Pacific Region,Viet Nam
KEN,1,3.30251106942315,2.707340916556555,77854,African Region,Kenya
UGA,1,2.933516398132469,2.474593492252446,76268,African Region,Uganda
THA,1,3.859341812878046,2.913150291394409,72851,South-East Asia Region,Thailand
MMR,1,3.074537965757684,2.598851820403147,65125,South-East Asia Region,Myanmar
AGO,1,3.329989295454511,2.332440636897369,63970,African Region,Angola
ZMB,1,3.049462310721268,2.839032163900788,50825,African Region,Zambia
AFG,0,2.730966036491859,2.198082789329271,50710,Eastern Mediterranean Region,
MDG,0,2.711727835917844,2.179366345163938,41128,African Region,
PNG,1,3.464840738136021,2.420467438257239,30180,Western Pacific Region,Papua New Guinea
MAR,0,3.543665614504079,2.910201610840838,30128,Eastern Mediterranean Region,
NPL,0,3.087383413842415,2.729862759805314,28677,South-East Asia Region,
PER,0,3.825572050890866,3.525549845953561,26437,Region of the Americas,
CMR,0,3.220553170090035,2.557301711626361,22866,African Region,
MEX,0,3.996792767910069,2.87514031694741,22429,Region of the Americas,
MYS,0,4.055802441375775,3.259737043423174,21727,Western Pacific Region,
KHM,1,3.201658348870572,3.215279233521272,21661,Western Pacific Region,Cambodia
CIV,0,3.411410994499774,2.876786593407922,21072,African Region,
UKR,0,3.68444783417156,3.592073036875726,19793,European Region,
DZA,0,3.57576897452192,2.23905879531341,19122,African Region,
GIN,0,3.069798651194453,1.875731178093995,19092,African Region,
SDN,0,2.883287158133328,2.339730019020216,18596,Eastern Mediterranean Region,
SSD,0,2.561566450067123,1.917117974075596,18517,African Region,
SLE,1,2.712592542552517,3.188395769463174,17669,African Region,Sierra Leone
SOM,0,2.649119621694238,2.838905209249607,17504,Eastern Mediterranean Region,
ZWE,1,3.239843314969232,3.090225413674915,16541,African Region,Zimbabwe
UZB,0,3.297336888857463,3.402085905624666,15450,European Region,
MWI,0,2.807979185447989,2.927038112899717,14594,African Region,
COL,0,3.787547319171864,3.624650876071107,14091,Region of the Americas,
TCD,0,2.842872965670714,2.354896088415138,14091,African Region,
SEN,0,3.205873176875305,2.622528003285273,13902,African Region,
GHA,0,3.38833050489988,2.798529554276914,13646,African Region,
CAF,1,2.708832685938884,2.336429889966222,13428,African Region,Central African Republic
NER,0,2.77446229875202,2.223815510810201,13008,African Region,
ARG,0,4.030568659600632,2.826820851321223,12540,Region of the Americas,
COG,1,3.345154246179013,2.557717285563095,12152,African Region,Congo
HTI,0,3.258798628441363,2.497283570053797,10665,Region of the Americas,
KAZ,0,4.001798153116102,3.908718601862766,10008,European Region,
VEN,0,3.22676920838963,2.423727912250148,9556,Region of the Americas,
YEM,0,2.839326723764623,2.152027021845985,9396,Eastern Mediterranean Region,
TUR,0,3.981665170867249,3.013848175016479,9156,European Region,
MLI,0,2.962801550549316,3.224557134348632,7467,African Region,
LBR,1,2.828072536411124,2.384238787442149,7441,African Region,Liberia
BOL,0,3.533377081074998,3.099384987770725,7198,Region of the Americas,
BFA,0,2.962914859828806,2.450642555281525,7194,African Region,
EGY,0,3.588424057937643,3.606514025484323,6907,Eastern Mediterranean Region,
BDI,0,2.37437328748467,2.641557572692232,6874,African Region,
"NAM",1,3.674794195222145,3.100829428067137,6864,African Region,Namibia
LKA,0,3.581462121996169,3.254073643954714,6771,South-East Asia Region,
IRN,0,4.224890683854609,3.408650780531835,6315,Eastern Mediterranean Region,
LAO,0,3.406765968738906,2.901509603173345,6200,Western Pacific Region,
ECU,0,3.773411612582828,2.471949593896269,5973,Region of the Americas,
IRQ,0,3.703152709638458,3.563472572738783,5832,Eastern Mediterranean Region,
RWA,0,2.921077451605199,3.309414253875016,5272,African Region,
KGZ,0,3.105933251671531,3.171752354002262,5209,European Region,
GAB,1,3.904011368720527,2.96184888879157,5201,African Region,Gabon
AZE,0,3.731107874285852,3.320156837347073,4944,European Region,
LSO,1,3.066870471141668,3.342602636698259,4553,African Region,Lesotho
TJK,0,2.952834999874789,3.168594348536744,4299,European Region,
BEN,0,3.154864185015494,3.043642683998072,3764,African Region,
DOM,0,3.934689796864851,3.529195088856022,3546,Region of the Americas,
SYR,0,3.132885717126312,2.47391105669497,3343,Eastern Mediterranean Region,
TLS,0,3.163705431720339,3.544564709447695,3268,South-East Asia Region,
GTM,0,3.701185808121505,3.307472390959093,3150,Region of the Americas,
PRY,0,3.73240210996724,3.393399872215722,2996,Region of the Americas,
MNG,1,3.656569494963128,3.422357546282468,2823,Western Pacific Region,Mongolia
TUN,0,3.593767061426184,3.091419827277573,2647,Eastern Mediterranean Region,
TGO,0,2.996655433699915,2.855380541528177,2509,African Region,
GNB,0,2.910070445255734,3.116539828956039,2505,African Region,
